08:58:53 Pod redisoperator-56c8dfdfb-k5xmd 795:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-k5xmd to acto-cluster-9-worker
08:58:54 Pod redisoperator-56c8dfdfb-k5xmd 797:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:58:54 Pod redisoperator-56c8dfdfb-k5xmd 797:	Created container app
08:58:55 Pod redisoperator-56c8dfdfb-k5xmd 797:	Started container app
08:58:53 ReplicaSet redisoperator-56c8dfdfb 792:	Created pod: redisoperator-56c8dfdfb-k5xmd
08:58:22 Pod redisoperator-6445768794-bbtmk 724:	Successfully assigned acto-namespace/redisoperator-6445768794-bbtmk to acto-cluster-9-worker
08:58:24 Pod redisoperator-6445768794-bbtmk 727:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:58:24 Pod redisoperator-6445768794-bbtmk 727:	Created container app
08:58:24 Pod redisoperator-6445768794-bbtmk None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-bbtmk
08:58:25 Pod redisoperator-6445768794-bbtmk 727:	Started container app
08:58:56 Pod redisoperator-6445768794-bbtmk 727:	Stopping container app
08:58:22 ReplicaSet redisoperator-6445768794 716:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:58:22 ReplicaSet redisoperator-6445768794 721:	Created pod: redisoperator-6445768794-bbtmk
08:58:56 ReplicaSet redisoperator-6445768794 887:	Deleted pod: redisoperator-6445768794-bbtmk
08:58:22 Deployment redisoperator 714:	Scaled up replica set redisoperator-6445768794 to 1
08:58:53 Deployment redisoperator 791:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:58:56 Deployment redisoperator 802:	Scaled down replica set redisoperator-6445768794 to 0
08:58:55 Pod rfr-test-cluster-0 826:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker3
08:58:56 Pod rfr-test-cluster-0 830:	Container image "redis:6.2.6-alpine" already present on machine
08:58:56 Pod rfr-test-cluster-0 830:	Created container redis
08:58:56 Pod rfr-test-cluster-0 830:	Started container redis
08:58:56 Pod rfr-test-cluster-0 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:58:56 Pod rfr-test-cluster-0 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 243.806047ms
08:58:56 Pod rfr-test-cluster-0 830:	Created container redis-exporter
08:58:59 Pod rfr-test-cluster-0 830:	Started container redis-exporter
08:59:35 Pod rfr-test-cluster-0 830:	Readiness probe failed: 
09:02:57 Pod rfr-test-cluster-0 830:	Stopping container redis
09:02:57 Pod rfr-test-cluster-0 830:	Stopping container redis-exporter
09:11:59 Pod rfr-test-cluster-0 2343:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker3
09:12:00 Pod rfr-test-cluster-0 2345:	Container image "redis:6.2.6-alpine" already present on machine
09:12:00 Pod rfr-test-cluster-0 2345:	Created container redis
09:12:00 Pod rfr-test-cluster-0 2345:	Started container redis
09:12:00 Pod rfr-test-cluster-0 2345:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:12:00 Pod rfr-test-cluster-0 2345:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 110.99802ms
09:12:00 Pod rfr-test-cluster-0 2345:	Created container redis-exporter
09:12:03 Pod rfr-test-cluster-0 2345:	Started container redis-exporter
09:12:39 Pod rfr-test-cluster-0 2345:	Readiness probe failed: 
08:58:55 Pod rfr-test-cluster-1 831:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker
08:58:55 Pod rfr-test-cluster-1 835:	Container image "redis:6.2.6-alpine" already present on machine
08:58:55 Pod rfr-test-cluster-1 835:	Created container redis
08:58:56 Pod rfr-test-cluster-1 835:	Started container redis
08:58:56 Pod rfr-test-cluster-1 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:58:56 Pod rfr-test-cluster-1 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 246.646764ms
08:58:56 Pod rfr-test-cluster-1 835:	Created container redis-exporter
08:58:59 Pod rfr-test-cluster-1 835:	Started container redis-exporter
08:59:35 Pod rfr-test-cluster-1 835:	Readiness probe failed: 
09:01:59 Pod rfr-test-cluster-1 835:	Stopping container redis
09:01:59 Pod rfr-test-cluster-1 835:	Stopping container redis-exporter
09:11:59 Pod rfr-test-cluster-1 2344:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker
09:12:00 Pod rfr-test-cluster-1 2350:	Container image "redis:6.2.6-alpine" already present on machine
09:12:00 Pod rfr-test-cluster-1 2350:	Created container redis
09:12:00 Pod rfr-test-cluster-1 2350:	Started container redis
09:12:00 Pod rfr-test-cluster-1 2350:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:12:00 Pod rfr-test-cluster-1 2350:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 101.870738ms
09:12:00 Pod rfr-test-cluster-1 2350:	Created container redis-exporter
09:12:04 Pod rfr-test-cluster-1 2350:	Started container redis-exporter
09:12:39 Pod rfr-test-cluster-1 2350:	Readiness probe failed: 
08:58:55 Pod rfr-test-cluster-2 836:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker2
08:58:56 Pod rfr-test-cluster-2 840:	Container image "redis:6.2.6-alpine" already present on machine
08:58:56 Pod rfr-test-cluster-2 840:	Created container redis
08:58:56 Pod rfr-test-cluster-2 840:	Started container redis
08:58:56 Pod rfr-test-cluster-2 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:58:56 Pod rfr-test-cluster-2 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 287.454417ms
08:58:56 Pod rfr-test-cluster-2 840:	Created container redis-exporter
08:59:00 Pod rfr-test-cluster-2 840:	Started container redis-exporter
08:59:35 Pod rfr-test-cluster-2 840:	Readiness probe failed: 
09:02:27 Pod rfr-test-cluster-2 840:	Stopping container redis
09:02:27 Pod rfr-test-cluster-2 840:	Stopping container redis-exporter
09:11:59 Pod rfr-test-cluster-2 2352:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker2
09:12:00 Pod rfr-test-cluster-2 2357:	Container image "redis:6.2.6-alpine" already present on machine
09:12:00 Pod rfr-test-cluster-2 2357:	Created container redis
09:12:00 Pod rfr-test-cluster-2 2357:	Started container redis
09:12:00 Pod rfr-test-cluster-2 2357:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:12:00 Pod rfr-test-cluster-2 2357:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 154.915637ms
09:12:00 Pod rfr-test-cluster-2 2357:	Created container redis-exporter
09:12:03 Pod rfr-test-cluster-2 2357:	Started container redis-exporter
09:12:39 Pod rfr-test-cluster-2 2357:	Readiness probe failed: 
08:58:55 PodDisruptionBudget rfr-test-cluster 820:	No matching pods found
08:58:55 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:58:55 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:58:55 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
09:02:00 StatefulSet rfr-test-cluster 1327:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers, spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers]
09:02:00 StatefulSet rfr-test-cluster 1327:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
09:02:00 StatefulSet rfr-test-cluster 1327:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers]
09:02:58 StatefulSet rfr-test-cluster 1327:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers]
08:58:55 Pod rfs-test-cluster-54df69f8df-4rm84 859:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-4rm84 to acto-cluster-9-worker2
08:58:56 Pod rfs-test-cluster-54df69f8df-4rm84 864:	Container image "redis:6.2.6-alpine" already present on machine
08:58:56 Pod rfs-test-cluster-54df69f8df-4rm84 864:	Created container sentinel-config-copy
08:59:10 Pod rfs-test-cluster-54df69f8df-4rm84 864:	Started container sentinel-config-copy
08:59:13 Pod rfs-test-cluster-54df69f8df-4rm84 864:	Container image "redis:6.2.6-alpine" already present on machine
08:59:13 Pod rfs-test-cluster-54df69f8df-4rm84 864:	Created container sentinel
08:59:13 Pod rfs-test-cluster-54df69f8df-4rm84 864:	Started container sentinel
08:58:55 Pod rfs-test-cluster-54df69f8df-9b68z 853:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9b68z to acto-cluster-9-worker3
08:58:56 Pod rfs-test-cluster-54df69f8df-9b68z 857:	Container image "redis:6.2.6-alpine" already present on machine
08:58:56 Pod rfs-test-cluster-54df69f8df-9b68z 857:	Created container sentinel-config-copy
08:59:11 Pod rfs-test-cluster-54df69f8df-9b68z 857:	Started container sentinel-config-copy
08:59:13 Pod rfs-test-cluster-54df69f8df-9b68z 857:	Container image "redis:6.2.6-alpine" already present on machine
08:59:13 Pod rfs-test-cluster-54df69f8df-9b68z 857:	Created container sentinel
08:59:13 Pod rfs-test-cluster-54df69f8df-9b68z 857:	Started container sentinel
08:58:55 Pod rfs-test-cluster-54df69f8df-llkvr 856:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-llkvr to acto-cluster-9-worker
08:58:56 Pod rfs-test-cluster-54df69f8df-llkvr 863:	Container image "redis:6.2.6-alpine" already present on machine
08:58:56 Pod rfs-test-cluster-54df69f8df-llkvr 863:	Created container sentinel-config-copy
08:59:11 Pod rfs-test-cluster-54df69f8df-llkvr 863:	Started container sentinel-config-copy
08:59:13 Pod rfs-test-cluster-54df69f8df-llkvr 863:	Container image "redis:6.2.6-alpine" already present on machine
08:59:13 Pod rfs-test-cluster-54df69f8df-llkvr 863:	Created container sentinel
08:59:13 Pod rfs-test-cluster-54df69f8df-llkvr 863:	Started container sentinel
08:58:55 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-9b68z
08:58:55 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-llkvr
08:58:55 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-4rm84
08:58:55 PodDisruptionBudget rfs-test-cluster 846:	No matching pods found
08:58:55 Deployment rfs-test-cluster 849:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
