06:17:21 Pod redisoperator-56c8dfdfb-jbwkd 799:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-jbwkd to acto-cluster-2-worker2
06:17:23 Pod redisoperator-56c8dfdfb-jbwkd 802:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:17:23 Pod redisoperator-56c8dfdfb-jbwkd 802:	Created container app
06:17:25 Pod redisoperator-56c8dfdfb-jbwkd 802:	Started container app
06:17:21 ReplicaSet redisoperator-56c8dfdfb 796:	Created pod: redisoperator-56c8dfdfb-jbwkd
06:16:51 Pod redisoperator-6445768794-vwfjt 728:	Successfully assigned acto-namespace/redisoperator-6445768794-vwfjt to acto-cluster-2-worker2
06:16:52 Pod redisoperator-6445768794-vwfjt None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-vwfjt
06:16:53 Pod redisoperator-6445768794-vwfjt 731:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:16:53 Pod redisoperator-6445768794-vwfjt 731:	Created container app
06:16:54 Pod redisoperator-6445768794-vwfjt 731:	Started container app
06:17:25 Pod redisoperator-6445768794-vwfjt 731:	Stopping container app
06:16:51 ReplicaSet redisoperator-6445768794 719:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:16:51 ReplicaSet redisoperator-6445768794 726:	Created pod: redisoperator-6445768794-vwfjt
06:17:25 ReplicaSet redisoperator-6445768794 904:	Deleted pod: redisoperator-6445768794-vwfjt
06:16:51 Deployment redisoperator 718:	Scaled up replica set redisoperator-6445768794 to 1
06:17:21 Deployment redisoperator 795:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:17:25 Deployment redisoperator 806:	Scaled down replica set redisoperator-6445768794 to 0
06:17:24 Pod rfr-test-cluster-0 831:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker2
06:17:25 Pod rfr-test-cluster-0 836:	Container image "redis:6.2.6-alpine" already present on machine
06:17:25 Pod rfr-test-cluster-0 836:	Created container redis
06:17:25 Pod rfr-test-cluster-0 836:	Started container redis
06:17:25 Pod rfr-test-cluster-0 836:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:17:26 Pod rfr-test-cluster-0 836:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 357.198352ms
06:17:26 Pod rfr-test-cluster-0 836:	Created container redis-exporter
06:17:29 Pod rfr-test-cluster-0 836:	Started container redis-exporter
06:18:04 Pod rfr-test-cluster-0 836:	Readiness probe failed: 
06:20:56 Pod rfr-test-cluster-0 836:	Stopping container redis
