07:20:54 Pod redisoperator-56c8dfdfb-jqn4s 800:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-jqn4s to acto-cluster-13-worker3
07:20:55 Pod redisoperator-56c8dfdfb-jqn4s 801:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:20:55 Pod redisoperator-56c8dfdfb-jqn4s 801:	Created container app
07:20:57 Pod redisoperator-56c8dfdfb-jqn4s 801:	Started container app
07:20:54 ReplicaSet redisoperator-56c8dfdfb 797:	Created pod: redisoperator-56c8dfdfb-jqn4s
07:20:23 Pod redisoperator-6445768794-mwmp2 730:	Successfully assigned acto-namespace/redisoperator-6445768794-mwmp2 to acto-cluster-13-worker3
07:20:25 Pod redisoperator-6445768794-mwmp2 735:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:20:25 Pod redisoperator-6445768794-mwmp2 735:	Created container app
07:20:26 Pod redisoperator-6445768794-mwmp2 735:	Started container app
07:20:57 Pod redisoperator-6445768794-mwmp2 735:	Stopping container app
07:20:23 ReplicaSet redisoperator-6445768794 722:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:20:23 ReplicaSet redisoperator-6445768794 729:	Created pod: redisoperator-6445768794-mwmp2
07:20:57 ReplicaSet redisoperator-6445768794 886:	Deleted pod: redisoperator-6445768794-mwmp2
07:20:23 Deployment redisoperator 720:	Scaled up replica set redisoperator-6445768794 to 1
07:20:54 Deployment redisoperator 795:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:20:57 Deployment redisoperator 807:	Scaled down replica set redisoperator-6445768794 to 0
07:20:56 Pod rfr-test-cluster-0 831:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker3
07:20:57 Pod rfr-test-cluster-0 836:	Container image "redis:6.2.6-alpine" already present on machine
07:20:57 Pod rfr-test-cluster-0 836:	Created container redis
07:20:57 Pod rfr-test-cluster-0 836:	Started container redis
07:20:57 Pod rfr-test-cluster-0 836:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:20:58 Pod rfr-test-cluster-0 836:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 258.105798ms
07:20:58 Pod rfr-test-cluster-0 836:	Created container redis-exporter
07:21:03 Pod rfr-test-cluster-0 836:	Started container redis-exporter
07:21:36 Pod rfr-test-cluster-0 836:	Readiness probe failed: 
07:25:58 Pod rfr-test-cluster-0 836:	Stopping container redis
07:25:58 Pod rfr-test-cluster-0 836:	Stopping container redis-exporter
