08:32:20 Pod redisoperator-56c8dfdfb-l9jtq 815:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-l9jtq to acto-cluster-9-worker
08:32:21 Pod redisoperator-56c8dfdfb-l9jtq 818:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:32:21 Pod redisoperator-56c8dfdfb-l9jtq 818:	Created container app
08:32:22 Pod redisoperator-56c8dfdfb-l9jtq 818:	Started container app
08:32:20 ReplicaSet redisoperator-56c8dfdfb 812:	Created pod: redisoperator-56c8dfdfb-l9jtq
08:31:49 Pod redisoperator-6445768794-fqz4t 743:	Successfully assigned acto-namespace/redisoperator-6445768794-fqz4t to acto-cluster-9-worker3
08:31:52 Pod redisoperator-6445768794-fqz4t 745:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:31:52 Pod redisoperator-6445768794-fqz4t 745:	Created container app
08:31:54 Pod redisoperator-6445768794-fqz4t 745:	Started container app
08:32:23 Pod redisoperator-6445768794-fqz4t 745:	Stopping container app
08:31:49 ReplicaSet redisoperator-6445768794 734:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:31:49 ReplicaSet redisoperator-6445768794 740:	Created pod: redisoperator-6445768794-fqz4t
08:32:23 ReplicaSet redisoperator-6445768794 915:	Deleted pod: redisoperator-6445768794-fqz4t
08:31:49 Deployment redisoperator 733:	Scaled up replica set redisoperator-6445768794 to 1
08:32:20 Deployment redisoperator 811:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:32:23 Deployment redisoperator 822:	Scaled down replica set redisoperator-6445768794 to 0
08:32:22 Pod rfr-test-cluster-0 851:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker3
08:32:23 Pod rfr-test-cluster-0 855:	Container image "redis:6.2.6-alpine" already present on machine
08:32:23 Pod rfr-test-cluster-0 855:	Created container redis
08:32:23 Pod rfr-test-cluster-0 855:	Started container redis
08:32:23 Pod rfr-test-cluster-0 855:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:32:23 Pod rfr-test-cluster-0 855:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 322.278775ms
08:32:23 Pod rfr-test-cluster-0 855:	Created container redis-exporter
08:32:26 Pod rfr-test-cluster-0 855:	Started container redis-exporter
08:33:02 Pod rfr-test-cluster-0 855:	Readiness probe failed: 
08:35:55 Pod rfr-test-cluster-0 855:	Stopping container redis
08:35:55 Pod rfr-test-cluster-0 855:	Stopping container redis-exporter
08:35:56 Pod rfr-test-cluster-0 1480:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker3
08:35:57 Pod rfr-test-cluster-0 1484:	Container image "redis:6.2.6-alpine" already present on machine
08:35:57 Pod rfr-test-cluster-0 1484:	Created container redis
08:35:57 Pod rfr-test-cluster-0 1484:	Started container redis
08:35:57 Pod rfr-test-cluster-0 1484:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:35:57 Pod rfr-test-cluster-0 1484:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 133.348109ms
08:35:57 Pod rfr-test-cluster-0 1484:	Created container redis-exporter
08:36:00 Pod rfr-test-cluster-0 1484:	Started container redis-exporter
08:36:37 Pod rfr-test-cluster-0 1484:	Readiness probe failed: 
08:39:26 Pod rfr-test-cluster-0 1484:	Stopping container redis
08:39:26 Pod rfr-test-cluster-0 1484:	Stopping container redis-exporter
08:39:27 Pod rfr-test-cluster-0 1484:	Readiness probe failed: Could not connect to Redis at 127.0.0.1:6379: Connection refused

08:39:28 Pod rfr-test-cluster-0 1882:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker3
08:39:29 Pod rfr-test-cluster-0 1884:	Container image "redis:6.2.6-alpine" already present on machine
08:39:29 Pod rfr-test-cluster-0 1884:	Created container redis
08:39:29 Pod rfr-test-cluster-0 1884:	Started container redis
08:39:29 Pod rfr-test-cluster-0 1884:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:39:29 Pod rfr-test-cluster-0 1884:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 134.706973ms
08:39:29 Pod rfr-test-cluster-0 1884:	Created container redis-exporter
08:39:31 Pod rfr-test-cluster-0 1884:	Started container redis-exporter
08:44:24 Pod rfr-test-cluster-0 1884:	Stopping container redis
08:44:24 Pod rfr-test-cluster-0 1884:	Stopping container redis-exporter
08:53:53 Pod rfr-test-cluster-0 3447:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker3
08:53:53 Pod rfr-test-cluster-0 3449:	Container image "redis:6.2.6-alpine" already present on machine
08:53:53 Pod rfr-test-cluster-0 3449:	Created container redis
08:53:54 Pod rfr-test-cluster-0 3449:	Started container redis
08:53:54 Pod rfr-test-cluster-0 3449:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:53:54 Pod rfr-test-cluster-0 3449:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 123.732824ms
08:53:54 Pod rfr-test-cluster-0 3449:	Created container redis-exporter
08:53:57 Pod rfr-test-cluster-0 3449:	Started container redis-exporter
08:54:33 Pod rfr-test-cluster-0 3449:	Readiness probe failed: 
08:32:22 Pod rfr-test-cluster-1 856:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker2
08:32:23 Pod rfr-test-cluster-1 859:	Container image "redis:6.2.6-alpine" already present on machine
08:32:23 Pod rfr-test-cluster-1 859:	Created container redis
08:32:23 Pod rfr-test-cluster-1 859:	Started container redis
08:32:23 Pod rfr-test-cluster-1 859:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:32:23 Pod rfr-test-cluster-1 859:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 296.519384ms
08:32:23 Pod rfr-test-cluster-1 859:	Created container redis-exporter
08:32:26 Pod rfr-test-cluster-1 859:	Started container redis-exporter
08:33:02 Pod rfr-test-cluster-1 859:	Readiness probe failed: 
08:35:24 Pod rfr-test-cluster-1 859:	Stopping container redis
08:35:24 Pod rfr-test-cluster-1 859:	Stopping container redis-exporter
08:35:26 Pod rfr-test-cluster-1 1363:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker2
08:35:26 Pod rfr-test-cluster-1 1364:	Container image "redis:6.2.6-alpine" already present on machine
08:35:26 Pod rfr-test-cluster-1 1364:	Created container redis
