09:55:13 Pod redisoperator-56c8dfdfb-rq8tm 797:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-rq8tm to acto-cluster-13-worker3
09:55:14 Pod redisoperator-56c8dfdfb-rq8tm 800:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:55:14 Pod redisoperator-56c8dfdfb-rq8tm 800:	Created container app
09:55:16 Pod redisoperator-56c8dfdfb-rq8tm 800:	Started container app
09:55:13 ReplicaSet redisoperator-56c8dfdfb 794:	Created pod: redisoperator-56c8dfdfb-rq8tm
09:54:42 Pod redisoperator-6445768794-5rc9q 730:	Successfully assigned acto-namespace/redisoperator-6445768794-5rc9q to acto-cluster-13-worker3
09:54:44 Pod redisoperator-6445768794-5rc9q 732:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:54:44 Pod redisoperator-6445768794-5rc9q 732:	Created container app
09:54:45 Pod redisoperator-6445768794-5rc9q 732:	Started container app
09:55:17 Pod redisoperator-6445768794-5rc9q 732:	Stopping container app
09:54:42 ReplicaSet redisoperator-6445768794 719:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
09:54:42 ReplicaSet redisoperator-6445768794 723:	Created pod: redisoperator-6445768794-5rc9q
09:55:17 ReplicaSet redisoperator-6445768794 913:	Deleted pod: redisoperator-6445768794-5rc9q
09:54:42 Deployment redisoperator 718:	Scaled up replica set redisoperator-6445768794 to 1
09:55:13 Deployment redisoperator 793:	Scaled up replica set redisoperator-56c8dfdfb to 1
09:55:17 Deployment redisoperator 804:	Scaled down replica set redisoperator-6445768794 to 0
09:55:15 Pod rfr-test-cluster-0 830:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker
09:55:16 Pod rfr-test-cluster-0 834:	Container image "redis:6.2.6-alpine" already present on machine
09:55:16 Pod rfr-test-cluster-0 834:	Created container redis
09:55:16 Pod rfr-test-cluster-0 834:	Started container redis
09:55:16 Pod rfr-test-cluster-0 834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:55:16 Pod rfr-test-cluster-0 834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 231.547927ms
09:55:16 Pod rfr-test-cluster-0 834:	Created container redis-exporter
09:55:19 Pod rfr-test-cluster-0 834:	Started container redis-exporter
09:55:55 Pod rfr-test-cluster-0 834:	Readiness probe failed: 
09:58:47 Pod rfr-test-cluster-0 834:	Stopping container redis
09:58:47 Pod rfr-test-cluster-0 834:	Stopping container redis-exporter
10:08:19 Pod rfr-test-cluster-0 2347:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker3
10:08:20 Pod rfr-test-cluster-0 2349:	Container image "redis:6.2.6-alpine" already present on machine
10:08:20 Pod rfr-test-cluster-0 2349:	Created container redis
10:08:20 Pod rfr-test-cluster-0 2349:	Started container redis
10:08:20 Pod rfr-test-cluster-0 2349:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
10:08:20 Pod rfr-test-cluster-0 2349:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 221.701507ms
10:08:20 Pod rfr-test-cluster-0 2349:	Created container redis-exporter
10:08:23 Pod rfr-test-cluster-0 2349:	Started container redis-exporter
10:08:59 Pod rfr-test-cluster-0 2349:	Readiness probe failed: 
09:55:15 Pod rfr-test-cluster-1 833:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker3
09:55:16 Pod rfr-test-cluster-1 838:	Container image "redis:6.2.6-alpine" already present on machine
09:55:16 Pod rfr-test-cluster-1 838:	Created container redis
09:55:16 Pod rfr-test-cluster-1 838:	Started container redis
09:55:16 Pod rfr-test-cluster-1 838:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:55:16 Pod rfr-test-cluster-1 838:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 247.105499ms
09:55:16 Pod rfr-test-cluster-1 838:	Created container redis-exporter
09:55:19 Pod rfr-test-cluster-1 838:	Started container redis-exporter
09:55:55 Pod rfr-test-cluster-1 838:	Readiness probe failed: 
09:58:18 Pod rfr-test-cluster-1 838:	Stopping container redis
09:58:18 Pod rfr-test-cluster-1 838:	Stopping container redis-exporter
10:08:19 Pod rfr-test-cluster-1 2350:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker
10:08:20 Pod rfr-test-cluster-1 2354:	Container image "redis:6.2.6-alpine" already present on machine
10:08:20 Pod rfr-test-cluster-1 2354:	Created container redis
10:08:20 Pod rfr-test-cluster-1 2354:	Started container redis
10:08:20 Pod rfr-test-cluster-1 2354:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
10:08:20 Pod rfr-test-cluster-1 2354:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 217.843876ms
10:08:20 Pod rfr-test-cluster-1 2354:	Created container redis-exporter
10:08:23 Pod rfr-test-cluster-1 2354:	Started container redis-exporter
10:08:59 Pod rfr-test-cluster-1 2354:	Readiness probe failed: 
09:55:15 Pod rfr-test-cluster-2 839:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker2
09:55:16 Pod rfr-test-cluster-2 843:	Container image "redis:6.2.6-alpine" already present on machine
09:55:16 Pod rfr-test-cluster-2 843:	Created container redis
09:55:16 Pod rfr-test-cluster-2 843:	Started container redis
09:55:16 Pod rfr-test-cluster-2 843:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:55:16 Pod rfr-test-cluster-2 843:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 305.013284ms
09:55:16 Pod rfr-test-cluster-2 843:	Created container redis-exporter
09:55:19 Pod rfr-test-cluster-2 843:	Started container redis-exporter
09:55:55 Pod rfr-test-cluster-2 843:	Readiness probe failed: 
09:58:19 Pod rfr-test-cluster-2 843:	Stopping container redis
09:58:19 Pod rfr-test-cluster-2 843:	Stopping container redis-exporter
10:08:19 Pod rfr-test-cluster-2 2357:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker2
10:08:20 Pod rfr-test-cluster-2 2359:	Container image "redis:6.2.6-alpine" already present on machine
10:08:20 Pod rfr-test-cluster-2 2359:	Created container redis
10:08:20 Pod rfr-test-cluster-2 2359:	Started container redis
10:08:20 Pod rfr-test-cluster-2 2359:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
10:08:20 Pod rfr-test-cluster-2 2359:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 268.378241ms
10:08:20 Pod rfr-test-cluster-2 2359:	Created container redis-exporter
10:08:23 Pod rfr-test-cluster-2 2359:	Started container redis-exporter
10:08:59 Pod rfr-test-cluster-2 2359:	Readiness probe failed: 
09:55:15 PodDisruptionBudget rfr-test-cluster 824:	No matching pods found
09:55:15 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
09:55:15 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
09:55:15 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
09:58:19 StatefulSet rfr-test-cluster 1335:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource for containers]
09:58:20 StatefulSet rfr-test-cluster 1342:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
09:58:49 StatefulSet rfr-test-cluster 1342:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource for containers]
