06:08:22 Pod redisoperator-56c8dfdfb-6r64c 804:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-6r64c to acto-cluster-8-worker
06:08:24 Pod redisoperator-56c8dfdfb-6r64c 806:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:08:24 Pod redisoperator-56c8dfdfb-6r64c 806:	Created container app
06:08:26 Pod redisoperator-56c8dfdfb-6r64c 806:	Started container app
06:08:22 ReplicaSet redisoperator-56c8dfdfb 801:	Created pod: redisoperator-56c8dfdfb-6r64c
06:07:52 Pod redisoperator-6445768794-q9m8d 732:	Successfully assigned acto-namespace/redisoperator-6445768794-q9m8d to acto-cluster-8-worker3
06:07:54 Pod redisoperator-6445768794-q9m8d 735:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:07:54 Pod redisoperator-6445768794-q9m8d 735:	Created container app
06:07:55 Pod redisoperator-6445768794-q9m8d 735:	Started container app
06:08:26 Pod redisoperator-6445768794-q9m8d 735:	Stopping container app
06:07:52 ReplicaSet redisoperator-6445768794 723:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:07:52 ReplicaSet redisoperator-6445768794 730:	Created pod: redisoperator-6445768794-q9m8d
06:08:26 ReplicaSet redisoperator-6445768794 905:	Deleted pod: redisoperator-6445768794-q9m8d
06:07:52 Deployment redisoperator 722:	Scaled up replica set redisoperator-6445768794 to 1
06:08:22 Deployment redisoperator 800:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:08:26 Deployment redisoperator 811:	Scaled down replica set redisoperator-6445768794 to 0
06:08:25 Pod rfr-test-cluster-0 835:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker2
06:08:26 Pod rfr-test-cluster-0 840:	Container image "redis:6.2.6-alpine" already present on machine
06:08:26 Pod rfr-test-cluster-0 840:	Created container redis
06:08:26 Pod rfr-test-cluster-0 840:	Started container redis
06:08:26 Pod rfr-test-cluster-0 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:08:27 Pod rfr-test-cluster-0 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 252.215486ms
06:08:27 Pod rfr-test-cluster-0 840:	Created container redis-exporter
06:08:30 Pod rfr-test-cluster-0 840:	Started container redis-exporter
06:09:05 Pod rfr-test-cluster-0 840:	Readiness probe failed: 
