09:19:13 Pod redisoperator-56c8dfdfb-clkfk 802:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-clkfk to acto-cluster-0-worker
09:19:15 Pod redisoperator-56c8dfdfb-clkfk 806:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:19:15 Pod redisoperator-56c8dfdfb-clkfk 806:	Created container app
09:19:16 Pod redisoperator-56c8dfdfb-clkfk 806:	Started container app
09:19:13 ReplicaSet redisoperator-56c8dfdfb 800:	Created pod: redisoperator-56c8dfdfb-clkfk
09:18:43 Pod redisoperator-6445768794-fgrhv 732:	Successfully assigned acto-namespace/redisoperator-6445768794-fgrhv to acto-cluster-0-worker
09:18:44 Pod redisoperator-6445768794-fgrhv None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-fgrhv
09:18:44 Pod redisoperator-6445768794-fgrhv 734:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:18:44 Pod redisoperator-6445768794-fgrhv 734:	Created container app
09:18:46 Pod redisoperator-6445768794-fgrhv 734:	Started container app
09:19:17 Pod redisoperator-6445768794-fgrhv 734:	Stopping container app
09:18:43 ReplicaSet redisoperator-6445768794 724:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
09:18:43 ReplicaSet redisoperator-6445768794 730:	Created pod: redisoperator-6445768794-fgrhv
09:19:17 ReplicaSet redisoperator-6445768794 917:	Deleted pod: redisoperator-6445768794-fgrhv
09:18:43 Deployment redisoperator 722:	Scaled up replica set redisoperator-6445768794 to 1
09:19:13 Deployment redisoperator 799:	Scaled up replica set redisoperator-56c8dfdfb to 1
09:19:17 Deployment redisoperator 810:	Scaled down replica set redisoperator-6445768794 to 0
09:19:15 Pod rfr-test-cluster-0 835:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker3
09:19:16 Pod rfr-test-cluster-0 840:	Container image "redis:6.2.6-alpine" already present on machine
09:19:16 Pod rfr-test-cluster-0 840:	Created container redis
09:19:16 Pod rfr-test-cluster-0 840:	Started container redis
09:19:16 Pod rfr-test-cluster-0 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:19:17 Pod rfr-test-cluster-0 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 246.811857ms
09:19:17 Pod rfr-test-cluster-0 840:	Created container redis-exporter
09:19:20 Pod rfr-test-cluster-0 840:	Started container redis-exporter
09:19:55 Pod rfr-test-cluster-0 840:	Readiness probe failed: 
09:22:48 Pod rfr-test-cluster-0 840:	Stopping container redis
09:22:48 Pod rfr-test-cluster-0 840:	Stopping container redis-exporter
09:32:20 Pod rfr-test-cluster-0 2355:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker
09:32:20 Pod rfr-test-cluster-0 2359:	Container image "redis:6.2.6-alpine" already present on machine
09:32:20 Pod rfr-test-cluster-0 2359:	Created container redis
09:32:20 Pod rfr-test-cluster-0 2359:	Started container redis
09:32:20 Pod rfr-test-cluster-0 2359:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:32:20 Pod rfr-test-cluster-0 2359:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.820172ms
09:32:20 Pod rfr-test-cluster-0 2359:	Created container redis-exporter
09:32:23 Pod rfr-test-cluster-0 2359:	Started container redis-exporter
09:32:50 Pod rfr-test-cluster-0 2359:	Readiness probe failed: 
09:19:15 Pod rfr-test-cluster-1 838:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker2
09:19:16 Pod rfr-test-cluster-1 844:	Container image "redis:6.2.6-alpine" already present on machine
09:19:16 Pod rfr-test-cluster-1 844:	Created container redis
09:19:16 Pod rfr-test-cluster-1 844:	Started container redis
09:19:16 Pod rfr-test-cluster-1 844:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:19:17 Pod rfr-test-cluster-1 844:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 237.72638ms
09:19:17 Pod rfr-test-cluster-1 844:	Created container redis-exporter
09:19:20 Pod rfr-test-cluster-1 844:	Started container redis-exporter
09:19:55 Pod rfr-test-cluster-1 844:	Readiness probe failed: 
09:22:18 Pod rfr-test-cluster-1 844:	Stopping container redis
09:22:18 Pod rfr-test-cluster-1 844:	Stopping container redis-exporter
09:32:20 Pod rfr-test-cluster-1 2357:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker3
09:32:20 Pod rfr-test-cluster-1 2362:	Container image "redis:6.2.6-alpine" already present on machine
09:32:20 Pod rfr-test-cluster-1 2362:	Created container redis
09:32:20 Pod rfr-test-cluster-1 2362:	Started container redis
09:32:20 Pod rfr-test-cluster-1 2362:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:32:20 Pod rfr-test-cluster-1 2362:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 156.919784ms
09:32:20 Pod rfr-test-cluster-1 2362:	Created container redis-exporter
09:32:23 Pod rfr-test-cluster-1 2362:	Started container redis-exporter
09:32:50 Pod rfr-test-cluster-1 2362:	Readiness probe failed: 
09:19:15 Pod rfr-test-cluster-2 842:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker
09:19:16 Pod rfr-test-cluster-2 847:	Container image "redis:6.2.6-alpine" already present on machine
09:19:16 Pod rfr-test-cluster-2 847:	Created container redis
09:19:16 Pod rfr-test-cluster-2 847:	Started container redis
09:19:16 Pod rfr-test-cluster-2 847:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:19:17 Pod rfr-test-cluster-2 847:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 294.131802ms
09:19:17 Pod rfr-test-cluster-2 847:	Created container redis-exporter
09:19:20 Pod rfr-test-cluster-2 847:	Started container redis-exporter
09:19:55 Pod rfr-test-cluster-2 847:	Readiness probe failed: 
09:22:20 Pod rfr-test-cluster-2 847:	Stopping container redis
09:22:20 Pod rfr-test-cluster-2 847:	Stopping container redis-exporter
09:32:20 Pod rfr-test-cluster-2 2361:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker2
09:32:20 Pod rfr-test-cluster-2 2366:	Container image "redis:6.2.6-alpine" already present on machine
09:32:20 Pod rfr-test-cluster-2 2366:	Created container redis
09:32:20 Pod rfr-test-cluster-2 2366:	Started container redis
09:32:20 Pod rfr-test-cluster-2 2366:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:32:20 Pod rfr-test-cluster-2 2366:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.953356ms
09:32:20 Pod rfr-test-cluster-2 2366:	Created container redis-exporter
09:32:23 Pod rfr-test-cluster-2 2366:	Started container redis-exporter
09:32:50 Pod rfr-test-cluster-2 2366:	Readiness probe failed: 
09:19:15 PodDisruptionBudget rfr-test-cluster 829:	No matching pods found
09:19:15 StatefulSet rfr-test-cluster 833:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
09:19:15 StatefulSet rfr-test-cluster 833:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
09:19:15 StatefulSet rfr-test-cluster 833:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
09:22:19 StatefulSet rfr-test-cluster 1339:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
09:22:50 StatefulSet rfr-test-cluster 1339:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
09:19:16 Pod rfs-test-cluster-54df69f8df-87vk8 865:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-87vk8 to acto-cluster-0-worker3
09:19:16 Pod rfs-test-cluster-54df69f8df-87vk8 872:	Container image "redis:6.2.6-alpine" already present on machine
09:19:16 Pod rfs-test-cluster-54df69f8df-87vk8 872:	Created container sentinel-config-copy
09:19:31 Pod rfs-test-cluster-54df69f8df-87vk8 872:	Started container sentinel-config-copy
09:19:33 Pod rfs-test-cluster-54df69f8df-87vk8 872:	Container image "redis:6.2.6-alpine" already present on machine
09:19:33 Pod rfs-test-cluster-54df69f8df-87vk8 872:	Created container sentinel
09:19:34 Pod rfs-test-cluster-54df69f8df-87vk8 872:	Started container sentinel
09:19:16 Pod rfs-test-cluster-54df69f8df-v4n2t 868:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-v4n2t to acto-cluster-0-worker2
09:19:16 Pod rfs-test-cluster-54df69f8df-v4n2t 873:	Container image "redis:6.2.6-alpine" already present on machine
09:19:16 Pod rfs-test-cluster-54df69f8df-v4n2t 873:	Created container sentinel-config-copy
