07:12:07 Pod redisoperator-56c8dfdfb-c84cl 780:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-c84cl to acto-cluster-15-worker
07:12:10 Pod redisoperator-56c8dfdfb-c84cl 783:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:12:11 Pod redisoperator-56c8dfdfb-c84cl 783:	Created container app
07:12:15 Pod redisoperator-56c8dfdfb-c84cl 783:	Started container app
07:12:07 ReplicaSet redisoperator-56c8dfdfb 777:	Created pod: redisoperator-56c8dfdfb-c84cl
07:11:37 Pod redisoperator-6445768794-snt6m 712:	Successfully assigned acto-namespace/redisoperator-6445768794-snt6m to acto-cluster-15-worker
07:11:39 Pod redisoperator-6445768794-snt6m 717:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:11:39 Pod redisoperator-6445768794-snt6m 717:	Created container app
07:11:40 Pod redisoperator-6445768794-snt6m 717:	Started container app
07:12:15 Pod redisoperator-6445768794-snt6m 717:	Stopping container app
07:11:37 ReplicaSet redisoperator-6445768794 704:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:11:37 ReplicaSet redisoperator-6445768794 710:	Created pod: redisoperator-6445768794-snt6m
07:12:15 ReplicaSet redisoperator-6445768794 895:	Deleted pod: redisoperator-6445768794-snt6m
07:11:37 Deployment redisoperator 701:	Scaled up replica set redisoperator-6445768794 to 1
07:12:07 Deployment redisoperator 776:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:12:15 Deployment redisoperator 787:	Scaled down replica set redisoperator-6445768794 to 0
07:12:10 Pod rfr-test-cluster-0 811:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker3
07:12:12 Pod rfr-test-cluster-0 816:	Container image "redis:6.2.6-alpine" already present on machine
07:12:12 Pod rfr-test-cluster-0 816:	Created container redis
07:12:15 Pod rfr-test-cluster-0 816:	Started container redis
07:12:15 Pod rfr-test-cluster-0 816:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:12:15 Pod rfr-test-cluster-0 816:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 267.564578ms
07:12:15 Pod rfr-test-cluster-0 816:	Created container redis-exporter
07:12:18 Pod rfr-test-cluster-0 816:	Started container redis-exporter
07:12:50 Pod rfr-test-cluster-0 816:	Readiness probe failed: 
07:15:46 Pod rfr-test-cluster-0 816:	Stopping container redis
07:15:46 Pod rfr-test-cluster-0 816:	Stopping container redis-exporter
07:15:47 Pod rfr-test-cluster-0 1442:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker3
07:15:48 Pod rfr-test-cluster-0 1445:	Container image "redis:6.2.6-alpine" already present on machine
07:15:48 Pod rfr-test-cluster-0 1445:	Created container redis
07:15:48 Pod rfr-test-cluster-0 1445:	Started container redis
07:15:48 Pod rfr-test-cluster-0 1445:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:15:48 Pod rfr-test-cluster-0 1445:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 136.131123ms
07:15:48 Pod rfr-test-cluster-0 1445:	Created container redis-exporter
07:15:51 Pod rfr-test-cluster-0 1445:	Started container redis-exporter
07:16:29 Pod rfr-test-cluster-0 1445:	Readiness probe failed: 
07:19:10 Pod rfr-test-cluster-0 1445:	Stopping container redis
07:19:10 Pod rfr-test-cluster-0 1445:	Stopping container redis-exporter
