08:20:18 Pod redisoperator-56c8dfdfb-mw22j 796:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mw22j to acto-cluster-13-worker3
08:20:19 Pod redisoperator-56c8dfdfb-mw22j 798:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:20:19 Pod redisoperator-56c8dfdfb-mw22j 798:	Created container app
08:20:21 Pod redisoperator-56c8dfdfb-mw22j 798:	Started container app
08:20:18 ReplicaSet redisoperator-56c8dfdfb 793:	Created pod: redisoperator-56c8dfdfb-mw22j
08:19:48 Pod redisoperator-6445768794-4lpks 725:	Successfully assigned acto-namespace/redisoperator-6445768794-4lpks to acto-cluster-13-worker
08:19:50 Pod redisoperator-6445768794-4lpks 728:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:19:50 Pod redisoperator-6445768794-4lpks 728:	Created container app
08:19:52 Pod redisoperator-6445768794-4lpks 728:	Started container app
08:20:21 Pod redisoperator-6445768794-4lpks 728:	Stopping container app
08:19:48 ReplicaSet redisoperator-6445768794 721:	Created pod: redisoperator-6445768794-4lpks
08:20:21 ReplicaSet redisoperator-6445768794 887:	Deleted pod: redisoperator-6445768794-4lpks
08:19:48 Deployment redisoperator 718:	Scaled up replica set redisoperator-6445768794 to 1
08:20:18 Deployment redisoperator 792:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:20:21 Deployment redisoperator 803:	Scaled down replica set redisoperator-6445768794 to 0
08:20:21 Pod rfr-test-cluster-0 827:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker
08:20:21 Pod rfr-test-cluster-0 832:	Container image "redis:6.2.6-alpine" already present on machine
08:20:21 Pod rfr-test-cluster-0 832:	Created container redis
08:20:21 Pod rfr-test-cluster-0 832:	Started container redis
08:20:21 Pod rfr-test-cluster-0 832:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:20:22 Pod rfr-test-cluster-0 832:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 241.914445ms
08:20:22 Pod rfr-test-cluster-0 832:	Created container redis-exporter
