21:55:22 Pod redis-operator-54fb85ff56-r8g9w 842:	Successfully assigned redis-operator/redis-operator-54fb85ff56-r8g9w to acto-cluster-1-worker2
21:55:23 Pod redis-operator-54fb85ff56-r8g9w 845:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
21:55:23 Pod redis-operator-54fb85ff56-r8g9w 845:	Created container manager
21:55:25 Pod redis-operator-54fb85ff56-r8g9w 845:	Started container manager
21:55:22 ReplicaSet redis-operator-54fb85ff56 839:	Created pod: redis-operator-54fb85ff56-r8g9w
21:54:50 Pod redis-operator-55c9f5f99d-xpv85 741:	Successfully assigned redis-operator/redis-operator-55c9f5f99d-xpv85 to acto-cluster-1-worker3
21:54:51 Pod redis-operator-55c9f5f99d-xpv85 743:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
21:54:51 Pod redis-operator-55c9f5f99d-xpv85 743:	Created container manager
21:54:53 Pod redis-operator-55c9f5f99d-xpv85 743:	Started container manager
21:55:32 Pod redis-operator-55c9f5f99d-xpv85 743:	Stopping container manager
21:54:50 ReplicaSet redis-operator-55c9f5f99d 737:	Created pod: redis-operator-55c9f5f99d-xpv85
21:55:32 ReplicaSet redis-operator-55c9f5f99d 970:	Deleted pod: redis-operator-55c9f5f99d-xpv85
21:54:50 Deployment redis-operator 736:	Scaled up replica set redis-operator-55c9f5f99d to 1
21:55:22 Deployment redis-operator 838:	Scaled up replica set redis-operator-54fb85ff56 to 1
21:55:32 Deployment redis-operator 849:	Scaled down replica set redis-operator-55c9f5f99d to 0
21:55:29 Pod test-cluster-follower-0 897:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-1-worker2
21:55:30 Pod test-cluster-follower-0 947:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:55:30 Pod test-cluster-follower-0 947:	Created container test-cluster-follower
21:55:31 Pod test-cluster-follower-0 947:	Started container test-cluster-follower
21:55:31 Pod test-cluster-follower-0 947:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:55:31 Pod test-cluster-follower-0 947:	Created container redis-exporter
21:55:33 Pod test-cluster-follower-0 947:	Started container redis-exporter
22:01:53 Pod test-cluster-follower-0 947:	Stopping container test-cluster-follower
22:01:53 Pod test-cluster-follower-0 947:	Stopping container redis-exporter
22:02:24 Pod test-cluster-follower-0 2400:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-1-worker2
22:02:25 Pod test-cluster-follower-0 2402:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:02:25 Pod test-cluster-follower-0 2402:	Created container test-cluster-follower
22:02:27 Pod test-cluster-follower-0 2402:	Started container test-cluster-follower
22:02:27 Pod test-cluster-follower-0 2402:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:02:27 Pod test-cluster-follower-0 2402:	Created container redis-exporter
22:02:28 Pod test-cluster-follower-0 2402:	Started container redis-exporter
22:10:43 Pod test-cluster-follower-0 2402:	Stopping container test-cluster-follower
22:10:43 Pod test-cluster-follower-0 2402:	Stopping container redis-exporter
22:11:14 Pod test-cluster-follower-0 3975:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-1-worker2
22:11:16 Pod test-cluster-follower-0 3977:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:11:16 Pod test-cluster-follower-0 3977:	Created container test-cluster-follower
22:11:16 Pod test-cluster-follower-0 3977:	Started container test-cluster-follower
22:11:16 Pod test-cluster-follower-0 3977:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:11:16 Pod test-cluster-follower-0 3977:	Created container redis-exporter
22:11:17 Pod test-cluster-follower-0 3977:	Started container redis-exporter
21:56:05 Pod test-cluster-follower-1 1057:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-1-worker
21:56:05 Pod test-cluster-follower-1 1124:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:56:05 Pod test-cluster-follower-1 1124:	Created container test-cluster-follower
21:56:07 Pod test-cluster-follower-1 1124:	Started container test-cluster-follower
21:56:07 Pod test-cluster-follower-1 1124:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:56:07 Pod test-cluster-follower-1 1124:	Created container redis-exporter
21:56:08 Pod test-cluster-follower-1 1124:	Started container redis-exporter
22:00:51 Pod test-cluster-follower-1 1124:	Stopping container test-cluster-follower
22:00:51 Pod test-cluster-follower-1 1124:	Stopping container redis-exporter
22:01:23 Pod test-cluster-follower-1 2170:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-1-worker
22:01:24 Pod test-cluster-follower-1 2171:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:01:24 Pod test-cluster-follower-1 2171:	Created container test-cluster-follower
22:01:25 Pod test-cluster-follower-1 2171:	Started container test-cluster-follower
22:01:25 Pod test-cluster-follower-1 2171:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:01:25 Pod test-cluster-follower-1 2171:	Created container redis-exporter
22:01:26 Pod test-cluster-follower-1 2171:	Started container redis-exporter
22:09:42 Pod test-cluster-follower-1 2171:	Stopping container test-cluster-follower
22:09:42 Pod test-cluster-follower-1 2171:	Stopping container redis-exporter
22:10:13 Pod test-cluster-follower-1 3738:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-1-worker
22:10:15 Pod test-cluster-follower-1 3740:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:10:15 Pod test-cluster-follower-1 3740:	Created container test-cluster-follower
