06:35:32 Pod redisoperator-56c8dfdfb-dpsnm 792:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-dpsnm to acto-cluster-7-worker3
06:35:33 Pod redisoperator-56c8dfdfb-dpsnm 794:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:35:33 Pod redisoperator-56c8dfdfb-dpsnm 794:	Created container app
06:35:35 Pod redisoperator-56c8dfdfb-dpsnm 794:	Started container app
06:35:32 ReplicaSet redisoperator-56c8dfdfb 789:	Created pod: redisoperator-56c8dfdfb-dpsnm
06:35:02 Pod redisoperator-6445768794-fpwrx 721:	Successfully assigned acto-namespace/redisoperator-6445768794-fpwrx to acto-cluster-7-worker3
06:35:03 Pod redisoperator-6445768794-fpwrx 725:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:35:03 Pod redisoperator-6445768794-fpwrx 725:	Created container app
06:35:03 Pod redisoperator-6445768794-fpwrx None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-fpwrx
06:35:05 Pod redisoperator-6445768794-fpwrx 725:	Started container app
06:35:36 Pod redisoperator-6445768794-fpwrx 725:	Stopping container app
06:35:02 ReplicaSet redisoperator-6445768794 714:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:35:02 ReplicaSet redisoperator-6445768794 720:	Created pod: redisoperator-6445768794-fpwrx
06:35:36 ReplicaSet redisoperator-6445768794 902:	Deleted pod: redisoperator-6445768794-fpwrx
06:35:02 Deployment redisoperator 712:	Scaled up replica set redisoperator-6445768794 to 1
06:35:32 Deployment redisoperator 788:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:35:36 Deployment redisoperator 799:	Scaled down replica set redisoperator-6445768794 to 0
06:35:35 Pod rfr-test-cluster-0 823:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
06:35:35 Pod rfr-test-cluster-0 826:	Container image "redis:6.2.6-alpine" already present on machine
06:35:35 Pod rfr-test-cluster-0 826:	Created container redis
06:35:36 Pod rfr-test-cluster-0 826:	Started container redis
06:35:36 Pod rfr-test-cluster-0 826:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:35:36 Pod rfr-test-cluster-0 826:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 233.75313ms
06:35:36 Pod rfr-test-cluster-0 826:	Created container redis-exporter
06:35:39 Pod rfr-test-cluster-0 826:	Started container redis-exporter
06:36:15 Pod rfr-test-cluster-0 826:	Readiness probe failed: 
06:41:07 Pod rfr-test-cluster-0 826:	Stopping container redis
06:41:07 Pod rfr-test-cluster-0 826:	Stopping container redis-exporter
06:41:09 Pod rfr-test-cluster-0 1681:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
06:41:09 Pod rfr-test-cluster-0 1682:	Container image "redis:6.2.6-alpine" already present on machine
06:41:09 Pod rfr-test-cluster-0 1682:	Created container redis
06:41:10 Pod rfr-test-cluster-0 1682:	Started container redis
06:41:10 Pod rfr-test-cluster-0 1682:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:41:10 Pod rfr-test-cluster-0 1682:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 213.862329ms
06:41:10 Pod rfr-test-cluster-0 1682:	Created container redis-exporter
06:41:13 Pod rfr-test-cluster-0 1682:	Started container redis-exporter
06:41:49 Pod rfr-test-cluster-0 1682:	Readiness probe failed: 
