02:53:03 Pod redis-operator-54fb85ff56-2pzwq 859:	Successfully assigned redis-operator/redis-operator-54fb85ff56-2pzwq to acto-cluster-0-worker3
02:53:04 Pod redis-operator-54fb85ff56-2pzwq 861:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
02:53:04 Pod redis-operator-54fb85ff56-2pzwq 861:	Created container manager
02:53:06 Pod redis-operator-54fb85ff56-2pzwq 861:	Started container manager
02:53:03 ReplicaSet redis-operator-54fb85ff56 856:	Created pod: redis-operator-54fb85ff56-2pzwq
02:52:33 Pod redis-operator-55c9f5f99d-4tjfq 763:	Successfully assigned redis-operator/redis-operator-55c9f5f99d-4tjfq to acto-cluster-0-worker
02:52:34 Pod redis-operator-55c9f5f99d-4tjfq 766:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
02:52:34 Pod redis-operator-55c9f5f99d-4tjfq 766:	Created container manager
02:52:36 Pod redis-operator-55c9f5f99d-4tjfq 766:	Started container manager
02:53:13 Pod redis-operator-55c9f5f99d-4tjfq 766:	Stopping container manager
02:52:33 ReplicaSet redis-operator-55c9f5f99d 760:	Created pod: redis-operator-55c9f5f99d-4tjfq
02:53:13 ReplicaSet redis-operator-55c9f5f99d 984:	Deleted pod: redis-operator-55c9f5f99d-4tjfq
02:52:32 Deployment redis-operator 758:	Scaled up replica set redis-operator-55c9f5f99d to 1
02:53:03 Deployment redis-operator 855:	Scaled up replica set redis-operator-54fb85ff56 to 1
02:53:13 Deployment redis-operator 866:	Scaled down replica set redis-operator-55c9f5f99d to 0
02:53:11 Pod test-cluster-follower-0 910:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-0-worker2
02:53:12 Pod test-cluster-follower-0 969:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:53:12 Pod test-cluster-follower-0 969:	Created container test-cluster-follower
02:53:13 Pod test-cluster-follower-0 969:	Started container test-cluster-follower
02:53:13 Pod test-cluster-follower-0 969:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:53:13 Pod test-cluster-follower-0 969:	Created container redis-exporter
02:53:15 Pod test-cluster-follower-0 969:	Started container redis-exporter
02:57:30 Pod test-cluster-follower-0 969:	Stopping container test-cluster-follower
02:57:30 Pod test-cluster-follower-0 969:	Stopping container redis-exporter
02:58:01 Pod test-cluster-follower-0 2113:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-0-worker2
02:58:02 Pod test-cluster-follower-0 2114:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:58:02 Pod test-cluster-follower-0 2114:	Created container test-cluster-follower
02:58:04 Pod test-cluster-follower-0 2114:	Started container test-cluster-follower
02:58:04 Pod test-cluster-follower-0 2114:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:58:04 Pod test-cluster-follower-0 2114:	Created container redis-exporter
02:58:05 Pod test-cluster-follower-0 2114:	Started container redis-exporter
03:01:09 Pod test-cluster-follower-0 2114:	Stopping container test-cluster-follower
03:01:09 Pod test-cluster-follower-0 2114:	Stopping container redis-exporter
03:01:40 Pod test-cluster-follower-0 2893:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-0-worker2
03:01:42 Pod test-cluster-follower-0 2894:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:01:42 Pod test-cluster-follower-0 2894:	Created container test-cluster-follower
03:01:44 Pod test-cluster-follower-0 2894:	Started container test-cluster-follower
03:01:44 Pod test-cluster-follower-0 2894:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:01:44 Pod test-cluster-follower-0 2894:	Created container redis-exporter
03:01:45 Pod test-cluster-follower-0 2894:	Started container redis-exporter
02:53:46 Pod test-cluster-follower-1 1098:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-0-worker3
02:53:47 Pod test-cluster-follower-1 1147:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:53:47 Pod test-cluster-follower-1 1147:	Created container test-cluster-follower
02:53:49 Pod test-cluster-follower-1 1147:	Started container test-cluster-follower
02:53:49 Pod test-cluster-follower-1 1147:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:53:49 Pod test-cluster-follower-1 1147:	Created container redis-exporter
02:53:50 Pod test-cluster-follower-1 1147:	Started container redis-exporter
02:56:29 Pod test-cluster-follower-1 1147:	Stopping container test-cluster-follower
02:56:29 Pod test-cluster-follower-1 1147:	Stopping container redis-exporter
02:57:00 Pod test-cluster-follower-1 1875:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-0-worker3
02:57:01 Pod test-cluster-follower-1 1876:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:57:01 Pod test-cluster-follower-1 1876:	Created container test-cluster-follower
02:57:02 Pod test-cluster-follower-1 1876:	Started container test-cluster-follower
02:57:02 Pod test-cluster-follower-1 1876:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:57:02 Pod test-cluster-follower-1 1876:	Created container redis-exporter
02:57:03 Pod test-cluster-follower-1 1876:	Started container redis-exporter
03:00:08 Pod test-cluster-follower-1 1876:	Stopping container test-cluster-follower
03:00:08 Pod test-cluster-follower-1 1876:	Stopping container redis-exporter
03:00:39 Pod test-cluster-follower-1 2663:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-0-worker3
03:00:41 Pod test-cluster-follower-1 2664:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:00:41 Pod test-cluster-follower-1 2664:	Created container test-cluster-follower
03:00:42 Pod test-cluster-follower-1 2664:	Started container test-cluster-follower
03:00:42 Pod test-cluster-follower-1 2664:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:00:42 Pod test-cluster-follower-1 2664:	Created container redis-exporter
03:00:44 Pod test-cluster-follower-1 2664:	Started container redis-exporter
02:54:22 Pod test-cluster-follower-2 1274:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-0-worker
02:54:23 Pod test-cluster-follower-2 1324:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:54:23 Pod test-cluster-follower-2 1324:	Created container test-cluster-follower
02:54:24 Pod test-cluster-follower-2 1324:	Started container test-cluster-follower
02:54:24 Pod test-cluster-follower-2 1324:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:54:24 Pod test-cluster-follower-2 1324:	Created container redis-exporter
02:54:25 Pod test-cluster-follower-2 1324:	Started container redis-exporter
02:55:27 Pod test-cluster-follower-2 1324:	Stopping container test-cluster-follower
02:55:27 Pod test-cluster-follower-2 1324:	Stopping container redis-exporter
02:55:58 Pod test-cluster-follower-2 1642:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-0-worker
02:56:00 Pod test-cluster-follower-2 1643:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:56:00 Pod test-cluster-follower-2 1643:	Created container test-cluster-follower
02:56:01 Pod test-cluster-follower-2 1643:	Started container test-cluster-follower
02:56:01 Pod test-cluster-follower-2 1643:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:56:01 Pod test-cluster-follower-2 1643:	Created container redis-exporter
02:56:02 Pod test-cluster-follower-2 1643:	Started container redis-exporter
02:59:07 Pod test-cluster-follower-2 1643:	Stopping container test-cluster-follower
02:59:07 Pod test-cluster-follower-2 1643:	Stopping container redis-exporter
02:59:38 Pod test-cluster-follower-2 2430:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-0-worker
02:59:40 Pod test-cluster-follower-2 2432:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:59:40 Pod test-cluster-follower-2 2432:	Created container test-cluster-follower
02:59:42 Pod test-cluster-follower-2 2432:	Started container test-cluster-follower
02:59:42 Pod test-cluster-follower-2 2432:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:59:42 Pod test-cluster-follower-2 2432:	Created container redis-exporter
02:59:43 Pod test-cluster-follower-2 2432:	Started container redis-exporter
03:02:47 Pod test-cluster-follower-2 2432:	Stopping container test-cluster-follower
03:02:47 Pod test-cluster-follower-2 2432:	Stopping container redis-exporter
03:12:51 Pod test-cluster-follower-2 4675:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-0-worker
03:12:52 Pod test-cluster-follower-2 4676:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:12:52 Pod test-cluster-follower-2 4676:	Created container test-cluster-follower
03:12:53 Pod test-cluster-follower-2 4676:	Started container test-cluster-follower
03:12:53 Pod test-cluster-follower-2 4676:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
