08:20:53 Pod redisoperator-56c8dfdfb-j24hc 786:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-j24hc to acto-cluster-14-worker
08:20:55 Pod redisoperator-56c8dfdfb-j24hc 789:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:20:55 Pod redisoperator-56c8dfdfb-j24hc 789:	Created container app
08:20:56 Pod redisoperator-56c8dfdfb-j24hc 789:	Started container app
08:20:53 ReplicaSet redisoperator-56c8dfdfb 783:	Created pod: redisoperator-56c8dfdfb-j24hc
08:20:23 Pod redisoperator-6445768794-fsvj5 715:	Successfully assigned acto-namespace/redisoperator-6445768794-fsvj5 to acto-cluster-14-worker
08:20:25 Pod redisoperator-6445768794-fsvj5 720:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:20:25 Pod redisoperator-6445768794-fsvj5 720:	Created container app
08:20:28 Pod redisoperator-6445768794-fsvj5 720:	Started container app
08:20:56 Pod redisoperator-6445768794-fsvj5 720:	Stopping container app
08:20:23 ReplicaSet redisoperator-6445768794 706:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:20:23 ReplicaSet redisoperator-6445768794 713:	Created pod: redisoperator-6445768794-fsvj5
08:20:56 ReplicaSet redisoperator-6445768794 888:	Deleted pod: redisoperator-6445768794-fsvj5
08:20:23 Deployment redisoperator 705:	Scaled up replica set redisoperator-6445768794 to 1
08:20:53 Deployment redisoperator 782:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:20:56 Deployment redisoperator 793:	Scaled down replica set redisoperator-6445768794 to 0
08:20:55 Pod rfr-test-cluster-0 819:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-14-worker
08:20:56 Pod rfr-test-cluster-0 822:	Container image "redis:6.2.6-alpine" already present on machine
08:20:56 Pod rfr-test-cluster-0 822:	Created container redis
08:20:56 Pod rfr-test-cluster-0 822:	Started container redis
08:20:56 Pod rfr-test-cluster-0 822:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:20:57 Pod rfr-test-cluster-0 822:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 256.965006ms
08:20:57 Pod rfr-test-cluster-0 822:	Created container redis-exporter
08:20:59 Pod rfr-test-cluster-0 822:	Started container redis-exporter
08:21:36 Pod rfr-test-cluster-0 822:	Readiness probe failed: 
08:24:28 Pod rfr-test-cluster-0 822:	Stopping container redis
08:24:28 Pod rfr-test-cluster-0 822:	Stopping container redis-exporter
08:33:59 Pod rfr-test-cluster-0 2337:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-14-worker
