07:42:49 Pod redisoperator-56c8dfdfb-fk9xk 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-fk9xk to acto-cluster-6-worker2
07:42:51 Pod redisoperator-56c8dfdfb-fk9xk 786:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:42:51 Pod redisoperator-56c8dfdfb-fk9xk 786:	Created container app
07:42:52 Pod redisoperator-56c8dfdfb-fk9xk 786:	Started container app
07:42:49 ReplicaSet redisoperator-56c8dfdfb 780:	Created pod: redisoperator-56c8dfdfb-fk9xk
07:42:19 Pod redisoperator-6445768794-mqfdb 712:	Successfully assigned acto-namespace/redisoperator-6445768794-mqfdb to acto-cluster-6-worker
07:42:20 Pod redisoperator-6445768794-mqfdb 718:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:42:20 Pod redisoperator-6445768794-mqfdb 718:	Created container app
07:42:22 Pod redisoperator-6445768794-mqfdb 718:	Started container app
07:42:53 Pod redisoperator-6445768794-mqfdb 718:	Stopping container app
07:42:19 ReplicaSet redisoperator-6445768794 704:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:42:19 ReplicaSet redisoperator-6445768794 710:	Created pod: redisoperator-6445768794-mqfdb
07:42:53 ReplicaSet redisoperator-6445768794 897:	Deleted pod: redisoperator-6445768794-mqfdb
07:42:19 Deployment redisoperator 702:	Scaled up replica set redisoperator-6445768794 to 1
07:42:49 Deployment redisoperator 779:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:42:53 Deployment redisoperator 790:	Scaled down replica set redisoperator-6445768794 to 0
07:42:52 Pod rfr-test-cluster-0 814:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker2
07:42:53 Pod rfr-test-cluster-0 817:	Container image "redis:6.2.6-alpine" already present on machine
07:42:53 Pod rfr-test-cluster-0 817:	Created container redis
07:42:53 Pod rfr-test-cluster-0 817:	Started container redis
07:42:53 Pod rfr-test-cluster-0 817:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:42:53 Pod rfr-test-cluster-0 817:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 243.086328ms
07:42:53 Pod rfr-test-cluster-0 817:	Created container redis-exporter
07:42:56 Pod rfr-test-cluster-0 817:	Started container redis-exporter
07:43:32 Pod rfr-test-cluster-0 817:	Readiness probe failed: 
07:46:54 Pod rfr-test-cluster-0 817:	Stopping container redis
07:46:54 Pod rfr-test-cluster-0 817:	Stopping container redis-exporter
07:55:56 Pod rfr-test-cluster-0 2333:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker
07:55:57 Pod rfr-test-cluster-0 2335:	Container image "redis:6.2.6-alpine" already present on machine
07:55:57 Pod rfr-test-cluster-0 2335:	Created container redis
07:55:57 Pod rfr-test-cluster-0 2335:	Started container redis
07:55:57 Pod rfr-test-cluster-0 2335:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:55:57 Pod rfr-test-cluster-0 2335:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.382478ms
07:55:57 Pod rfr-test-cluster-0 2335:	Created container redis-exporter
07:56:00 Pod rfr-test-cluster-0 2335:	Started container redis-exporter
07:56:36 Pod rfr-test-cluster-0 2335:	Readiness probe failed: 
07:42:52 Pod rfr-test-cluster-1 819:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker3
07:42:53 Pod rfr-test-cluster-1 822:	Container image "redis:6.2.6-alpine" already present on machine
07:42:53 Pod rfr-test-cluster-1 822:	Created container redis
07:42:53 Pod rfr-test-cluster-1 822:	Started container redis
07:42:53 Pod rfr-test-cluster-1 822:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:42:53 Pod rfr-test-cluster-1 822:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 405.519369ms
07:42:53 Pod rfr-test-cluster-1 822:	Created container redis-exporter
07:42:56 Pod rfr-test-cluster-1 822:	Started container redis-exporter
07:43:32 Pod rfr-test-cluster-1 822:	Readiness probe failed: 
07:45:56 Pod rfr-test-cluster-1 822:	Stopping container redis
07:45:56 Pod rfr-test-cluster-1 822:	Stopping container redis-exporter
07:55:56 Pod rfr-test-cluster-1 2334:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker2
07:55:57 Pod rfr-test-cluster-1 2340:	Container image "redis:6.2.6-alpine" already present on machine
07:55:57 Pod rfr-test-cluster-1 2340:	Created container redis
07:55:57 Pod rfr-test-cluster-1 2340:	Started container redis
07:55:57 Pod rfr-test-cluster-1 2340:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:55:57 Pod rfr-test-cluster-1 2340:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 160.274869ms
07:55:57 Pod rfr-test-cluster-1 2340:	Created container redis-exporter
07:56:00 Pod rfr-test-cluster-1 2340:	Started container redis-exporter
07:56:36 Pod rfr-test-cluster-1 2340:	Readiness probe failed: 
07:42:52 Pod rfr-test-cluster-2 824:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker
07:42:53 Pod rfr-test-cluster-2 827:	Container image "redis:6.2.6-alpine" already present on machine
07:42:53 Pod rfr-test-cluster-2 827:	Created container redis
07:42:53 Pod rfr-test-cluster-2 827:	Started container redis
07:42:53 Pod rfr-test-cluster-2 827:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:42:53 Pod rfr-test-cluster-2 827:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 273.11414ms
07:42:53 Pod rfr-test-cluster-2 827:	Created container redis-exporter
07:42:56 Pod rfr-test-cluster-2 827:	Started container redis-exporter
07:43:32 Pod rfr-test-cluster-2 827:	Readiness probe failed: 
07:46:24 Pod rfr-test-cluster-2 827:	Stopping container redis
07:46:24 Pod rfr-test-cluster-2 827:	Stopping container redis-exporter
07:55:56 Pod rfr-test-cluster-2 2339:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker3
07:55:57 Pod rfr-test-cluster-2 2344:	Container image "redis:6.2.6-alpine" already present on machine
07:55:57 Pod rfr-test-cluster-2 2344:	Created container redis
07:55:57 Pod rfr-test-cluster-2 2344:	Started container redis
07:55:57 Pod rfr-test-cluster-2 2344:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:55:57 Pod rfr-test-cluster-2 2344:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 164.272999ms
07:55:57 Pod rfr-test-cluster-2 2344:	Created container redis-exporter
07:56:00 Pod rfr-test-cluster-2 2344:	Started container redis-exporter
07:56:36 Pod rfr-test-cluster-2 2344:	Readiness probe failed: 
07:42:52 PodDisruptionBudget rfr-test-cluster 808:	No matching pods found
07:42:52 StatefulSet rfr-test-cluster 812:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:42:52 StatefulSet rfr-test-cluster 812:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:42:52 StatefulSet rfr-test-cluster 812:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:45:57 StatefulSet rfr-test-cluster 1320:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
07:46:55 StatefulSet rfr-test-cluster 1320:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
07:42:52 Pod rfs-test-cluster-54df69f8df-7whz9 841:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-7whz9 to acto-cluster-6-worker2
07:42:53 Pod rfs-test-cluster-54df69f8df-7whz9 844:	Container image "redis:6.2.6-alpine" already present on machine
07:42:53 Pod rfs-test-cluster-54df69f8df-7whz9 844:	Created container sentinel-config-copy
07:43:08 Pod rfs-test-cluster-54df69f8df-7whz9 844:	Started container sentinel-config-copy
07:43:10 Pod rfs-test-cluster-54df69f8df-7whz9 844:	Container image "redis:6.2.6-alpine" already present on machine
07:43:10 Pod rfs-test-cluster-54df69f8df-7whz9 844:	Created container sentinel
07:43:10 Pod rfs-test-cluster-54df69f8df-7whz9 844:	Started container sentinel
07:42:52 Pod rfs-test-cluster-54df69f8df-hgn6p 847:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hgn6p to acto-cluster-6-worker
07:42:53 Pod rfs-test-cluster-54df69f8df-hgn6p 854:	Container image "redis:6.2.6-alpine" already present on machine
07:42:53 Pod rfs-test-cluster-54df69f8df-hgn6p 854:	Created container sentinel-config-copy
07:43:08 Pod rfs-test-cluster-54df69f8df-hgn6p 854:	Started container sentinel-config-copy
07:43:10 Pod rfs-test-cluster-54df69f8df-hgn6p 854:	Container image "redis:6.2.6-alpine" already present on machine
07:43:10 Pod rfs-test-cluster-54df69f8df-hgn6p 854:	Created container sentinel
