08:20:59 Pod redisoperator-56c8dfdfb-pljr5 790:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-pljr5 to acto-cluster-2-worker2
08:21:01 Pod redisoperator-56c8dfdfb-pljr5 791:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:21:01 Pod redisoperator-56c8dfdfb-pljr5 791:	Created container app
08:21:02 Pod redisoperator-56c8dfdfb-pljr5 791:	Started container app
08:20:59 ReplicaSet redisoperator-56c8dfdfb 787:	Created pod: redisoperator-56c8dfdfb-pljr5
08:20:29 Pod redisoperator-6445768794-m2mtz 719:	Successfully assigned acto-namespace/redisoperator-6445768794-m2mtz to acto-cluster-2-worker
08:20:31 Pod redisoperator-6445768794-m2mtz 722:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:20:31 Pod redisoperator-6445768794-m2mtz 722:	Created container app
08:20:34 Pod redisoperator-6445768794-m2mtz 722:	Started container app
08:21:02 Pod redisoperator-6445768794-m2mtz 722:	Stopping container app
08:20:29 ReplicaSet redisoperator-6445768794 710:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:20:29 ReplicaSet redisoperator-6445768794 716:	Created pod: redisoperator-6445768794-m2mtz
08:21:02 ReplicaSet redisoperator-6445768794 876:	Deleted pod: redisoperator-6445768794-m2mtz
08:20:29 Deployment redisoperator 709:	Scaled up replica set redisoperator-6445768794 to 1
08:20:59 Deployment redisoperator 786:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:21:02 Deployment redisoperator 797:	Scaled down replica set redisoperator-6445768794 to 0
08:21:02 Pod rfr-test-cluster-0 822:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker3
08:21:03 Pod rfr-test-cluster-0 827:	Container image "redis:6.2.6-alpine" already present on machine
08:21:03 Pod rfr-test-cluster-0 827:	Created container redis
08:21:03 Pod rfr-test-cluster-0 827:	Started container redis
08:21:03 Pod rfr-test-cluster-0 827:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:21:03 Pod rfr-test-cluster-0 827:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 307.828922ms
08:21:03 Pod rfr-test-cluster-0 827:	Created container redis-exporter
08:21:09 Pod rfr-test-cluster-0 827:	Started container redis-exporter
08:21:42 Pod rfr-test-cluster-0 827:	Readiness probe failed: 
08:25:03 Pod rfr-test-cluster-0 827:	Stopping container redis
08:25:03 Pod rfr-test-cluster-0 827:	Stopping container redis-exporter
08:34:06 Pod rfr-test-cluster-0 2352:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker3
08:34:07 Pod rfr-test-cluster-0 2353:	Container image "redis:6.2.6-alpine" already present on machine
08:34:07 Pod rfr-test-cluster-0 2353:	Created container redis
08:34:07 Pod rfr-test-cluster-0 2353:	Started container redis
08:34:07 Pod rfr-test-cluster-0 2353:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:34:07 Pod rfr-test-cluster-0 2353:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.933375ms
08:34:07 Pod rfr-test-cluster-0 2353:	Created container redis-exporter
08:34:10 Pod rfr-test-cluster-0 2353:	Started container redis-exporter
08:34:46 Pod rfr-test-cluster-0 2353:	Readiness probe failed: 
08:21:02 Pod rfr-test-cluster-1 826:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker
08:21:03 Pod rfr-test-cluster-1 829:	Container image "redis:6.2.6-alpine" already present on machine
08:21:03 Pod rfr-test-cluster-1 829:	Created container redis
08:21:03 Pod rfr-test-cluster-1 829:	Started container redis
08:21:03 Pod rfr-test-cluster-1 829:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:21:03 Pod rfr-test-cluster-1 829:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 326.462526ms
08:21:03 Pod rfr-test-cluster-1 829:	Created container redis-exporter
08:21:08 Pod rfr-test-cluster-1 829:	Started container redis-exporter
08:21:42 Pod rfr-test-cluster-1 829:	Readiness probe failed: 
08:24:06 Pod rfr-test-cluster-1 829:	Stopping container redis
08:24:06 Pod rfr-test-cluster-1 829:	Stopping container redis-exporter
08:34:06 Pod rfr-test-cluster-1 2355:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker2
08:34:07 Pod rfr-test-cluster-1 2359:	Container image "redis:6.2.6-alpine" already present on machine
08:34:07 Pod rfr-test-cluster-1 2359:	Created container redis
08:34:07 Pod rfr-test-cluster-1 2359:	Started container redis
08:34:07 Pod rfr-test-cluster-1 2359:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:34:07 Pod rfr-test-cluster-1 2359:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.854559ms
08:34:07 Pod rfr-test-cluster-1 2359:	Created container redis-exporter
08:34:10 Pod rfr-test-cluster-1 2359:	Started container redis-exporter
08:34:46 Pod rfr-test-cluster-1 2359:	Readiness probe failed: 
08:21:02 Pod rfr-test-cluster-2 831:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker2
08:21:03 Pod rfr-test-cluster-2 836:	Container image "redis:6.2.6-alpine" already present on machine
08:21:03 Pod rfr-test-cluster-2 836:	Created container redis
08:21:03 Pod rfr-test-cluster-2 836:	Started container redis
08:21:03 Pod rfr-test-cluster-2 836:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:21:03 Pod rfr-test-cluster-2 836:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 359.220075ms
08:21:03 Pod rfr-test-cluster-2 836:	Created container redis-exporter
08:21:08 Pod rfr-test-cluster-2 836:	Started container redis-exporter
08:21:42 Pod rfr-test-cluster-2 836:	Readiness probe failed: 
08:24:34 Pod rfr-test-cluster-2 836:	Stopping container redis
08:24:34 Pod rfr-test-cluster-2 836:	Stopping container redis-exporter
08:34:06 Pod rfr-test-cluster-2 2358:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker
08:34:07 Pod rfr-test-cluster-2 2363:	Container image "redis:6.2.6-alpine" already present on machine
08:34:07 Pod rfr-test-cluster-2 2363:	Created container redis
08:34:07 Pod rfr-test-cluster-2 2363:	Started container redis
08:34:07 Pod rfr-test-cluster-2 2363:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:34:07 Pod rfr-test-cluster-2 2363:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.675717ms
08:34:07 Pod rfr-test-cluster-2 2363:	Created container redis-exporter
08:34:10 Pod rfr-test-cluster-2 2363:	Started container redis-exporter
08:34:46 Pod rfr-test-cluster-2 2363:	Readiness probe failed: 
08:21:02 PodDisruptionBudget rfr-test-cluster 816:	No matching pods found
