09:08:36 Pod redisoperator-56c8dfdfb-sc5cr 793:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-sc5cr to acto-cluster-2-worker2
09:08:37 Pod redisoperator-56c8dfdfb-sc5cr 796:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:08:37 Pod redisoperator-56c8dfdfb-sc5cr 796:	Created container app
09:08:39 Pod redisoperator-56c8dfdfb-sc5cr 796:	Started container app
09:08:36 ReplicaSet redisoperator-56c8dfdfb 790:	Created pod: redisoperator-56c8dfdfb-sc5cr
09:08:05 Pod redisoperator-6445768794-gczd6 721:	Successfully assigned acto-namespace/redisoperator-6445768794-gczd6 to acto-cluster-2-worker2
09:08:06 Pod redisoperator-6445768794-gczd6 None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-gczd6
09:08:07 Pod redisoperator-6445768794-gczd6 725:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:08:07 Pod redisoperator-6445768794-gczd6 725:	Created container app
09:08:08 Pod redisoperator-6445768794-gczd6 725:	Started container app
09:08:40 Pod redisoperator-6445768794-gczd6 725:	Stopping container app
09:08:05 ReplicaSet redisoperator-6445768794 712:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
09:08:05 ReplicaSet redisoperator-6445768794 718:	Created pod: redisoperator-6445768794-gczd6
09:08:39 ReplicaSet redisoperator-6445768794 910:	Deleted pod: redisoperator-6445768794-gczd6
09:08:05 Deployment redisoperator 711:	Scaled up replica set redisoperator-6445768794 to 1
09:08:35 Deployment redisoperator 788:	Scaled up replica set redisoperator-56c8dfdfb to 1
09:08:39 Deployment redisoperator 800:	Scaled down replica set redisoperator-6445768794 to 0
09:08:38 Pod rfr-test-cluster-0 827:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker3
09:08:38 Pod rfr-test-cluster-0 833:	Container image "redis:6.2.6-alpine" already present on machine
09:08:38 Pod rfr-test-cluster-0 833:	Created container redis
09:08:39 Pod rfr-test-cluster-0 833:	Started container redis
09:08:39 Pod rfr-test-cluster-0 833:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:08:39 Pod rfr-test-cluster-0 833:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 319.522264ms
09:08:39 Pod rfr-test-cluster-0 833:	Created container redis-exporter
09:08:42 Pod rfr-test-cluster-0 833:	Started container redis-exporter
09:09:18 Pod rfr-test-cluster-0 833:	Readiness probe failed: 
09:12:10 Pod rfr-test-cluster-0 833:	Stopping container redis
09:12:10 Pod rfr-test-cluster-0 833:	Stopping container redis-exporter
09:21:42 Pod rfr-test-cluster-0 2350:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker2
09:21:43 Pod rfr-test-cluster-0 2352:	Container image "redis:6.2.6-alpine" already present on machine
09:21:43 Pod rfr-test-cluster-0 2352:	Created container redis
09:21:43 Pod rfr-test-cluster-0 2352:	Started container redis
09:21:43 Pod rfr-test-cluster-0 2352:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:21:43 Pod rfr-test-cluster-0 2352:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 125.942587ms
09:21:43 Pod rfr-test-cluster-0 2352:	Created container redis-exporter
09:21:46 Pod rfr-test-cluster-0 2352:	Started container redis-exporter
09:22:22 Pod rfr-test-cluster-0 2352:	Readiness probe failed: 
09:08:38 Pod rfr-test-cluster-1 830:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker
09:08:38 Pod rfr-test-cluster-1 835:	Container image "redis:6.2.6-alpine" already present on machine
09:08:38 Pod rfr-test-cluster-1 835:	Created container redis
09:08:39 Pod rfr-test-cluster-1 835:	Started container redis
09:08:39 Pod rfr-test-cluster-1 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:08:39 Pod rfr-test-cluster-1 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 247.01649ms
09:08:39 Pod rfr-test-cluster-1 835:	Created container redis-exporter
09:08:42 Pod rfr-test-cluster-1 835:	Started container redis-exporter
