07:00:14 Pod redisoperator-56c8dfdfb-ghqbk 791:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-ghqbk to acto-cluster-9-worker
07:00:15 Pod redisoperator-56c8dfdfb-ghqbk 792:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:00:15 Pod redisoperator-56c8dfdfb-ghqbk 792:	Created container app
07:00:17 Pod redisoperator-56c8dfdfb-ghqbk 792:	Started container app
07:00:14 ReplicaSet redisoperator-56c8dfdfb 788:	Created pod: redisoperator-56c8dfdfb-ghqbk
06:59:44 Pod redisoperator-6445768794-s6jc9 722:	Successfully assigned acto-namespace/redisoperator-6445768794-s6jc9 to acto-cluster-9-worker
06:59:45 Pod redisoperator-6445768794-s6jc9 727:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:59:45 Pod redisoperator-6445768794-s6jc9 727:	Created container app
06:59:47 Pod redisoperator-6445768794-s6jc9 727:	Started container app
07:00:17 Pod redisoperator-6445768794-s6jc9 727:	Stopping container app
06:59:44 ReplicaSet redisoperator-6445768794 713:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:59:44 ReplicaSet redisoperator-6445768794 720:	Created pod: redisoperator-6445768794-s6jc9
07:00:17 ReplicaSet redisoperator-6445768794 890:	Deleted pod: redisoperator-6445768794-s6jc9
06:59:44 Deployment redisoperator 712:	Scaled up replica set redisoperator-6445768794 to 1
07:00:14 Deployment redisoperator 787:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:00:17 Deployment redisoperator 798:	Scaled down replica set redisoperator-6445768794 to 0
07:00:16 Pod rfr-test-cluster-0 822:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker3
07:00:17 Pod rfr-test-cluster-0 826:	Container image "redis:6.2.6-alpine" already present on machine
07:00:17 Pod rfr-test-cluster-0 826:	Created container redis
07:00:19 Pod rfr-test-cluster-0 826:	Started container redis
07:00:19 Pod rfr-test-cluster-0 826:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:00:19 Pod rfr-test-cluster-0 826:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 417.29287ms
07:00:19 Pod rfr-test-cluster-0 826:	Created container redis-exporter
07:00:22 Pod rfr-test-cluster-0 826:	Started container redis-exporter
07:00:56 Pod rfr-test-cluster-0 826:	Readiness probe failed: 
07:03:48 Pod rfr-test-cluster-0 826:	Stopping container redis
07:03:48 Pod rfr-test-cluster-0 826:	Stopping container redis-exporter
07:13:20 Pod rfr-test-cluster-0 2341:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker2
07:13:21 Pod rfr-test-cluster-0 2343:	Container image "redis:6.2.6-alpine" already present on machine
07:13:21 Pod rfr-test-cluster-0 2343:	Created container redis
07:13:21 Pod rfr-test-cluster-0 2343:	Started container redis
07:13:21 Pod rfr-test-cluster-0 2343:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:13:21 Pod rfr-test-cluster-0 2343:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.821544ms
07:13:21 Pod rfr-test-cluster-0 2343:	Created container redis-exporter
07:13:25 Pod rfr-test-cluster-0 2343:	Started container redis-exporter
07:14:00 Pod rfr-test-cluster-0 2343:	Readiness probe failed: 
07:00:16 Pod rfr-test-cluster-1 827:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker
07:00:17 Pod rfr-test-cluster-1 830:	Container image "redis:6.2.6-alpine" already present on machine
07:00:17 Pod rfr-test-cluster-1 830:	Created container redis
07:00:19 Pod rfr-test-cluster-1 830:	Started container redis
07:00:19 Pod rfr-test-cluster-1 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:00:19 Pod rfr-test-cluster-1 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 408.501709ms
07:00:19 Pod rfr-test-cluster-1 830:	Created container redis-exporter
07:00:22 Pod rfr-test-cluster-1 830:	Started container redis-exporter
07:00:56 Pod rfr-test-cluster-1 830:	Readiness probe failed: 
07:03:18 Pod rfr-test-cluster-1 830:	Stopping container redis
07:03:18 Pod rfr-test-cluster-1 830:	Stopping container redis-exporter
07:13:20 Pod rfr-test-cluster-1 2342:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker
07:13:21 Pod rfr-test-cluster-1 2347:	Container image "redis:6.2.6-alpine" already present on machine
07:13:21 Pod rfr-test-cluster-1 2347:	Created container redis
07:13:21 Pod rfr-test-cluster-1 2347:	Started container redis
07:13:21 Pod rfr-test-cluster-1 2347:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:13:21 Pod rfr-test-cluster-1 2347:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.829811ms
07:13:21 Pod rfr-test-cluster-1 2347:	Created container redis-exporter
07:13:25 Pod rfr-test-cluster-1 2347:	Started container redis-exporter
07:14:00 Pod rfr-test-cluster-1 2347:	Readiness probe failed: 
07:00:16 Pod rfr-test-cluster-2 832:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker2
07:00:17 Pod rfr-test-cluster-2 836:	Container image "redis:6.2.6-alpine" already present on machine
07:00:17 Pod rfr-test-cluster-2 836:	Created container redis
07:00:19 Pod rfr-test-cluster-2 836:	Started container redis
07:00:19 Pod rfr-test-cluster-2 836:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:00:19 Pod rfr-test-cluster-2 836:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 425.059625ms
07:00:19 Pod rfr-test-cluster-2 836:	Created container redis-exporter
07:00:22 Pod rfr-test-cluster-2 836:	Started container redis-exporter
07:00:56 Pod rfr-test-cluster-2 836:	Readiness probe failed: 
07:03:20 Pod rfr-test-cluster-2 836:	Stopping container redis
07:03:20 Pod rfr-test-cluster-2 836:	Stopping container redis-exporter
07:13:20 Pod rfr-test-cluster-2 2348:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker3
07:13:21 Pod rfr-test-cluster-2 2351:	Container image "redis:6.2.6-alpine" already present on machine
07:13:21 Pod rfr-test-cluster-2 2351:	Created container redis
07:13:21 Pod rfr-test-cluster-2 2351:	Started container redis
07:13:21 Pod rfr-test-cluster-2 2351:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:13:21 Pod rfr-test-cluster-2 2351:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 142.357333ms
07:13:21 Pod rfr-test-cluster-2 2351:	Created container redis-exporter
07:13:25 Pod rfr-test-cluster-2 2351:	Started container redis-exporter
07:14:00 Pod rfr-test-cluster-2 2351:	Readiness probe failed: 
07:00:16 PodDisruptionBudget rfr-test-cluster 816:	No matching pods found
07:00:16 StatefulSet rfr-test-cluster 820:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:00:16 StatefulSet rfr-test-cluster 820:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:00:16 StatefulSet rfr-test-cluster 820:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:03:19 StatefulSet rfr-test-cluster 1317:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: unsupported pod version: ACTOKEY
07:03:49 StatefulSet rfr-test-cluster 1328:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: unsupported pod version: ACTOKEY
07:00:16 Pod rfs-test-cluster-54df69f8df-7wrxb 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-7wrxb to acto-cluster-9-worker3
07:00:17 Pod rfs-test-cluster-54df69f8df-7wrxb 862:	Container image "redis:6.2.6-alpine" already present on machine
07:00:17 Pod rfs-test-cluster-54df69f8df-7wrxb 862:	Created container sentinel-config-copy
07:00:31 Pod rfs-test-cluster-54df69f8df-7wrxb 862:	Started container sentinel-config-copy
07:00:33 Pod rfs-test-cluster-54df69f8df-7wrxb 862:	Container image "redis:6.2.6-alpine" already present on machine
07:00:33 Pod rfs-test-cluster-54df69f8df-7wrxb 862:	Created container sentinel
07:00:33 Pod rfs-test-cluster-54df69f8df-7wrxb 862:	Started container sentinel
07:00:16 Pod rfs-test-cluster-54df69f8df-9lm4s 851:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9lm4s to acto-cluster-9-worker
07:00:17 Pod rfs-test-cluster-54df69f8df-9lm4s 855:	Container image "redis:6.2.6-alpine" already present on machine
07:00:17 Pod rfs-test-cluster-54df69f8df-9lm4s 855:	Created container sentinel-config-copy
07:00:31 Pod rfs-test-cluster-54df69f8df-9lm4s 855:	Started container sentinel-config-copy
07:00:33 Pod rfs-test-cluster-54df69f8df-9lm4s 855:	Container image "redis:6.2.6-alpine" already present on machine
07:00:33 Pod rfs-test-cluster-54df69f8df-9lm4s 855:	Created container sentinel
07:00:33 Pod rfs-test-cluster-54df69f8df-9lm4s 855:	Started container sentinel
07:00:16 Pod rfs-test-cluster-54df69f8df-rz7xl 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rz7xl to acto-cluster-9-worker2
07:00:17 Pod rfs-test-cluster-54df69f8df-rz7xl 861:	Container image "redis:6.2.6-alpine" already present on machine
07:00:17 Pod rfs-test-cluster-54df69f8df-rz7xl 861:	Created container sentinel-config-copy
07:00:31 Pod rfs-test-cluster-54df69f8df-rz7xl 861:	Started container sentinel-config-copy
07:00:33 Pod rfs-test-cluster-54df69f8df-rz7xl 861:	Container image "redis:6.2.6-alpine" already present on machine
07:00:33 Pod rfs-test-cluster-54df69f8df-rz7xl 861:	Created container sentinel
07:00:33 Pod rfs-test-cluster-54df69f8df-rz7xl 861:	Started container sentinel
07:00:16 ReplicaSet rfs-test-cluster-54df69f8df 847:	Created pod: rfs-test-cluster-54df69f8df-9lm4s
07:00:16 ReplicaSet rfs-test-cluster-54df69f8df 847:	Created pod: rfs-test-cluster-54df69f8df-rz7xl
07:00:16 ReplicaSet rfs-test-cluster-54df69f8df 847:	Created pod: rfs-test-cluster-54df69f8df-7wrxb
07:00:16 PodDisruptionBudget rfs-test-cluster 842:	No matching pods found
07:00:16 Deployment rfs-test-cluster 846:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
