06:00:24 Pod redisoperator-56c8dfdfb-lm7wl 786:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-lm7wl to acto-cluster-11-worker2
06:00:26 Pod redisoperator-56c8dfdfb-lm7wl 788:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:00:26 Pod redisoperator-56c8dfdfb-lm7wl 788:	Created container app
06:00:27 Pod redisoperator-56c8dfdfb-lm7wl 788:	Started container app
06:00:24 ReplicaSet redisoperator-56c8dfdfb 783:	Created pod: redisoperator-56c8dfdfb-lm7wl
05:59:54 Pod redisoperator-6445768794-t8mhh 715:	Successfully assigned acto-namespace/redisoperator-6445768794-t8mhh to acto-cluster-11-worker
05:59:56 Pod redisoperator-6445768794-t8mhh 719:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:59:56 Pod redisoperator-6445768794-t8mhh 719:	Created container app
05:59:57 Pod redisoperator-6445768794-t8mhh 719:	Started container app
06:00:27 Pod redisoperator-6445768794-t8mhh 719:	Stopping container app
05:59:54 ReplicaSet redisoperator-6445768794 706:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
05:59:54 ReplicaSet redisoperator-6445768794 712:	Created pod: redisoperator-6445768794-t8mhh
06:00:27 ReplicaSet redisoperator-6445768794 815:	Deleted pod: redisoperator-6445768794-t8mhh
05:59:54 Deployment redisoperator 704:	Scaled up replica set redisoperator-6445768794 to 1
06:00:24 Deployment redisoperator 782:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:00:27 Deployment redisoperator 793:	Scaled down replica set redisoperator-6445768794 to 0
06:00:27 Pod rfr-test-cluster-0 832:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-11-worker3
06:00:28 Pod rfr-test-cluster-0 834:	Container image "redis:6.2.6-alpine" already present on machine
06:00:28 Pod rfr-test-cluster-0 834:	Created container redis
06:00:28 Pod rfr-test-cluster-0 834:	Started container redis
06:00:28 Pod rfr-test-cluster-0 834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:00:28 Pod rfr-test-cluster-0 834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 274.734256ms
06:00:28 Pod rfr-test-cluster-0 834:	Created container redis-exporter
06:00:31 Pod rfr-test-cluster-0 834:	Started container redis-exporter
06:01:07 Pod rfr-test-cluster-0 834:	Readiness probe failed: 
06:05:29 Pod rfr-test-cluster-0 834:	Stopping container redis
06:05:29 Pod rfr-test-cluster-0 834:	Stopping container redis-exporter
06:05:30 Pod rfr-test-cluster-0 1593:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-11-worker3
06:05:30 Pod rfr-test-cluster-0 1594:	Pulling image "redis:6.2.6-alpine"
06:05:31 Pod rfr-test-cluster-0 1594:	Successfully pulled image "redis:6.2.6-alpine" in 433.884832ms
06:05:31 Pod rfr-test-cluster-0 1594:	Created container redis
06:05:31 Pod rfr-test-cluster-0 1594:	Started container redis
06:05:31 Pod rfr-test-cluster-0 1594:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:05:31 Pod rfr-test-cluster-0 1594:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.229584ms
06:05:31 Pod rfr-test-cluster-0 1594:	Created container redis-exporter
06:05:34 Pod rfr-test-cluster-0 1594:	Started container redis-exporter
06:06:10 Pod rfr-test-cluster-0 1594:	Readiness probe failed: 
06:08:53 Pod rfr-test-cluster-0 1594:	Stopping container redis
06:08:53 Pod rfr-test-cluster-0 1594:	Stopping container redis-exporter
06:18:56 Pod rfr-test-cluster-0 2990:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-11-worker2
06:18:59 Pod rfr-test-cluster-0 2992:	Pulling image "redis:6.2.6-alpine"
06:18:59 Pod rfr-test-cluster-0 2992:	Successfully pulled image "redis:6.2.6-alpine" in 206.658752ms
06:18:59 Pod rfr-test-cluster-0 2992:	Created container redis
06:19:00 Pod rfr-test-cluster-0 2992:	Started container redis
06:19:00 Pod rfr-test-cluster-0 2992:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:19:00 Pod rfr-test-cluster-0 2992:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 110.441825ms
06:19:00 Pod rfr-test-cluster-0 2992:	Created container redis-exporter
06:19:03 Pod rfr-test-cluster-0 2992:	Started container redis-exporter
06:19:36 Pod rfr-test-cluster-0 2992:	Readiness probe failed: 
06:00:27 Pod rfr-test-cluster-1 837:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-11-worker
06:00:28 Pod rfr-test-cluster-1 842:	Container image "redis:6.2.6-alpine" already present on machine
06:00:28 Pod rfr-test-cluster-1 842:	Created container redis
06:00:28 Pod rfr-test-cluster-1 842:	Started container redis
06:00:28 Pod rfr-test-cluster-1 842:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:00:29 Pod rfr-test-cluster-1 842:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 308.07354ms
06:00:29 Pod rfr-test-cluster-1 842:	Created container redis-exporter
06:00:31 Pod rfr-test-cluster-1 842:	Started container redis-exporter
06:01:07 Pod rfr-test-cluster-1 842:	Readiness probe failed: 
06:04:31 Pod rfr-test-cluster-1 842:	Stopping container redis
06:04:31 Pod rfr-test-cluster-1 842:	Stopping container redis-exporter
06:04:33 Pod rfr-test-cluster-1 1425:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-11-worker
06:04:33 Pod rfr-test-cluster-1 1427:	Pulling image "redis:6.2.6-alpine"
06:04:34 Pod rfr-test-cluster-1 1427:	Successfully pulled image "redis:6.2.6-alpine" in 432.471172ms
06:04:34 Pod rfr-test-cluster-1 1427:	Created container redis
06:04:34 Pod rfr-test-cluster-1 1427:	Started container redis
06:04:34 Pod rfr-test-cluster-1 1427:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:04:34 Pod rfr-test-cluster-1 1427:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.798406ms
06:04:34 Pod rfr-test-cluster-1 1427:	Created container redis-exporter
06:04:37 Pod rfr-test-cluster-1 1427:	Started container redis-exporter
06:09:28 Pod rfr-test-cluster-1 1427:	Stopping container redis
06:09:28 Pod rfr-test-cluster-1 1427:	Stopping container redis-exporter
06:18:56 Pod rfr-test-cluster-1 2991:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-11-worker3
06:18:59 Pod rfr-test-cluster-1 2996:	Pulling image "redis:6.2.6-alpine"
06:18:59 Pod rfr-test-cluster-1 2996:	Successfully pulled image "redis:6.2.6-alpine" in 193.012431ms
06:18:59 Pod rfr-test-cluster-1 2996:	Created container redis
06:19:00 Pod rfr-test-cluster-1 2996:	Started container redis
06:19:00 Pod rfr-test-cluster-1 2996:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:19:00 Pod rfr-test-cluster-1 2996:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.050332ms
06:19:00 Pod rfr-test-cluster-1 2996:	Created container redis-exporter
06:19:03 Pod rfr-test-cluster-1 2996:	Started container redis-exporter
06:19:36 Pod rfr-test-cluster-1 2996:	Readiness probe failed: 
06:00:27 Pod rfr-test-cluster-2 840:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-11-worker2
06:00:28 Pod rfr-test-cluster-2 843:	Container image "redis:6.2.6-alpine" already present on machine
06:00:28 Pod rfr-test-cluster-2 843:	Created container redis
06:00:28 Pod rfr-test-cluster-2 843:	Started container redis
06:00:28 Pod rfr-test-cluster-2 843:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:00:28 Pod rfr-test-cluster-2 843:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 269.432324ms
06:00:28 Pod rfr-test-cluster-2 843:	Created container redis-exporter
06:00:31 Pod rfr-test-cluster-2 843:	Started container redis-exporter
06:01:07 Pod rfr-test-cluster-2 843:	Readiness probe failed: 
06:04:59 Pod rfr-test-cluster-2 843:	Stopping container redis
06:04:59 Pod rfr-test-cluster-2 843:	Stopping container redis-exporter
06:05:00 Pod rfr-test-cluster-2 1505:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-11-worker2
06:05:00 Pod rfr-test-cluster-2 1507:	Pulling image "redis:6.2.6-alpine"
06:05:01 Pod rfr-test-cluster-2 1507:	Successfully pulled image "redis:6.2.6-alpine" in 546.931922ms
06:05:01 Pod rfr-test-cluster-2 1507:	Created container redis
06:05:01 Pod rfr-test-cluster-2 1507:	Started container redis
06:05:01 Pod rfr-test-cluster-2 1507:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:05:01 Pod rfr-test-cluster-2 1507:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 147.202272ms
06:05:01 Pod rfr-test-cluster-2 1507:	Created container redis-exporter
06:05:04 Pod rfr-test-cluster-2 1507:	Started container redis-exporter
06:08:58 Pod rfr-test-cluster-2 1507:	Stopping container redis
06:08:58 Pod rfr-test-cluster-2 1507:	Stopping container redis-exporter
