09:14:07 Pod redisoperator-56c8dfdfb-c66jg 796:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-c66jg to acto-cluster-13-worker
09:14:09 Pod redisoperator-56c8dfdfb-c66jg 799:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:14:09 Pod redisoperator-56c8dfdfb-c66jg 799:	Created container app
09:14:10 Pod redisoperator-56c8dfdfb-c66jg 799:	Started container app
09:14:07 ReplicaSet redisoperator-56c8dfdfb 793:	Created pod: redisoperator-56c8dfdfb-c66jg
09:13:37 Pod redisoperator-6445768794-rwtlx 725:	Successfully assigned acto-namespace/redisoperator-6445768794-rwtlx to acto-cluster-13-worker2
09:13:39 Pod redisoperator-6445768794-rwtlx 728:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:13:39 Pod redisoperator-6445768794-rwtlx 728:	Created container app
09:13:40 Pod redisoperator-6445768794-rwtlx 728:	Started container app
09:14:11 Pod redisoperator-6445768794-rwtlx 728:	Stopping container app
09:13:37 ReplicaSet redisoperator-6445768794 717:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
09:13:37 ReplicaSet redisoperator-6445768794 723:	Created pod: redisoperator-6445768794-rwtlx
09:14:11 ReplicaSet redisoperator-6445768794 890:	Deleted pod: redisoperator-6445768794-rwtlx
09:13:37 Deployment redisoperator 715:	Scaled up replica set redisoperator-6445768794 to 1
09:14:07 Deployment redisoperator 792:	Scaled up replica set redisoperator-56c8dfdfb to 1
09:14:11 Deployment redisoperator 803:	Scaled down replica set redisoperator-6445768794 to 0
09:14:10 Pod rfr-test-cluster-0 827:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker3
09:14:10 Pod rfr-test-cluster-0 831:	Container image "redis:6.2.6-alpine" already present on machine
09:14:10 Pod rfr-test-cluster-0 831:	Created container redis
09:14:11 Pod rfr-test-cluster-0 831:	Started container redis
09:14:11 Pod rfr-test-cluster-0 831:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:14:11 Pod rfr-test-cluster-0 831:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 363.42505ms
09:14:11 Pod rfr-test-cluster-0 831:	Created container redis-exporter
09:14:14 Pod rfr-test-cluster-0 831:	Started container redis-exporter
09:14:50 Pod rfr-test-cluster-0 831:	Readiness probe failed: 
09:17:42 Pod rfr-test-cluster-0 831:	Stopping container redis
09:17:42 Pod rfr-test-cluster-0 831:	Stopping container redis-exporter
09:27:14 Pod rfr-test-cluster-0 2347:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker
09:27:14 Pod rfr-test-cluster-0 2349:	Container image "redis:6.2.6-alpine" already present on machine
09:27:14 Pod rfr-test-cluster-0 2349:	Created container redis
09:27:15 Pod rfr-test-cluster-0 2349:	Started container redis
09:27:15 Pod rfr-test-cluster-0 2349:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:27:15 Pod rfr-test-cluster-0 2349:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 109.842916ms
09:27:15 Pod rfr-test-cluster-0 2349:	Created container redis-exporter
09:27:17 Pod rfr-test-cluster-0 2349:	Started container redis-exporter
09:27:54 Pod rfr-test-cluster-0 2349:	Readiness probe failed: 
09:14:10 Pod rfr-test-cluster-1 832:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker2
09:14:10 Pod rfr-test-cluster-1 835:	Container image "redis:6.2.6-alpine" already present on machine
09:14:10 Pod rfr-test-cluster-1 835:	Created container redis
09:14:11 Pod rfr-test-cluster-1 835:	Started container redis
09:14:11 Pod rfr-test-cluster-1 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:14:11 Pod rfr-test-cluster-1 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 304.018519ms
