07:18:46 Pod redisoperator-56c8dfdfb-dqcz6 795:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-dqcz6 to acto-cluster-9-worker
07:18:47 Pod redisoperator-56c8dfdfb-dqcz6 798:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:18:48 Pod redisoperator-56c8dfdfb-dqcz6 798:	Created container app
07:18:49 Pod redisoperator-56c8dfdfb-dqcz6 798:	Started container app
07:18:46 ReplicaSet redisoperator-56c8dfdfb 792:	Created pod: redisoperator-56c8dfdfb-dqcz6
07:18:16 Pod redisoperator-6445768794-ljfc2 724:	Successfully assigned acto-namespace/redisoperator-6445768794-ljfc2 to acto-cluster-9-worker
07:18:17 Pod redisoperator-6445768794-ljfc2 None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-ljfc2
07:18:17 Pod redisoperator-6445768794-ljfc2 728:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:18:17 Pod redisoperator-6445768794-ljfc2 728:	Created container app
07:18:19 Pod redisoperator-6445768794-ljfc2 728:	Started container app
07:18:50 Pod redisoperator-6445768794-ljfc2 728:	Stopping container app
07:18:16 ReplicaSet redisoperator-6445768794 716:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:18:16 ReplicaSet redisoperator-6445768794 722:	Created pod: redisoperator-6445768794-ljfc2
07:18:50 ReplicaSet redisoperator-6445768794 911:	Deleted pod: redisoperator-6445768794-ljfc2
07:18:16 Deployment redisoperator 714:	Scaled up replica set redisoperator-6445768794 to 1
07:18:46 Deployment redisoperator 791:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:18:50 Deployment redisoperator 802:	Scaled down replica set redisoperator-6445768794 to 0
07:18:48 Pod rfr-test-cluster-0 826:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker3
07:18:49 Pod rfr-test-cluster-0 831:	Container image "redis:6.2.6-alpine" already present on machine
07:18:49 Pod rfr-test-cluster-0 831:	Created container redis
07:18:49 Pod rfr-test-cluster-0 831:	Started container redis
07:18:49 Pod rfr-test-cluster-0 831:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:18:50 Pod rfr-test-cluster-0 831:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 260.946209ms
07:18:50 Pod rfr-test-cluster-0 831:	Created container redis-exporter
07:18:53 Pod rfr-test-cluster-0 831:	Started container redis-exporter
07:19:29 Pod rfr-test-cluster-0 831:	Readiness probe failed: 
07:22:51 Pod rfr-test-cluster-0 831:	Stopping container redis
07:22:51 Pod rfr-test-cluster-0 831:	Stopping container redis-exporter
07:31:54 Pod rfr-test-cluster-0 2354:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker
07:31:55 Pod rfr-test-cluster-0 2356:	Container image "redis:6.2.6-alpine" already present on machine
07:31:55 Pod rfr-test-cluster-0 2356:	Created container redis
07:31:56 Pod rfr-test-cluster-0 2356:	Started container redis
07:31:56 Pod rfr-test-cluster-0 2356:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:31:57 Pod rfr-test-cluster-0 2356:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 717.314015ms
07:31:57 Pod rfr-test-cluster-0 2356:	Created container redis-exporter
07:31:59 Pod rfr-test-cluster-0 2356:	Started container redis-exporter
07:32:34 Pod rfr-test-cluster-0 2356:	Readiness probe failed: 
07:18:48 Pod rfr-test-cluster-1 830:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker2
07:18:49 Pod rfr-test-cluster-1 833:	Container image "redis:6.2.6-alpine" already present on machine
07:18:49 Pod rfr-test-cluster-1 833:	Created container redis
07:18:49 Pod rfr-test-cluster-1 833:	Started container redis
07:18:49 Pod rfr-test-cluster-1 833:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:18:50 Pod rfr-test-cluster-1 833:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 247.508583ms
07:18:50 Pod rfr-test-cluster-1 833:	Created container redis-exporter
07:18:53 Pod rfr-test-cluster-1 833:	Started container redis-exporter
07:19:29 Pod rfr-test-cluster-1 833:	Readiness probe failed: 
07:21:53 Pod rfr-test-cluster-1 833:	Stopping container redis
07:21:53 Pod rfr-test-cluster-1 833:	Stopping container redis-exporter
07:31:54 Pod rfr-test-cluster-1 2355:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker3
07:31:55 Pod rfr-test-cluster-1 2359:	Container image "redis:6.2.6-alpine" already present on machine
07:31:55 Pod rfr-test-cluster-1 2359:	Created container redis
07:31:56 Pod rfr-test-cluster-1 2359:	Started container redis
07:31:56 Pod rfr-test-cluster-1 2359:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:31:57 Pod rfr-test-cluster-1 2359:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.262511ms
07:31:57 Pod rfr-test-cluster-1 2359:	Created container redis-exporter
07:32:00 Pod rfr-test-cluster-1 2359:	Started container redis-exporter
07:32:34 Pod rfr-test-cluster-1 2359:	Readiness probe failed: 
07:18:48 Pod rfr-test-cluster-2 837:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker
07:18:49 Pod rfr-test-cluster-2 839:	Container image "redis:6.2.6-alpine" already present on machine
07:18:49 Pod rfr-test-cluster-2 839:	Created container redis
07:18:49 Pod rfr-test-cluster-2 839:	Started container redis
07:18:49 Pod rfr-test-cluster-2 839:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:18:50 Pod rfr-test-cluster-2 839:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 237.841221ms
07:18:50 Pod rfr-test-cluster-2 839:	Created container redis-exporter
07:18:53 Pod rfr-test-cluster-2 839:	Started container redis-exporter
07:19:29 Pod rfr-test-cluster-2 839:	Readiness probe failed: 
07:22:21 Pod rfr-test-cluster-2 839:	Stopping container redis
07:22:21 Pod rfr-test-cluster-2 839:	Stopping container redis-exporter
07:31:54 Pod rfr-test-cluster-2 2361:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker2
07:31:55 Pod rfr-test-cluster-2 2365:	Container image "redis:6.2.6-alpine" already present on machine
07:31:55 Pod rfr-test-cluster-2 2365:	Created container redis
07:31:56 Pod rfr-test-cluster-2 2365:	Started container redis
07:31:56 Pod rfr-test-cluster-2 2365:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:31:57 Pod rfr-test-cluster-2 2365:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 176.27508ms
07:31:57 Pod rfr-test-cluster-2 2365:	Created container redis-exporter
07:31:59 Pod rfr-test-cluster-2 2365:	Started container redis-exporter
07:32:34 Pod rfr-test-cluster-2 2365:	Readiness probe failed: 
07:18:48 PodDisruptionBudget rfr-test-cluster 820:	No matching pods found
07:18:48 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:18:48 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:18:48 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:21:56 StatefulSet rfr-test-cluster 1337:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: field label not supported: ACTOKEY
07:22:52 StatefulSet rfr-test-cluster 1337:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: field label not supported: ACTOKEY
07:18:49 Pod rfs-test-cluster-54df69f8df-mct8d 860:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-mct8d to acto-cluster-9-worker2
07:18:49 Pod rfs-test-cluster-54df69f8df-mct8d 865:	Container image "redis:6.2.6-alpine" already present on machine
07:18:49 Pod rfs-test-cluster-54df69f8df-mct8d 865:	Created container sentinel-config-copy
07:19:06 Pod rfs-test-cluster-54df69f8df-mct8d 865:	Started container sentinel-config-copy
07:19:09 Pod rfs-test-cluster-54df69f8df-mct8d 865:	Container image "redis:6.2.6-alpine" already present on machine
07:19:09 Pod rfs-test-cluster-54df69f8df-mct8d 865:	Created container sentinel
07:19:10 Pod rfs-test-cluster-54df69f8df-mct8d 865:	Started container sentinel
07:18:49 Pod rfs-test-cluster-54df69f8df-nhz5x 856:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-nhz5x to acto-cluster-9-worker
07:18:49 Pod rfs-test-cluster-54df69f8df-nhz5x 863:	Container image "redis:6.2.6-alpine" already present on machine
07:18:49 Pod rfs-test-cluster-54df69f8df-nhz5x 863:	Created container sentinel-config-copy
07:19:05 Pod rfs-test-cluster-54df69f8df-nhz5x 863:	Started container sentinel-config-copy
07:19:08 Pod rfs-test-cluster-54df69f8df-nhz5x 863:	Container image "redis:6.2.6-alpine" already present on machine
07:19:08 Pod rfs-test-cluster-54df69f8df-nhz5x 863:	Created container sentinel
07:19:09 Pod rfs-test-cluster-54df69f8df-nhz5x 863:	Started container sentinel
07:18:49 Pod rfs-test-cluster-54df69f8df-wbm9w 853:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-wbm9w to acto-cluster-9-worker3
07:18:49 Pod rfs-test-cluster-54df69f8df-wbm9w 859:	Container image "redis:6.2.6-alpine" already present on machine
07:18:49 Pod rfs-test-cluster-54df69f8df-wbm9w 859:	Created container sentinel-config-copy
07:19:06 Pod rfs-test-cluster-54df69f8df-wbm9w 859:	Started container sentinel-config-copy
07:19:08 Pod rfs-test-cluster-54df69f8df-wbm9w 859:	Container image "redis:6.2.6-alpine" already present on machine
07:19:08 Pod rfs-test-cluster-54df69f8df-wbm9w 859:	Created container sentinel
07:19:09 Pod rfs-test-cluster-54df69f8df-wbm9w 859:	Started container sentinel
07:18:49 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-wbm9w
07:18:49 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-nhz5x
07:18:49 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-mct8d
07:18:49 PodDisruptionBudget rfs-test-cluster 846:	No matching pods found
07:18:49 Deployment rfs-test-cluster 850:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
