06:18:44 Pod redisoperator-56c8dfdfb-6vrdq 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-6vrdq to acto-cluster-0-worker
06:18:45 Pod redisoperator-56c8dfdfb-6vrdq 797:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:18:45 Pod redisoperator-56c8dfdfb-6vrdq 797:	Created container app
06:18:47 Pod redisoperator-56c8dfdfb-6vrdq 797:	Started container app
06:18:44 ReplicaSet redisoperator-56c8dfdfb 791:	Created pod: redisoperator-56c8dfdfb-6vrdq
06:18:14 Pod redisoperator-6445768794-wp4b9 724:	Successfully assigned acto-namespace/redisoperator-6445768794-wp4b9 to acto-cluster-0-worker
06:18:15 Pod redisoperator-6445768794-wp4b9 726:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:18:15 Pod redisoperator-6445768794-wp4b9 726:	Created container app
06:18:17 Pod redisoperator-6445768794-wp4b9 726:	Started container app
06:18:48 Pod redisoperator-6445768794-wp4b9 726:	Stopping container app
06:18:14 ReplicaSet redisoperator-6445768794 720:	Created pod: redisoperator-6445768794-wp4b9
06:18:48 ReplicaSet redisoperator-6445768794 911:	Deleted pod: redisoperator-6445768794-wp4b9
06:18:14 Deployment redisoperator 717:	Scaled up replica set redisoperator-6445768794 to 1
06:18:44 Deployment redisoperator 790:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:18:48 Deployment redisoperator 801:	Scaled down replica set redisoperator-6445768794 to 0
06:18:46 Pod rfr-test-cluster-0 825:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker
06:18:47 Pod rfr-test-cluster-0 829:	Container image "redis:6.2.6-alpine" already present on machine
06:18:47 Pod rfr-test-cluster-0 829:	Created container redis
06:18:47 Pod rfr-test-cluster-0 829:	Started container redis
06:18:47 Pod rfr-test-cluster-0 829:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:18:47 Pod rfr-test-cluster-0 829:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 320.245362ms
06:18:47 Pod rfr-test-cluster-0 829:	Created container redis-exporter
06:18:50 Pod rfr-test-cluster-0 829:	Started container redis-exporter
06:19:26 Pod rfr-test-cluster-0 829:	Readiness probe failed: 
06:25:49 Pod rfr-test-cluster-0 829:	Stopping container redis
06:25:49 Pod rfr-test-cluster-0 829:	Stopping container redis-exporter
06:25:51 Pod rfr-test-cluster-0 1813:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker
06:25:51 Pod rfr-test-cluster-0 1814:	Container image "redis:6.2.6-alpine" already present on machine
06:25:51 Pod rfr-test-cluster-0 1814:	Created container redis
06:25:51 Pod rfr-test-cluster-0 1814:	Started container redis
06:25:51 Pod rfr-test-cluster-0 1814:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:25:52 Pod rfr-test-cluster-0 1814:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 106.350078ms
06:25:52 Pod rfr-test-cluster-0 1814:	Created container redis-exporter
06:25:54 Pod rfr-test-cluster-0 1814:	Started container redis-exporter
06:26:21 Pod rfr-test-cluster-0 1814:	Readiness probe failed: 
06:29:15 Pod rfr-test-cluster-0 1814:	Stopping container redis
06:29:15 Pod rfr-test-cluster-0 1814:	Stopping container redis-exporter
06:39:17 Pod rfr-test-cluster-0 3210:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker
06:39:18 Pod rfr-test-cluster-0 3212:	Container image "redis:6.2.6-alpine" already present on machine
06:39:18 Pod rfr-test-cluster-0 3212:	Created container redis
06:39:18 Pod rfr-test-cluster-0 3212:	Started container redis
06:39:18 Pod rfr-test-cluster-0 3212:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:39:18 Pod rfr-test-cluster-0 3212:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 156.034578ms
06:39:18 Pod rfr-test-cluster-0 3212:	Created container redis-exporter
06:39:21 Pod rfr-test-cluster-0 3212:	Started container redis-exporter
06:39:57 Pod rfr-test-cluster-0 3212:	Readiness probe failed: 
06:18:46 Pod rfr-test-cluster-1 828:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker2
06:18:47 Pod rfr-test-cluster-1 834:	Container image "redis:6.2.6-alpine" already present on machine
06:18:47 Pod rfr-test-cluster-1 834:	Created container redis
06:18:47 Pod rfr-test-cluster-1 834:	Started container redis
06:18:47 Pod rfr-test-cluster-1 834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:18:47 Pod rfr-test-cluster-1 834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 308.985622ms
06:18:47 Pod rfr-test-cluster-1 834:	Created container redis-exporter
06:18:50 Pod rfr-test-cluster-1 834:	Started container redis-exporter
06:19:26 Pod rfr-test-cluster-1 834:	Readiness probe failed: 
06:24:53 Pod rfr-test-cluster-1 834:	Stopping container redis
06:24:53 Pod rfr-test-cluster-1 834:	Stopping container redis-exporter
06:24:54 Pod rfr-test-cluster-1 1649:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker2
06:24:55 Pod rfr-test-cluster-1 1650:	Container image "redis:6.2.6-alpine" already present on machine
