23:31:02 Pod redis-operator-54fb85ff56-fwn6p 817:	Successfully assigned redis-operator/redis-operator-54fb85ff56-fwn6p to acto-cluster-4-worker3
23:31:04 Pod redis-operator-54fb85ff56-fwn6p 819:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
23:31:04 Pod redis-operator-54fb85ff56-fwn6p 819:	Created container manager
23:31:05 Pod redis-operator-54fb85ff56-fwn6p 819:	Started container manager
23:31:02 ReplicaSet redis-operator-54fb85ff56 814:	Created pod: redis-operator-54fb85ff56-fwn6p
23:30:32 Pod redis-operator-55c9f5f99d-kspkk 718:	Successfully assigned redis-operator/redis-operator-55c9f5f99d-kspkk to acto-cluster-4-worker
23:30:34 Pod redis-operator-55c9f5f99d-kspkk 721:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
23:30:34 Pod redis-operator-55c9f5f99d-kspkk 721:	Created container manager
23:30:35 Pod redis-operator-55c9f5f99d-kspkk 721:	Started container manager
23:31:13 Pod redis-operator-55c9f5f99d-kspkk 721:	Stopping container manager
23:30:32 ReplicaSet redis-operator-55c9f5f99d 714:	Created pod: redis-operator-55c9f5f99d-kspkk
23:31:13 ReplicaSet redis-operator-55c9f5f99d 938:	Deleted pod: redis-operator-55c9f5f99d-kspkk
23:30:32 Deployment redis-operator 713:	Scaled up replica set redis-operator-55c9f5f99d to 1
23:31:02 Deployment redis-operator 813:	Scaled up replica set redis-operator-54fb85ff56 to 1
23:31:13 Deployment redis-operator 825:	Scaled down replica set redis-operator-55c9f5f99d to 0
23:31:11 Pod test-cluster-follower-0 872:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-4-worker
23:31:12 Pod test-cluster-follower-0 924:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:31:12 Pod test-cluster-follower-0 924:	Created container test-cluster-follower
23:31:14 Pod test-cluster-follower-0 924:	Started container test-cluster-follower
23:31:14 Pod test-cluster-follower-0 924:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:31:14 Pod test-cluster-follower-0 924:	Created container redis-exporter
23:31:15 Pod test-cluster-follower-0 924:	Started container redis-exporter
23:35:32 Pod test-cluster-follower-0 924:	Stopping container test-cluster-follower
23:35:32 Pod test-cluster-follower-0 924:	Stopping container redis-exporter
23:36:03 Pod test-cluster-follower-0 2077:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-4-worker
23:36:04 Pod test-cluster-follower-0 2079:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:36:04 Pod test-cluster-follower-0 2079:	Created container test-cluster-follower
23:36:05 Pod test-cluster-follower-0 2079:	Started container test-cluster-follower
23:36:05 Pod test-cluster-follower-0 2079:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:36:05 Pod test-cluster-follower-0 2079:	Created container redis-exporter
23:36:07 Pod test-cluster-follower-0 2079:	Started container redis-exporter
23:39:11 Pod test-cluster-follower-0 2079:	Stopping container test-cluster-follower
23:39:11 Pod test-cluster-follower-0 2079:	Stopping container redis-exporter
23:39:42 Pod test-cluster-follower-0 2862:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-4-worker
23:39:45 Pod test-cluster-follower-0 2864:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:39:45 Pod test-cluster-follower-0 2864:	Created container test-cluster-follower
23:39:46 Pod test-cluster-follower-0 2864:	Started container test-cluster-follower
23:39:46 Pod test-cluster-follower-0 2864:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:39:46 Pod test-cluster-follower-0 2864:	Created container redis-exporter
23:39:47 Pod test-cluster-follower-0 2864:	Started container redis-exporter
23:42:52 Pod test-cluster-follower-0 2864:	Stopping container test-cluster-follower
23:42:52 Pod test-cluster-follower-0 2864:	Stopping container redis-exporter
23:43:23 Pod test-cluster-follower-0 3666:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-4-worker
23:43:25 Pod test-cluster-follower-0 3669:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:43:25 Pod test-cluster-follower-0 3669:	Created container test-cluster-follower
23:43:27 Pod test-cluster-follower-0 3669:	Started container test-cluster-follower
23:43:27 Pod test-cluster-follower-0 3669:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:43:27 Pod test-cluster-follower-0 3669:	Created container redis-exporter
23:43:28 Pod test-cluster-follower-0 3669:	Started container redis-exporter
23:31:46 Pod test-cluster-follower-1 1048:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-4-worker3
23:31:47 Pod test-cluster-follower-1 1097:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:31:47 Pod test-cluster-follower-1 1097:	Created container test-cluster-follower
23:31:48 Pod test-cluster-follower-1 1097:	Started container test-cluster-follower
23:31:48 Pod test-cluster-follower-1 1097:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:31:48 Pod test-cluster-follower-1 1097:	Created container redis-exporter
23:31:49 Pod test-cluster-follower-1 1097:	Started container redis-exporter
23:34:31 Pod test-cluster-follower-1 1097:	Stopping container test-cluster-follower
23:34:31 Pod test-cluster-follower-1 1097:	Stopping container redis-exporter
23:35:01 Pod test-cluster-follower-1 1841:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-4-worker3
23:35:03 Pod test-cluster-follower-1 1843:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:35:03 Pod test-cluster-follower-1 1843:	Created container test-cluster-follower
23:35:04 Pod test-cluster-follower-1 1843:	Started container test-cluster-follower
23:35:04 Pod test-cluster-follower-1 1843:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:35:04 Pod test-cluster-follower-1 1843:	Created container redis-exporter
23:35:05 Pod test-cluster-follower-1 1843:	Started container redis-exporter
23:38:10 Pod test-cluster-follower-1 1843:	Stopping container test-cluster-follower
23:38:10 Pod test-cluster-follower-1 1843:	Stopping container redis-exporter
23:38:41 Pod test-cluster-follower-1 2626:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-4-worker3
23:38:43 Pod test-cluster-follower-1 2629:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:38:43 Pod test-cluster-follower-1 2629:	Created container test-cluster-follower
23:38:44 Pod test-cluster-follower-1 2629:	Started container test-cluster-follower
23:38:44 Pod test-cluster-follower-1 2629:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:38:44 Pod test-cluster-follower-1 2629:	Created container redis-exporter
23:38:46 Pod test-cluster-follower-1 2629:	Started container redis-exporter
23:41:51 Pod test-cluster-follower-1 2629:	Stopping container test-cluster-follower
23:41:51 Pod test-cluster-follower-1 2629:	Stopping container redis-exporter
23:42:21 Pod test-cluster-follower-1 3422:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-4-worker3
23:42:23 Pod test-cluster-follower-1 3425:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:42:23 Pod test-cluster-follower-1 3425:	Created container test-cluster-follower
23:42:25 Pod test-cluster-follower-1 3425:	Started container test-cluster-follower
23:42:25 Pod test-cluster-follower-1 3425:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
