08:39:18 Pod redisoperator-56c8dfdfb-zhx2x 796:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-zhx2x to acto-cluster-2-worker
08:39:19 Pod redisoperator-56c8dfdfb-zhx2x 799:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:39:19 Pod redisoperator-56c8dfdfb-zhx2x 799:	Created container app
08:39:20 Pod redisoperator-56c8dfdfb-zhx2x 799:	Started container app
08:39:18 ReplicaSet redisoperator-56c8dfdfb 793:	Created pod: redisoperator-56c8dfdfb-zhx2x
08:38:47 Pod redisoperator-6445768794-9pgc5 725:	Successfully assigned acto-namespace/redisoperator-6445768794-9pgc5 to acto-cluster-2-worker3
08:38:49 Pod redisoperator-6445768794-9pgc5 727:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:38:49 Pod redisoperator-6445768794-9pgc5 727:	Created container app
08:38:50 Pod redisoperator-6445768794-9pgc5 727:	Started container app
08:39:21 Pod redisoperator-6445768794-9pgc5 727:	Stopping container app
08:38:47 ReplicaSet redisoperator-6445768794 717:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:38:47 ReplicaSet redisoperator-6445768794 722:	Created pod: redisoperator-6445768794-9pgc5
08:39:21 ReplicaSet redisoperator-6445768794 887:	Deleted pod: redisoperator-6445768794-9pgc5
08:38:47 Deployment redisoperator 715:	Scaled up replica set redisoperator-6445768794 to 1
08:39:18 Deployment redisoperator 790:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:39:21 Deployment redisoperator 803:	Scaled down replica set redisoperator-6445768794 to 0
08:39:20 Pod rfr-test-cluster-0 827:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker
08:39:20 Pod rfr-test-cluster-0 831:	Container image "redis:6.2.6-alpine" already present on machine
08:39:20 Pod rfr-test-cluster-0 831:	Created container redis
08:39:21 Pod rfr-test-cluster-0 831:	Started container redis
08:39:21 Pod rfr-test-cluster-0 831:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:39:21 Pod rfr-test-cluster-0 831:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 383.728948ms
08:39:21 Pod rfr-test-cluster-0 831:	Created container redis-exporter
