Name,Owner,Desc,url,forks,stars,watches,created_at
juju,juju,"Universal Operator Lifecycle Manager (OLM) for Kubernetes operators, and operators for traditional Linux apps, with declarative integration between operators for automated microservice integration.",https://github.com/juju/juju,456,2100,79,2014-06-03
prometheus-operator,prometheus-operator,Prometheus Operator creates/configures/manages Prometheus clusters atop Kubernetes,https://github.com/prometheus-operator/prometheus-operator,3488,7858,151,2016-09-22
maya,openebs,Manage Container Attached Storage (CAS) - Data Engines in Kubernetes,https://github.com/openebs/maya,201,180,23,2016-10-06
kvm-operator,giantswarm,Handles Kubernetes clusters running on a Kubernetes cluster with workers and masters in KVMs on bare metal,https://github.com/giantswarm/kvm-operator,13,88,19,2016-11-17
nats-operator,nats-io,NATS Operator,https://github.com/nats-io/nats-operator,110,556,15,2016-12-04
aws-operator,giantswarm,Manages Kubernetes clusters running on AWS (before Cluster API),https://github.com/giantswarm/aws-operator,22,129,18,2017-02-01
postgres-operator,CrunchyData,"Production PostgreSQL for Kubernetes, from high availability Postgres clusters to full-scale database-as-a-service.",https://github.com/CrunchyData/postgres-operator,500,3208,61,2017-02-27
eventrouter,vmware-archive,A simple introspective kubernetes service that forwards events to a specified sink.,https://github.com/vmware-archive/eventrouter,231,871,28,2017-03-03
cert-operator,giantswarm,cert-operator creates and manages certificates for Kubernetes clusters running on Giant Swarm,https://github.com/giantswarm/cert-operator,7,37,14,2017-03-13
operatorkit,giantswarm,An opinionated Go framework for developing Kubernetes operators,https://github.com/giantswarm/operatorkit,16,198,21,2017-04-10
PaddleCloud,PaddlePaddle,PaddlePaddle Docker images and K8s operators for PaddleOCR/Detection developers to use on public/private cloud.,https://github.com/PaddlePaddle/PaddleCloud,71,242,28,2017-04-26
postgres-operator,zalando,Postgres operator creates and manages PostgreSQL clusters running in Kubernetes,https://github.com/zalando/postgres-operator,851,3178,61,2017-05-12
flannel-operator,giantswarm,The flannel-operator handles flannel for Kubernetes clusters running on Giantnetes.,https://github.com/giantswarm/flannel-operator,3,7,4,2017-05-30
training-operator,kubeflow,Training operators on Kubernetes.,https://github.com/kubeflow/training-operator,529,1231,81,2017-06-28
metering-operator,kube-reporting,"The Metering Operator is responsible for collecting metrics and other information about what's happening in a Kubernetes cluster, and providing a way to create reports on the collected data. ",https://github.com/kube-reporting/metering-operator,90,334,15,2017-06-05
keel,keel-hq,"Kubernetes Operator to automate Helm, DaemonSet, StatefulSet & Deployment updates",https://github.com/keel-hq/keel,265,2162,33,2017-06-10
etcd-manager,kopeio,operator for etcd: moved to https://github.com/kubernetes-sigs/etcdadm,https://github.com/kopeio/etcd-manager,48,161,17,2017-07-10
elasticsearch-operator,matt-tyler,elasticsearch operator for kubernetes,https://github.com/matt-tyler/elasticsearch-operator,0,1,3,2017-07-08
operator-lifecycle-manager,operator-framework,A management framework for extending Kubernetes with Operators,https://github.com/operator-framework/operator-lifecycle-manager,521,1460,50,2017-08-11
azure-operator,giantswarm,Manages Kubernetes clusters running in in a Giant Swarm installation on Microsoft Azure,https://github.com/giantswarm/azure-operator,7,32,18,2017-08-02
kube-cleanup-operator,lwolf,Kubernetes Operator to automatically delete completed Jobs and their Pods,https://github.com/lwolf/kube-cleanup-operator,100,423,14,2017-09-05
prometheus-config-controller,giantswarm,Prometheus service discovery for Kubernetes clusters on Kubernetes,https://github.com/giantswarm/prometheus-config-controller,2,7,4,2017-09-28
redis-operator,spotahome,Redis Operator creates/configures/manages high availability redis with sentinel automatic failover atop Kubernetes.,https://github.com/spotahome/redis-operator,301,1145,43,2017-11-06
mysql-operator,bitpoke,Asynchronous MySQL Replication on Kubernetes using Percona Server and Openark's Orchestrator.,https://github.com/bitpoke/mysql-operator,253,870,22,2017-11-06
kanister,kanisterio,An extensible framework for  application-level data management on Kubernetes,https://github.com/kanisterio/kanister,118,606,34,2017-11-21
cloudformation-operator,linki,A Kubernetes operator for managing CloudFormation stacks via a CustomResource,https://github.com/linki/cloudformation-operator,26,102,9,2017-12-14
influxdb-operator,influxdata,The Kubernetes operator for InfluxDB and the TICK stack.,https://github.com/influxdata/influxdb-operator,6,27,47,2017-12-29
cluster-operator,giantswarm,The cluster-operator manages Kubernetes workload cluster resources.,https://github.com/giantswarm/cluster-operator,4,22,6,2017-12-12
node-operator,giantswarm,Project node-operator drains Kubernetes nodes on behalf of watched CRDs.,https://github.com/giantswarm/node-operator,2,11,4,2017-12-22
pv-cleaner-operator,giantswarm,Cleanup released persistent volumes,https://github.com/giantswarm/pv-cleaner-operator,2,4,4,2017-12-28
operator-sdk,operator-framework,"SDK for building Kubernetes applications. Provides high level APIs, useful abstractions, and project scaffolding.",https://github.com/operator-framework/operator-sdk,1642,6388,123,2018-02-07
