risingwave-operator,risingwavelabs,Kubernetes operator for RisingWave.,https://github.com/risingwavelabs/risingwave-operator,12,40,24,227,2022-04-20,2023-03-21
kubernetes-secret-generator,mittwald,Kubernetes controller for automatically generating and updating secrets,https://github.com/mittwald/kubernetes-secret-generator,39,223,13,120,2017-04-11,2023-02-28
testing,kubeflow,Test infrastructure and tooling for Kubeflow.,https://github.com/kubeflow/testing,84,62,20,651,2018-01-31,2023-03-06
dlrover,intelligent-machine-learning,DLRover: An Automatic Distributed Deep Learning System,https://github.com/intelligent-machine-learning/dlrover,6,75,13,1228,2022-06-24,2023-03-21
machine-api-provider-azure,openshift,Machine API Provider for Azure,https://github.com/openshift/machine-api-provider-azure,21,4,15,490,2021-11-03,2023-03-20
seldon-core,SeldonIO,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models",https://github.com/SeldonIO/seldon-core,738,3646,80,7248,2017-12-20,2023-03-20
test-network-function,test-network-function,test-network-function is a collection of test suites aimed at testing Network Function (and in particular CNF) best practices.,https://github.com/test-network-function/test-network-function,28,14,17,666,2020-07-08,2022-08-26
moco,cybozu-go,MySQL operator on Kubernetes using GTID-based semi-synchronous replication.,https://github.com/cybozu-go/moco,13,203,23,1206,2020-04-27,2023-03-19
sealos,labring,"Sealos is a Kubernetes distribution, a general-purpose Cloud Operating System designed for managing cloud-native applications. Demo: https://cloud.sealos.io",https://github.com/labring/sealos,1684,10115,171,2229,2018-08-15,2023-03-21
airflow-on-k8s-operator,apache,Airflow on Kubernetes Operator,https://github.com/apache/airflow-on-k8s-operator,27,86,28,17,2020-01-15,2023-02-06
awesome-baremetal,alexellis,Bare-metal is awesome. Let's share our favourite tools.,https://github.com/alexellis/awesome-baremetal,93,1397,69,46,2020-04-15,2022-12-22
awesome-pentest,enaqx,"A collection of awesome penetration testing resources, tools and other shiny things",https://github.com/enaqx/awesome-pentest,4171,18081,1152,824,2014-08-03,2023-01-07
flipop,digitalocean,Floating IP Controller for Kubernetes,https://github.com/digitalocean/flipop,3,20,96,36,2020-03-09,2023-02-25
redis-operator,spotahome,Redis Operator creates/configures/manages high availability redis with sentinel automatic failover atop Kubernetes.,https://github.com/spotahome/redis-operator,302,1146,43,950,2017-11-06,2023-03-20
go-workshops,exu,Go language basic workshops for devz,https://github.com/exu/go-workshops,16,70,10,348,2015-08-06,2023-02-25
argocd-vault-plugin,argoproj-labs,An Argo CD plugin to retrieve secrets from Secret Management tools and inject them into Kubernetes secrets,https://github.com/argoproj-labs/argocd-vault-plugin,146,595,14,276,2020-10-12,2023-03-20
move2kube-ui,konveyor,An UI for interacting with Move2Kube API,https://github.com/konveyor/move2kube-ui,9,8,10,110,2020-09-25,2023-03-16
deployments,aquasecurity,All Aqua deployments options and aquactl configuration,https://github.com/aquasecurity/deployments,98,49,10,425,2018-08-21,2023-03-16
helm-rke2-o7k,luizalabs,Helm charts for RKE2,https://github.com/luizalabs/helm-rke2-o7k,0,3,12,3,2022-12-15,2022-12-19
beegfs-csi-driver,NetApp,The BeeGFS Container Storage Interface (CSI) driver provides high performing and scalable storage for workloads running in Kubernetes.,https://github.com/NetApp/beegfs-csi-driver,16,48,16,801,2021-02-01,2022-12-13
intermine_cloud,intermine,repo for cloud infrastructure,https://github.com/intermine/intermine_cloud,1,3,13,867,2019-06-03,2023-03-06
dlrover,intelligent-machine-learning,DLRover: An Automatic Distributed Deep Learning System,https://github.com/intelligent-machine-learning/dlrover,6,71,13,1228,2022-06-24,2023-03-21
acc-provision-operator,noironetworks,Kubernetes Operator that manages the lifecycle of the ACI CNI.,https://github.com/noironetworks/acc-provision-operator,0,0,15,30,2021-01-26,2023-03-21
elliott,openshift-eng,,https://github.com/openshift-eng/elliott,27,14,125,1989,2018-11-05,2023-03-20
incubator-uniffle,apache,"Uniffle is a high performance, general purpose Remote Shuffle Service.",https://github.com/apache/incubator-uniffle,77,231,14,520,2022-06-17,2023-03-21
knative-pfs-workshop,vmware-archive,"Content for Knative, PFS workshop",https://github.com/vmware-archive/knative-pfs-workshop,1,1,29,34,2019-02-07,2022-07-19
release-service,redhat-appstudio,Kubernetes controller to manage releases in Stonesoup,https://github.com/redhat-appstudio/release-service,16,6,11,351,2022-03-09,2023-03-21
esp-kubernetes,sassoftware,This repository provides a set of deployment scripts and utilities to enable easy deployment of SAS ESP to a kubernetes cluster..,https://github.com/sassoftware/esp-kubernetes,7,10,13,354,2019-11-15,2023-02-24
single-active-consumer-operator,rabbitmq,,https://github.com/rabbitmq/single-active-consumer-operator,1,0,12,97,2022-02-01,2023-03-20
aaw-kubeflow-manifests,StatCan,Kustomize installation manifests for Kubeflow,https://github.com/StatCan/aaw-kubeflow-manifests,4,7,12,214,2020-03-30,2023-03-16
go-awesome,shockerli,Go 语言优秀资源整理，为项目落地加速🏃,https://github.com/shockerli/go-awesome,468,3233,76,92,2019-10-29,2023-03-20
dns-operator-azure,giantswarm,DNS operator for Giant Swarm CAPZ clusters,https://github.com/giantswarm/dns-operator-azure,1,0,12,119,2021-03-16,2023-03-20
polardbx-sql,polardb,"PolarDB-X is a cloud native distributed SQL Database designed for high concurrency, massive storage, complex querying scenarios.",https://github.com/polardb/polardbx-sql,261,1263,36,149,2021-10-16,2023-03-20
helm-ansible-template-exporter,redhat-nfvpe,This is a tool to convert Helm charts into Ansible Role,https://github.com/redhat-nfvpe/helm-ansible-template-exporter,7,7,10,51,2020-04-09,2023-01-24
danm,nokia,TelCo grade network management in a Kubernetes cluster,https://github.com/nokia/danm,81,344,39,330,2018-10-11,2022-09-19
azure-aci,virtual-kubelet,Things related to Azure Container Instances for Virtual Kubelet,https://github.com/virtual-kubelet/azure-aci,63,74,13,685,2019-02-25,2023-03-20
splunk-operator,splunk,Splunk Operator for Kubernetes,https://github.com/splunk/splunk-operator,87,165,41,1557,2019-10-10,2023-03-19
kubeapps,vmware-tanzu,A web-based UI for deploying and managing applications in Kubernetes clusters,https://github.com/vmware-tanzu/kubeapps,693,4511,70,4424,2017-10-19,2023-03-21
kubernetes-formula,saltstack-formulas,Salt formula to manage kubernetes,https://github.com/saltstack-formulas/kubernetes-formula,20,15,40,196,2019-07-08,2023-03-15
nginx-ingress-operator,nginxinc,WARNING - DEPRECATION NOTICE: The NGINX Ingress Operator has been updated to be a Helm based operator. This repo has been deprecated and will soon be archived - the new NGINX Ingress Operator repo can be found at https://github.com/nginxinc/nginx-ingress-helm-operator.,https://github.com/nginxinc/nginx-ingress-operator,30,63,11,191,2020-03-20,2022-11-14
k8s-objectmatcher,cisco-open,A Kubernetes object matcher library to avoid unnecessary K8s object updates,https://github.com/cisco-open/k8s-objectmatcher,26,146,11,149,2019-04-26,2023-03-20
operator-lifecycle-manager,operator-framework,A management framework for extending Kubernetes with Operators,https://github.com/operator-framework/operator-lifecycle-manager,521,1460,50,4179,2017-08-11,2023-03-15
redis-operator,amaizfinance,Redis Operator for Kubernetes,https://github.com/amaizfinance/redis-operator,30,108,12,42,2019-05-08,2022-08-23
cloud-network-config-controller,openshift,OpenShift cloud network configuration management,https://github.com/openshift/cloud-network-config-controller,23,0,13,148,2021-02-08,2023-03-15
deploy,stolostron,Deploy Development Builds of Open Cluster Management (OCM) on RedHat Openshift Container Platform,https://github.com/stolostron/deploy,143,138,22,2122,2020-03-09,2023-03-20
api,operator-framework,Contains the API definitions used by OLM and Marketplace,https://github.com/operator-framework/api,64,20,14,294,2019-08-06,2023-03-16
keppel,sapcc,Regionally federated multi-tenant container image registry,https://github.com/sapcc/keppel,6,75,43,1140,2018-07-09,2023-03-20
flink-kubernetes-operator,apache,Apache Flink Kubernetes Operator,https://github.com/apache/flink-kubernetes-operator,223,436,46,575,2022-02-10,2023-03-20
okd,okd-project,"The self-managing, auto-upgrading, Kubernetes distribution for everyone",https://github.com/okd-project/okd,272,1427,99,164,2019-11-15,2023-03-18
awesome-terraform,shuaibiyy,Curated list of resources on HashiCorp's Terraform,https://github.com/shuaibiyy/awesome-terraform,681,4161,175,446,2016-05-10,2023-03-10
devspaces-chectl,redhat-developer,"CodeReady Workspaces build of chectl, based on https://github.com/che-incubator/chectl/",https://github.com/redhat-developer/devspaces-chectl,16,17,18,2500,2019-10-28,2023-03-20
kubeplus,cloud-ark,Kubernetes Operator for Multi-Instance Multi-tenancy,https://github.com/cloud-ark/kubeplus,62,483,14,1953,2018-03-24,2023-03-19
aws-admission-controller,giantswarm,Enforces certain rules on custom resources in Giant Swarm Kubernetes clusters on AWS,https://github.com/giantswarm/aws-admission-controller,3,3,13,431,2020-06-09,2023-03-20
eks-multi-cluster-gitops,aws-samples,,https://github.com/aws-samples/eks-multi-cluster-gitops,28,136,16,221,2022-05-14,2023-02-20
aks-baseline,mspnp,This is the Azure Kubernetes Service (AKS) Baseline Cluster reference implementation as produced by the Microsoft Azure Architecture Center.,https://github.com/mspnp/aks-baseline,428,545,32,363,2020-07-09,2023-03-07
mizar,CentaurusInfra,"Mizar – Experimental, High Scale and High Performance Cloud Network https://mizar.readthedocs.io",https://github.com/CentaurusInfra/mizar,53,104,15,541,2019-09-18,2023-02-25
mattermost-cloud,mattermost,Tools and services for running Mattermost Cloud :cloud:,https://github.com/mattermost/mattermost-cloud,35,56,35,831,2019-04-05,2023-03-20
scimgateway,jelhub,Using SCIM protocol as a gateway for user provisioning to other endpoints,https://github.com/jelhub/scimgateway,46,119,11,491,2016-10-22,2023-03-06
community,open-telemetry,OpenTelemetry community content,https://github.com/open-telemetry/community,185,594,77,599,2019-05-02,2023-03-20
terraform-ibm-devsecops-alm,terraform-ibm-modules,This is the DevSecOps Application Lifecycle Management Deployable Architecture,https://github.com/terraform-ibm-modules/terraform-ibm-devsecops-alm,1,0,11,68,2023-02-21,2023-03-21
chart,mastodon,Helm chart for Mastodon deployment in Kubernetes,https://github.com/mastodon/chart,50,80,16,70,2022-11-27,2023-03-19
console,openshift,OpenShift Cluster Console UI,https://github.com/openshift/console,533,323,116,26012,2018-04-13,2023-03-21
jupyterhub-istio-proxy,splunk,JupyterHub proxy implementation for kubernetes clusters running istio service mesh,https://github.com/splunk/jupyterhub-istio-proxy,10,27,15,56,2020-06-03,2023-02-25
IngressMonitorController,stakater,"A Kubernetes controller to watch ingresses and create liveness alerts for your apps/microservices in UptimeRobot, StatusCake, Pingdom, etc.  – [✩Star] if you're using it!",https://github.com/stakater/IngressMonitorController,90,464,10,1311,2018-02-21,2023-03-20
reference,Fechin,⭕ Share quick reference cheat sheet for developers.,https://github.com/Fechin/reference,385,2240,21,560,2020-12-19,2023-03-19
charts,streamnative,"StreamNative Helm Charts Repository: Apache Pulsar, Pulsar Operators, StreamNative Platform, Function Mesh",https://github.com/streamnative/charts,62,74,33,711,2020-01-05,2023-03-21
aiven-charts,aiven,The official @Aiven helm repository,https://github.com/aiven/aiven-charts,4,3,65,40,2021-08-13,2023-03-03
kube-dbaas,tsuru,Experimental project to provide a tsuru service that maintains database operators,https://github.com/tsuru/kube-dbaas,1,0,10,13,2021-05-13,2023-02-25
policy-admission,UKHomeOffice,Kubernetes admission controller,https://github.com/UKHomeOffice/policy-admission,5,17,15,211,2017-10-08,2022-11-22
cost-analyzer-helm-chart,kubecost,Kubecost helm chart,https://github.com/kubecost/cost-analyzer-helm-chart,341,335,28,2362,2018-11-16,2023-03-20
mongodb-kubernetes-operator,mongodb,MongoDB Community Kubernetes Operator,https://github.com/mongodb/mongodb-kubernetes-operator,391,855,40,645,2020-02-17,2023-03-20
apiextensions-application,giantswarm,,https://github.com/giantswarm/apiextensions-application,0,0,12,53,2021-11-18,2023-03-15
chectl,che-incubator,CLI to manage Eclipse Che server and workspaces,https://github.com/che-incubator/chectl,61,65,11,1193,2018-11-20,2023-03-21
aws-vpce-operator,openshift,Operator to manage AWS VPC Endpoints on OpenShift,https://github.com/openshift/aws-vpce-operator,10,3,12,326,2022-06-01,2023-03-21
APT_CyberCriminal_Campagin_Collections,CyberMonitor,APT & CyberCriminal Campaign Collection,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections,844,3107,438,1176,2017-02-11,2023-03-16
Awesome-SGX-Open-Source,Maxul,A curated list of open-source projects that help exploit Intel SGX technology,https://github.com/Maxul/Awesome-SGX-Open-Source,34,221,11,106,2019-03-07,2023-03-18
node-disk-manager,openebs,Kubernetes Storage Device Management,https://github.com/openebs/node-disk-manager,109,170,24,451,2018-03-06,2023-02-25
awesome-gitops,weaveworks,A curated list for awesome GitOps resources,https://github.com/weaveworks/awesome-gitops,109,1146,93,117,2019-07-02,2023-02-12
sumologic-kubernetes-tools,SumoLogic,sumologic-kubernetes-tools,https://github.com/SumoLogic/sumologic-kubernetes-tools,5,5,12,443,2020-05-05,2023-03-21
strimzi-canary,strimzi,Strimzi canary,https://github.com/strimzi/strimzi-canary,20,28,12,157,2020-11-10,2023-03-20
flatcar-linux-update-operator,flatcar,A Kubernetes operator to manage updates of Flatcar Container Linux,https://github.com/flatcar/flatcar-linux-update-operator,17,79,13,753,2019-08-02,2023-03-07
maximo,Azure,Maximo on Azure,https://github.com/Azure/maximo,13,20,17,254,2021-09-29,2022-08-02
kas-fleetshard,bf2fc6cc711aee1a0c2a,The kas-fleetshard-operator is responsible for provisioning and managing instances of kafka on a cluster.  The kas-fleetshard-synchronizer synchronizes the state of a fleet shard with the kas-fleet-manager.,https://github.com/bf2fc6cc711aee1a0c2a/kas-fleetshard,21,9,19,902,2021-01-04,2023-03-15
velero-plugin-for-vsphere,vmware-tanzu,Plugin to support Velero on vSphere,https://github.com/vmware-tanzu/velero-plugin-for-vsphere,46,46,16,575,2019-12-20,2023-03-03
awesome-db-tools,mgramin,Everything that makes working with databases easier,https://github.com/mgramin/awesome-db-tools,228,2787,59,297,2018-05-18,2023-03-15
awesome-cloud-security,Funkmyster,"Curated list of awesome cloud security blogs, podcasts, standards, projects, and examples.",https://github.com/Funkmyster/awesome-cloud-security,83,413,12,41,2017-05-28,2023-01-25
naml,krisnova,Convert Kubernetes YAML to Golang,https://github.com/krisnova/naml,34,1205,20,253,2021-06-12,2022-07-20
LearnGolang,LearnGolang,《Golang学习资源大全-只有Go语言才能改变世界》Only Golang Can Change The World.,https://github.com/LearnGolang/LearnGolang,315,2179,44,1612,2020-09-14,2023-03-17
tobs,timescale,tobs - The Observability Stack for Kubernetes. Easy install of a full observability stack into a k8s cluster with Helm charts.,https://github.com/timescale/tobs,59,522,19,923,2020-03-30,2023-03-17
cluster-cloud-controller-manager-operator,openshift,Operator for managing platform cloud controller managers,https://github.com/openshift/cluster-cloud-controller-manager-operator,38,6,13,520,2020-09-16,2023-03-17
websphere-liberty-operator,WASdev,Deploy and manage containerized Liberty applications on Kubernetes. Documentation: https://ibm.biz/wlo-docs,https://github.com/WASdev/websphere-liberty-operator,3,8,14,353,2021-05-07,2023-03-21
awesome-software-architecture,mehdihadeli,"A curated list of awesome articles, videos, and other resources to learn and practice software architecture, patterns, and principles.",https://github.com/mehdihadeli/awesome-software-architecture,104,1450,39,516,2021-02-06,2023-03-19
vscode-aks-tools,Azure,Visual Studio Code extension for Azure Kubernetes Service,https://github.com/Azure/vscode-aks-tools,34,25,12,155,2019-04-30,2023-02-28
tutorial,networkpolicy,Kubernetes Network Policy Tutorial,https://github.com/networkpolicy/tutorial,20,74,11,4,2021-03-03,2022-11-24
airshipctl,airshipit,A CLI for managing declarative infrastructure.,https://github.com/airshipit/airshipctl,48,39,12,2416,2019-07-16,2023-03-07
kubernetes-iteration-toolkit,awslabs,,https://github.com/awslabs/kubernetes-iteration-toolkit,35,46,34,249,2021-05-26,2023-03-20
activemq-artemis-operator,rh-messaging,,https://github.com/rh-messaging/activemq-artemis-operator,19,21,24,842,2019-03-01,2023-03-15
logging-operator,kube-logging,Logging operator for Kubernetes,https://github.com/kube-logging/logging-operator,268,1115,36,1265,2018-06-26,2023-03-20
envoy-lb-operator,gojekfarm,Easy to use envoy load balancer control plane for k8s.,https://github.com/gojekfarm/envoy-lb-operator,4,6,21,29,2019-05-04,2023-02-25
sematext-operator,sematext,Sematext Operator configures Sematext Agent in your Kubernetes / OpenShift clusters,https://github.com/sematext/sematext-operator,0,0,17,34,2019-06-11,2022-07-14
k8s-dogu-operator,cloudogu,Cloudogu EcoSystem Dogu operator for Kubernetes,https://github.com/cloudogu/k8s-dogu-operator,1,2,13,930,2022-02-24,2023-03-20
jiva,openebs,CAS Data Engine - iSCSI Distributed Block Storage Controller built-in Go,https://github.com/openebs/jiva,65,133,19,804,2016-11-11,2023-02-25
deepops,NVIDIA,Tools for building GPU clusters,https://github.com/NVIDIA/deepops,279,951,52,3688,2018-05-24,2023-01-25
keepalived-operator,redhat-cop,An operator to manage VIPs backed by keepalived,https://github.com/redhat-cop/keepalived-operator,34,110,13,155,2020-01-30,2023-03-11
cluster-resource-override-admission-operator,openshift,Operator for the mutating admission webhook for ClusterResourceOverride,https://github.com/openshift/cluster-resource-override-admission-operator,26,6,12,173,2019-10-24,2023-03-14
kupid,gardener,Inject scheduling criteria into target pods orthogonally by policy definition.,https://github.com/gardener/kupid,13,10,11,90,2020-05-26,2023-03-13
undermoon,doyoubi,Mordern Redis Cluster solution for easy operation.,https://github.com/doyoubi/undermoon,33,667,15,901,2018-09-22,2023-02-04
public-presentations,zalando,"List of public talks by Zalando Tech: meetup presentations, recorded conference talks, slides",https://github.com/zalando/public-presentations,53,154,29,156,2019-05-10,2023-02-06
terraform-spotinst-ocean-aks,spotinst,A Terraform module to create an Azure Kubernetes Service (AKS) cluster with Ocean.,https://github.com/spotinst/terraform-spotinst-ocean-aks,3,0,10,16,2021-04-19,2022-09-12
kas-installer,bf2fc6cc711aee1a0c2a,kas-installer,https://github.com/bf2fc6cc711aee1a0c2a/kas-installer,25,5,11,531,2021-05-25,2023-03-13
csp-adapter,rancher,,https://github.com/rancher/csp-adapter,9,0,20,60,2022-04-21,2023-02-23
hivemq4-docker-images,hivemq,Official Docker Images for the Enterprise MQTT Broker HiveMQ,https://github.com/hivemq/hivemq4-docker-images,11,18,18,102,2018-12-05,2023-02-22
pipelines-tutorial,openshift,A step-by-step tutorial showing OpenShift Pipelines,https://github.com/openshift/pipelines-tutorial,509,252,27,160,2019-05-06,2023-01-24
insights-operator,openshift,,https://github.com/openshift/insights-operator,81,35,18,891,2019-08-04,2023-03-20
che-release,eclipse-che,Eclipse Che release orchestration scripts and tools,https://github.com/eclipse-che/che-release,15,0,31,405,2020-03-30,2023-01-25
sap-btp-service-operator,SAP,SAP BTP service operator enables developers to connect Kubernetes clusters to SAP BTP accounts and to consume SAP BTP services within the clusters by using Kubernetes native tools.,https://github.com/SAP/sap-btp-service-operator,40,104,10,183,2021-01-27,2023-03-21
cloudnative-pg,cloudnative-pg,"CloudNativePG is a Kubernetes operator that covers the full lifecycle of a PostgreSQL database cluster with a primary/standby architecture, using native streaming replication",https://github.com/cloudnative-pg/cloudnative-pg,82,1071,15,2118,2022-03-10,2023-03-21
mysql-operator,bitpoke,Asynchronous MySQL Replication on Kubernetes using Percona Server and Openark's Orchestrator.,https://github.com/bitpoke/mysql-operator,253,870,22,921,2017-11-06,2023-03-10
kubernetes-kops-operator,topfreegames,Manage Kubernetes clusters using Kops.,https://github.com/topfreegames/kubernetes-kops-operator,0,8,16,219,2021-10-15,2023-03-20
ansible-role-k3s,PyratLabs,Ansible role for installing k3s as either a standalone server or HA cluster.,https://github.com/PyratLabs/ansible-role-k3s,102,446,19,403,2019-03-02,2023-03-15
csi-driver-shared-resource,openshift,CSI driver for sharing Secrets and ConfigMaps across namespaces.,https://github.com/openshift/csi-driver-shared-resource,16,19,16,302,2020-08-03,2023-03-15
devspaces-demo,redhat-developer,Files and script to run a Red Hat OpenShift Dev Spaces demo,https://github.com/redhat-developer/devspaces-demo,7,7,27,24,2022-09-23,2023-03-06
cerberus,redhat-chaos,Guardian of Kubernetes and OpenShift clusters. Tool to monitor clusters health and signal/alert on failures.,https://github.com/redhat-chaos/cerberus,40,79,14,141,2020-03-12,2023-03-06
cx-operator,coralogix,Coralogix Kubernetes Operator,https://github.com/coralogix/cx-operator,0,15,34,141,2020-12-21,2023-03-07
cdap-operator,cdapio,CDAP Kubernetes Operator,https://github.com/cdapio/cdap-operator,20,18,40,248,2018-12-11,2023-02-25
kudo-cassandra-operator,mesosphere,KUDO Cassandra Operator,https://github.com/mesosphere/kudo-cassandra-operator,3,10,64,184,2019-09-18,2023-02-25
DevOps,yangpeng14,自动化运维指南 https://www.yp14.cn,https://github.com/yangpeng14/DevOps,170,326,15,679,2016-07-18,2022-10-30
EazyBuilder,iSoftStoneGroup,Welcome to the EazyBuilder project,https://github.com/iSoftStoneGroup/EazyBuilder,110,667,62,460,2022-07-07,2023-01-18
kots,replicatedhq,"KOTS provides the framework, tools and integrations that enable the delivery and management of 3rd-party Kubernetes applications, a.k.a. Kubernetes Off-The-Shelf (KOTS) Software.",https://github.com/replicatedhq/kots,77,808,23,8515,2019-07-25,2023-03-20
PIVT,hyfen-eu,Helm charts for running and operating Hyperledger Fabric in Kubernetes. Previously hosted at https://github.com/APGGroeiFabriek/PIVT.,https://github.com/hyfen-eu/PIVT,95,199,20,98,2019-04-15,2023-03-04
wildfly-operator,wildfly,Kubernetes Operator for WildFly,https://github.com/wildfly/wildfly-operator,39,30,15,439,2019-04-08,2023-03-15
gitea-operator,RedHatGov,,https://github.com/RedHatGov/gitea-operator,4,2,13,176,2020-09-15,2023-01-24
WIPP,usnistgov,Web Image Processing Pipeline (WIPP),https://github.com/usnistgov/WIPP,11,13,13,154,2019-02-12,2023-02-08
devsecops-workshop-dashboard,RedHatGov,,https://github.com/RedHatGov/devsecops-workshop-dashboard,12,15,22,93,2020-08-28,2022-07-05
private-data-collections-on-fabric,IBM,This repo demonstrates the use of collections to provide storage and retrieval of private data on the blockchain network for authorized peers of organizations. It shows how to use private data on the IBM Blockchain Platform.,https://github.com/IBM/private-data-collections-on-fabric,18,19,10,72,2019-11-26,2023-01-01
bevel,hyperledger,An automation framework for rapidly and consistently deploying production-ready DLT platforms,https://github.com/hyperledger/bevel,576,295,28,3750,2019-10-16,2023-03-21
kubernetes-operators,sapcc,Operators that automate common tasks for managing Openstack on Kubernetes.,https://github.com/sapcc/kubernetes-operators,14,122,43,373,2016-11-18,2023-03-20
jaeger-operator-app,giantswarm,Operator pattern implementation for managing Jaeger,https://github.com/giantswarm/jaeger-operator-app,1,0,14,89,2020-04-23,2023-03-16
oci-service-operator,oracle,The OCI Service Operator for Kubernetes (OSOK) makes it easy to connect and manage OCI services from a cloud native application running in a Kubernetes environment.,https://github.com/oracle/oci-service-operator,21,26,11,37,2021-08-11,2023-02-27
Create-BlockchainNetwork-IBPV20,IBM,Creating a basic Blockchain network using the IBM Blockchain Platform,https://github.com/IBM/Create-BlockchainNetwork-IBPV20,61,77,10,22,2019-03-04,2022-12-10
gpu-operator,NVIDIA,NVIDIA GPU Operator creates/configures/manages GPUs atop Kubernetes,https://github.com/NVIDIA/gpu-operator,162,729,40,1253,2019-02-26,2023-03-20
eks-operator,rancher,,https://github.com/rancher/eks-operator,25,14,25,213,2020-06-10,2023-03-20
awesome-quincy-larson-emails,sourabh-joshi,This repository is an archive of emails that are sent by the awesome Quincy Larson every week.,https://github.com/sourabh-joshi/awesome-quincy-larson-emails,121,1012,80,194,2021-02-16,2023-03-14
cluster-openshift-apiserver-operator,openshift,The openshift-apiserver operator installs and maintains the openshift-apiserver on a cluster,https://github.com/openshift/cluster-openshift-apiserver-operator,74,23,16,938,2018-09-12,2023-03-20
nats-streaming-operator,nats-io,NATS Streaming Operator,https://github.com/nats-io/nats-streaming-operator,46,172,10,139,2018-07-23,2023-03-07
terraform-aws-budgets,cloudposse,Terraform module to manage AWS Budgets.,https://github.com/cloudposse/terraform-aws-budgets,4,8,12,13,2022-01-13,2023-01-05
operator-marketplace,operator-framework,Marketplace Operator,https://github.com/operator-framework/operator-marketplace,94,96,17,752,2018-08-28,2023-03-14
redis-operator,ucloud,Redis operator build a Highly Available Redis cluster with Sentinel atop Kubernetes,https://github.com/ucloud/redis-operator,61,195,11,45,2019-08-16,2022-12-27
rbac-manager,FairwindsOps,A Kubernetes operator that simplifies the management of Role Bindings and Service Accounts.,https://github.com/FairwindsOps/rbac-manager,107,1215,41,308,2018-03-13,2023-03-20
dqmgui,cms-DQM,CMS DQM GUI code,https://github.com/cms-DQM/dqmgui,6,4,13,164,2020-11-11,2022-10-31
jiva-operator,openebs,Kubernetes Operator for managing Jiva Volumes via custom resource.,https://github.com/openebs/jiva-operator,42,36,15,148,2019-10-23,2023-03-10
milvus-operator,milvus-io,milvus-operator,https://github.com/milvus-io/milvus-operator,21,41,11,167,2021-08-03,2023-03-18
avalanche-ops,ava-labs,operation toolkit for Avalanche nodes,https://github.com/ava-labs/avalanche-ops,11,27,10,1040,2022-01-29,2023-03-21
dcgm-exporter,NVIDIA,NVIDIA GPU metrics exporter for Prometheus leveraging DCGM,https://github.com/NVIDIA/dcgm-exporter,65,275,14,398,2021-08-11,2023-03-16
redis-operator,OT-CONTAINER-KIT,A golang based redis operator that will make/oversee Redis standalone/cluster mode setup on top of the Kubernetes.,https://github.com/OT-CONTAINER-KIT/redis-operator,136,435,15,396,2020-03-31,2023-03-21
awesome-cloud-native,rootsongjc,"A curated list for awesome cloud native tools, software and tutorials.  - https://jimmysong.io/awesome-cloud-native/",https://github.com/rootsongjc/awesome-cloud-native,312,1683,98,647,2017-07-15,2023-03-10
awesome-apache-airflow,jghoman,Curated list of resources about Apache Airflow,https://github.com/jghoman/awesome-apache-airflow,455,3244,153,350,2018-01-11,2022-08-25
awx-operator,ansible,An Ansible AWX operator for Kubernetes built with Operator SDK and Ansible. 🤖,https://github.com/ansible/awx-operator,457,832,46,1104,2020-06-01,2023-03-20
