visitors-operator,majguo,A Go based Kubernetes Operator.,https://github.com/majguo/visitors-operator,0,0,1,2022-05-26
-quay-container-security-operator-,brianacharya001,,https://github.com/brianacharya001/-quay-container-security-operator-,0,0,1,2021-09-09
apicurio-registry-operator,Apicurio,The Kubernetes Operator for Apicurio Registry.,https://github.com/Apicurio/apicurio-registry-operator,32,29,9,2020-05-12
muminio,cbenien,Kubernetes operator to create Minio buckets and credentials declaratively,https://github.com/cbenien/muminio,0,0,1,2019-12-29
d-operators,mayadata-io,Declarative patterns to write kubernetes controllers,https://github.com/mayadata-io/d-operators,7,10,8,2020-02-21
lfv-operator,ctc-oss,K8s LFS Volume Operator,https://github.com/ctc-oss/lfv-operator,0,0,2,2020-06-10
mcs,feiskyer,Multi-Cluster Service Operator on Azure,https://github.com/feiskyer/mcs,2,3,2,2021-03-14
operator,ubogdan,Example of Kubernetes operator that helps secure deployment of a web application.,https://github.com/ubogdan/operator,0,0,1,2022-05-14
eks-operator,rancher,,https://github.com/rancher/eks-operator,25,14,25,2020-06-10
alertmanager-line-gateway-operator,aizuddin85,,https://github.com/aizuddin85/alertmanager-line-gateway-operator,1,0,2,2020-04-23
nodered-operator,jodevsa,k8s operator for Node-Red  (created for educational purposes),https://github.com/jodevsa/nodered-operator,1,1,2,2021-12-17
funk-operator,leg100,,https://github.com/leg100/funk-operator,0,0,2,2020-02-23
sentry-operator,sd-hackday-sentry,,https://github.com/sd-hackday-sentry/sentry-operator,6,0,2,2019-07-31
image,shipwright-io,Shipwright Image APIs and Operators,https://github.com/shipwright-io/image,4,2,4,2021-10-18
aws-rolling-node-operator,giantswarm,AWS Kubernetes Operator for rolling EC2 instances,https://github.com/giantswarm/aws-rolling-node-operator,0,0,8,2022-09-09
caches-operator,xilu0,,https://github.com/xilu0/caches-operator,0,0,1,2020-09-09
podset-operator,mdrakiburrahman,Building my first K8s operator with Operator SDK,https://github.com/mdrakiburrahman/podset-operator,0,0,2,2021-09-12
onos-bandwidth-operator,stevenchiu30801,ONOS Bandwidth Operator provides automation of ONOS bandiwdth slices for BANS 5GC,https://github.com/stevenchiu30801/onos-bandwidth-operator,0,1,2,2020-03-11
my-operator,hustjieke,,https://github.com/hustjieke/my-operator,0,1,1,2021-06-04
triggered-rollout-restart-operator,HansK-p,Operator responsible for gracefully restart pods when depended resources change,https://github.com/HansK-p/triggered-rollout-restart-operator,1,1,3,2020-05-21
etcd-operator,meyskens,,https://github.com/meyskens/etcd-operator,0,0,1,2021-03-26
restaurant-mgmt-operator,ManojDhanorkar,,https://github.com/ManojDhanorkar/restaurant-mgmt-operator,0,0,1,2023-02-16
ci-operator,w6d-io,,https://github.com/w6d-io/ci-operator,0,2,4,2020-11-22
mastro-operator,pilillo,,https://github.com/pilillo/mastro-operator,0,0,2,2021-07-16
cp4foo-operator,horis233,,https://github.com/horis233/cp4foo-operator,0,0,1,2020-06-16
cluster-version-operator,openshift,,https://github.com/openshift/cluster-version-operator,166,71,24,2018-07-25
terraform-operator,kuptan,Terraform Operator provides support to run Terraform modules in Kubernetes in a declarative way as a Kubernetes manifest.,https://github.com/kuptan/terraform-operator,4,45,4,2022-01-11
nextcloud-operator,jomkz,A Kubernetes operator for managing Nextcloud clusters.,https://github.com/jomkz/nextcloud-operator,1,2,1,2020-11-06
