08:04:49 Pod redisoperator-56c8dfdfb-vmn2h 787:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-vmn2h to acto-cluster-12-worker
08:04:50 Pod redisoperator-56c8dfdfb-vmn2h 789:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:04:50 Pod redisoperator-56c8dfdfb-vmn2h 789:	Created container app
08:04:52 Pod redisoperator-56c8dfdfb-vmn2h 789:	Started container app
08:04:49 ReplicaSet redisoperator-56c8dfdfb 784:	Created pod: redisoperator-56c8dfdfb-vmn2h
08:04:18 Pod redisoperator-6445768794-kdp9b 715:	Successfully assigned acto-namespace/redisoperator-6445768794-kdp9b to acto-cluster-12-worker
08:04:20 Pod redisoperator-6445768794-kdp9b 720:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:04:20 Pod redisoperator-6445768794-kdp9b 720:	Created container app
08:04:21 Pod redisoperator-6445768794-kdp9b 720:	Started container app
08:04:52 Pod redisoperator-6445768794-kdp9b 720:	Stopping container app
08:04:18 ReplicaSet redisoperator-6445768794 707:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:04:18 ReplicaSet redisoperator-6445768794 713:	Created pod: redisoperator-6445768794-kdp9b
08:04:52 ReplicaSet redisoperator-6445768794 871:	Deleted pod: redisoperator-6445768794-kdp9b
08:04:18 Deployment redisoperator 705:	Scaled up replica set redisoperator-6445768794 to 1
08:04:49 Deployment redisoperator 783:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:04:52 Deployment redisoperator 794:	Scaled down replica set redisoperator-6445768794 to 0
08:04:51 Pod rfr-test-cluster-0 818:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-12-worker
08:04:52 Pod rfr-test-cluster-0 823:	Container image "redis:6.2.6-alpine" already present on machine
08:04:52 Pod rfr-test-cluster-0 823:	Created container redis
08:04:52 Pod rfr-test-cluster-0 823:	Started container redis
08:04:52 Pod rfr-test-cluster-0 823:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:04:53 Pod rfr-test-cluster-0 823:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 233.372806ms
08:04:53 Pod rfr-test-cluster-0 823:	Created container redis-exporter
08:04:55 Pod rfr-test-cluster-0 823:	Started container redis-exporter
08:05:31 Pod rfr-test-cluster-0 823:	Readiness probe failed: 
08:10:54 Pod rfr-test-cluster-0 823:	Stopping container redis
08:10:54 Pod rfr-test-cluster-0 823:	Stopping container redis-exporter
08:10:55 Pod rfr-test-cluster-0 1682:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-12-worker
08:10:56 Pod rfr-test-cluster-0 1685:	Container image "redis:6.2.6-alpine" already present on machine
