09:00:45 Pod redisoperator-56c8dfdfb-l9t6f 795:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-l9t6f to acto-cluster-0-worker2
09:00:46 Pod redisoperator-56c8dfdfb-l9t6f 797:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:00:46 Pod redisoperator-56c8dfdfb-l9t6f 797:	Created container app
09:00:48 Pod redisoperator-56c8dfdfb-l9t6f 797:	Started container app
09:00:45 ReplicaSet redisoperator-56c8dfdfb 792:	Created pod: redisoperator-56c8dfdfb-l9t6f
09:00:14 Pod redisoperator-6445768794-9x8pz 724:	Successfully assigned acto-namespace/redisoperator-6445768794-9x8pz to acto-cluster-0-worker
09:00:16 Pod redisoperator-6445768794-9x8pz 726:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:00:16 Pod redisoperator-6445768794-9x8pz 726:	Created container app
09:00:17 Pod redisoperator-6445768794-9x8pz 726:	Started container app
09:00:48 Pod redisoperator-6445768794-9x8pz 726:	Stopping container app
09:00:14 ReplicaSet redisoperator-6445768794 715:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
09:00:14 ReplicaSet redisoperator-6445768794 721:	Created pod: redisoperator-6445768794-9x8pz
09:00:48 ReplicaSet redisoperator-6445768794 910:	Deleted pod: redisoperator-6445768794-9x8pz
09:00:14 Deployment redisoperator 714:	Scaled up replica set redisoperator-6445768794 to 1
09:00:45 Deployment redisoperator 791:	Scaled up replica set redisoperator-56c8dfdfb to 1
09:00:48 Deployment redisoperator 802:	Scaled down replica set redisoperator-6445768794 to 0
09:00:47 Pod rfr-test-cluster-0 826:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker2
09:00:47 Pod rfr-test-cluster-0 830:	Container image "redis:6.2.6-alpine" already present on machine
09:00:47 Pod rfr-test-cluster-0 830:	Created container redis
09:00:48 Pod rfr-test-cluster-0 830:	Started container redis
09:00:48 Pod rfr-test-cluster-0 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:00:48 Pod rfr-test-cluster-0 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 319.89736ms
09:00:48 Pod rfr-test-cluster-0 830:	Created container redis-exporter
09:00:51 Pod rfr-test-cluster-0 830:	Started container redis-exporter
09:01:27 Pod rfr-test-cluster-0 830:	Readiness probe failed: 
09:04:20 Pod rfr-test-cluster-0 830:	Stopping container redis
09:04:20 Pod rfr-test-cluster-0 830:	Stopping container redis-exporter
09:13:51 Pod rfr-test-cluster-0 2351:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker3
09:13:51 Pod rfr-test-cluster-0 2355:	Container image "redis:6.2.6-alpine" already present on machine
09:13:51 Pod rfr-test-cluster-0 2355:	Created container redis
09:13:52 Pod rfr-test-cluster-0 2355:	Started container redis
09:13:52 Pod rfr-test-cluster-0 2355:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:13:52 Pod rfr-test-cluster-0 2355:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.08973ms
09:13:52 Pod rfr-test-cluster-0 2355:	Created container redis-exporter
09:13:55 Pod rfr-test-cluster-0 2355:	Started container redis-exporter
09:14:31 Pod rfr-test-cluster-0 2355:	Readiness probe failed: 
09:00:47 Pod rfr-test-cluster-1 831:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker3
