07:45:23 Pod redisoperator-56c8dfdfb-m5698 789:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-m5698 to acto-cluster-3-worker2
07:45:24 Pod redisoperator-56c8dfdfb-m5698 791:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:45:24 Pod redisoperator-56c8dfdfb-m5698 791:	Created container app
07:45:26 Pod redisoperator-56c8dfdfb-m5698 791:	Started container app
07:45:23 ReplicaSet redisoperator-56c8dfdfb 786:	Created pod: redisoperator-56c8dfdfb-m5698
07:44:53 Pod redisoperator-6445768794-fwzjn 718:	Successfully assigned acto-namespace/redisoperator-6445768794-fwzjn to acto-cluster-3-worker3
07:44:55 Pod redisoperator-6445768794-fwzjn 723:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:44:55 Pod redisoperator-6445768794-fwzjn 723:	Created container app
07:44:57 Pod redisoperator-6445768794-fwzjn 723:	Started container app
07:45:26 Pod redisoperator-6445768794-fwzjn 723:	Stopping container app
07:44:53 ReplicaSet redisoperator-6445768794 710:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:44:53 ReplicaSet redisoperator-6445768794 716:	Created pod: redisoperator-6445768794-fwzjn
07:45:26 ReplicaSet redisoperator-6445768794 886:	Deleted pod: redisoperator-6445768794-fwzjn
07:44:53 Deployment redisoperator 708:	Scaled up replica set redisoperator-6445768794 to 1
07:45:23 Deployment redisoperator 785:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:45:26 Deployment redisoperator 796:	Scaled down replica set redisoperator-6445768794 to 0
07:45:25 Pod rfr-test-cluster-0 820:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-3-worker2
07:45:26 Pod rfr-test-cluster-0 823:	Container image "redis:6.2.6-alpine" already present on machine
07:45:26 Pod rfr-test-cluster-0 823:	Created container redis
07:45:26 Pod rfr-test-cluster-0 823:	Started container redis
07:45:26 Pod rfr-test-cluster-0 823:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:45:27 Pod rfr-test-cluster-0 823:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 298.497019ms
07:45:27 Pod rfr-test-cluster-0 823:	Created container redis-exporter
07:45:29 Pod rfr-test-cluster-0 823:	Started container redis-exporter
07:46:06 Pod rfr-test-cluster-0 823:	Readiness probe failed: 
07:48:57 Pod rfr-test-cluster-0 823:	Stopping container redis
07:48:57 Pod rfr-test-cluster-0 823:	Stopping container redis-exporter
07:58:29 Pod rfr-test-cluster-0 2340:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-3-worker2
07:58:30 Pod rfr-test-cluster-0 2342:	Container image "redis:6.2.6-alpine" already present on machine
07:58:30 Pod rfr-test-cluster-0 2342:	Created container redis
07:58:30 Pod rfr-test-cluster-0 2342:	Started container redis
07:58:30 Pod rfr-test-cluster-0 2342:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:58:30 Pod rfr-test-cluster-0 2342:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 173.937438ms
07:58:30 Pod rfr-test-cluster-0 2342:	Created container redis-exporter
07:58:33 Pod rfr-test-cluster-0 2342:	Started container redis-exporter
07:59:09 Pod rfr-test-cluster-0 2342:	Readiness probe failed: 
07:45:25 Pod rfr-test-cluster-1 824:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker3
07:45:26 Pod rfr-test-cluster-1 830:	Container image "redis:6.2.6-alpine" already present on machine
07:45:26 Pod rfr-test-cluster-1 830:	Created container redis
07:45:26 Pod rfr-test-cluster-1 830:	Started container redis
07:45:26 Pod rfr-test-cluster-1 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:45:27 Pod rfr-test-cluster-1 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 225.656598ms
07:45:27 Pod rfr-test-cluster-1 830:	Created container redis-exporter
07:45:29 Pod rfr-test-cluster-1 830:	Started container redis-exporter
07:46:06 Pod rfr-test-cluster-1 830:	Readiness probe failed: 
07:48:27 Pod rfr-test-cluster-1 830:	Stopping container redis
07:48:27 Pod rfr-test-cluster-1 830:	Stopping container redis-exporter
07:58:29 Pod rfr-test-cluster-1 2344:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker3
07:58:30 Pod rfr-test-cluster-1 2347:	Container image "redis:6.2.6-alpine" already present on machine
07:58:30 Pod rfr-test-cluster-1 2347:	Created container redis
07:58:30 Pod rfr-test-cluster-1 2347:	Started container redis
07:58:30 Pod rfr-test-cluster-1 2347:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:58:30 Pod rfr-test-cluster-1 2347:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 130.059906ms
07:58:30 Pod rfr-test-cluster-1 2347:	Created container redis-exporter
07:58:33 Pod rfr-test-cluster-1 2347:	Started container redis-exporter
07:59:09 Pod rfr-test-cluster-1 2347:	Readiness probe failed: 
07:45:25 Pod rfr-test-cluster-2 829:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker
07:45:26 Pod rfr-test-cluster-2 833:	Container image "redis:6.2.6-alpine" already present on machine
07:45:26 Pod rfr-test-cluster-2 833:	Created container redis
07:45:26 Pod rfr-test-cluster-2 833:	Started container redis
07:45:26 Pod rfr-test-cluster-2 833:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:45:27 Pod rfr-test-cluster-2 833:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 240.301843ms
07:45:27 Pod rfr-test-cluster-2 833:	Created container redis-exporter
07:45:29 Pod rfr-test-cluster-2 833:	Started container redis-exporter
07:46:06 Pod rfr-test-cluster-2 833:	Readiness probe failed: 
07:48:29 Pod rfr-test-cluster-2 833:	Stopping container redis
07:48:29 Pod rfr-test-cluster-2 833:	Stopping container redis-exporter
07:58:29 Pod rfr-test-cluster-2 2349:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker
07:58:30 Pod rfr-test-cluster-2 2352:	Container image "redis:6.2.6-alpine" already present on machine
07:58:30 Pod rfr-test-cluster-2 2352:	Created container redis
07:58:30 Pod rfr-test-cluster-2 2352:	Started container redis
07:58:30 Pod rfr-test-cluster-2 2352:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:58:30 Pod rfr-test-cluster-2 2352:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 120.177569ms
07:58:30 Pod rfr-test-cluster-2 2352:	Created container redis-exporter
07:58:33 Pod rfr-test-cluster-2 2352:	Started container redis-exporter
07:59:09 Pod rfr-test-cluster-2 2352:	Readiness probe failed: 
07:45:25 PodDisruptionBudget rfr-test-cluster 814:	No matching pods found
07:45:25 StatefulSet rfr-test-cluster 818:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:45:25 StatefulSet rfr-test-cluster 818:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:45:25 StatefulSet rfr-test-cluster 818:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:48:28 StatefulSet rfr-test-cluster 1322:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: field label not supported: ACTOKEY
07:48:59 StatefulSet rfr-test-cluster 1322:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: field label not supported: ACTOKEY
07:45:25 Pod rfs-test-cluster-54df69f8df-dsm6k 848:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-dsm6k to acto-cluster-3-worker2
07:45:26 Pod rfs-test-cluster-54df69f8df-dsm6k 850:	Container image "redis:6.2.6-alpine" already present on machine
07:45:26 Pod rfs-test-cluster-54df69f8df-dsm6k 850:	Created container sentinel-config-copy
07:45:41 Pod rfs-test-cluster-54df69f8df-dsm6k 850:	Started container sentinel-config-copy
07:45:43 Pod rfs-test-cluster-54df69f8df-dsm6k 850:	Container image "redis:6.2.6-alpine" already present on machine
07:45:43 Pod rfs-test-cluster-54df69f8df-dsm6k 850:	Created container sentinel
07:45:43 Pod rfs-test-cluster-54df69f8df-dsm6k 850:	Started container sentinel
07:45:25 Pod rfs-test-cluster-54df69f8df-h792h 852:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-h792h to acto-cluster-3-worker
07:45:26 Pod rfs-test-cluster-54df69f8df-h792h 857:	Container image "redis:6.2.6-alpine" already present on machine
07:45:26 Pod rfs-test-cluster-54df69f8df-h792h 857:	Created container sentinel-config-copy
07:45:41 Pod rfs-test-cluster-54df69f8df-h792h 857:	Started container sentinel-config-copy
07:45:43 Pod rfs-test-cluster-54df69f8df-h792h 857:	Container image "redis:6.2.6-alpine" already present on machine
07:45:43 Pod rfs-test-cluster-54df69f8df-h792h 857:	Created container sentinel
07:45:43 Pod rfs-test-cluster-54df69f8df-h792h 857:	Started container sentinel
07:45:25 Pod rfs-test-cluster-54df69f8df-vtcvg 853:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-vtcvg to acto-cluster-3-worker3
07:45:26 Pod rfs-test-cluster-54df69f8df-vtcvg 859:	Container image "redis:6.2.6-alpine" already present on machine
07:45:26 Pod rfs-test-cluster-54df69f8df-vtcvg 859:	Created container sentinel-config-copy
07:45:41 Pod rfs-test-cluster-54df69f8df-vtcvg 859:	Started container sentinel-config-copy
07:45:43 Pod rfs-test-cluster-54df69f8df-vtcvg 859:	Container image "redis:6.2.6-alpine" already present on machine
07:45:43 Pod rfs-test-cluster-54df69f8df-vtcvg 859:	Created container sentinel
07:45:43 Pod rfs-test-cluster-54df69f8df-vtcvg 859:	Started container sentinel
07:45:25 ReplicaSet rfs-test-cluster-54df69f8df 845:	Created pod: rfs-test-cluster-54df69f8df-dsm6k
07:45:25 ReplicaSet rfs-test-cluster-54df69f8df 845:	Created pod: rfs-test-cluster-54df69f8df-h792h
07:45:25 ReplicaSet rfs-test-cluster-54df69f8df 845:	Created pod: rfs-test-cluster-54df69f8df-vtcvg
07:45:25 PodDisruptionBudget rfs-test-cluster 840:	No matching pods found
07:45:25 Deployment rfs-test-cluster 843:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
