05:42:49 Pod redisoperator-56c8dfdfb-lrd5s 818:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-lrd5s to acto-cluster-15-worker2
05:42:51 Pod redisoperator-56c8dfdfb-lrd5s 820:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:51 Pod redisoperator-56c8dfdfb-lrd5s 820:	Created container app
05:42:53 Pod redisoperator-56c8dfdfb-lrd5s 820:	Started container app
05:42:49 ReplicaSet redisoperator-56c8dfdfb 815:	Created pod: redisoperator-56c8dfdfb-lrd5s
05:42:19 Pod redisoperator-6445768794-fxndk 748:	Successfully assigned acto-namespace/redisoperator-6445768794-fxndk to acto-cluster-15-worker2
05:42:20 Pod redisoperator-6445768794-fxndk 752:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:20 Pod redisoperator-6445768794-fxndk 752:	Created container app
05:42:22 Pod redisoperator-6445768794-fxndk 752:	Started container app
05:42:53 Pod redisoperator-6445768794-fxndk 752:	Stopping container app
05:42:19 ReplicaSet redisoperator-6445768794 741:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
05:42:19 ReplicaSet redisoperator-6445768794 746:	Created pod: redisoperator-6445768794-fxndk
05:42:53 ReplicaSet redisoperator-6445768794 837:	Deleted pod: redisoperator-6445768794-fxndk
05:42:19 Deployment redisoperator 738:	Scaled up replica set redisoperator-6445768794 to 1
05:42:49 Deployment redisoperator 814:	Scaled up replica set redisoperator-56c8dfdfb to 1
05:42:53 Deployment redisoperator 825:	Scaled down replica set redisoperator-6445768794 to 0
05:42:58 Pod rfr-test-cluster-0 872:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker
05:43:03 Pod rfr-test-cluster-0 877:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfr-test-cluster-0 877:	Created container redis
05:43:05 Pod rfr-test-cluster-0 877:	Started container redis
05:43:05 Pod rfr-test-cluster-0 877:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:43:05 Pod rfr-test-cluster-0 877:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 283.390442ms
05:43:05 Pod rfr-test-cluster-0 877:	Created container redis-exporter
05:43:21 Pod rfr-test-cluster-0 877:	Started container redis-exporter
05:43:39 Pod rfr-test-cluster-0 877:	Readiness probe failed: 
05:47:25 Pod rfr-test-cluster-0 877:	Stopping container redis
05:47:25 Pod rfr-test-cluster-0 877:	Stopping container redis-exporter
05:56:32 Pod rfr-test-cluster-0 2433:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker2
05:56:33 Pod rfr-test-cluster-0 2435:	Container image "redis:6.2.6-alpine" already present on machine
05:56:33 Pod rfr-test-cluster-0 2435:	Created container redis
05:56:33 Pod rfr-test-cluster-0 2435:	Started container redis
05:56:33 Pod rfr-test-cluster-0 2435:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:56:33 Pod rfr-test-cluster-0 2435:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 172.980436ms
05:56:33 Pod rfr-test-cluster-0 2435:	Created container redis-exporter
05:56:36 Pod rfr-test-cluster-0 2435:	Started container redis-exporter
05:57:12 Pod rfr-test-cluster-0 2435:	Readiness probe failed: 
05:42:58 Pod rfr-test-cluster-1 875:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker3
05:43:03 Pod rfr-test-cluster-1 880:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfr-test-cluster-1 880:	Created container redis
05:43:05 Pod rfr-test-cluster-1 880:	Started container redis
05:43:05 Pod rfr-test-cluster-1 880:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:43:05 Pod rfr-test-cluster-1 880:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 258.039855ms
05:43:05 Pod rfr-test-cluster-1 880:	Created container redis-exporter
05:43:19 Pod rfr-test-cluster-1 880:	Started container redis-exporter
05:43:39 Pod rfr-test-cluster-1 880:	Readiness probe failed: 
05:46:26 Pod rfr-test-cluster-1 880:	Stopping container redis
05:46:26 Pod rfr-test-cluster-1 880:	Stopping container redis-exporter
05:56:32 Pod rfr-test-cluster-1 2437:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
05:56:33 Pod rfr-test-cluster-1 2441:	Container image "redis:6.2.6-alpine" already present on machine
05:56:33 Pod rfr-test-cluster-1 2441:	Created container redis
05:56:33 Pod rfr-test-cluster-1 2441:	Started container redis
05:56:33 Pod rfr-test-cluster-1 2441:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
