21:39:48 Pod redis-operator-54fb85ff56-g8pgt 869:	Successfully assigned redis-operator/redis-operator-54fb85ff56-g8pgt to acto-cluster-5-worker
21:39:50 Pod redis-operator-54fb85ff56-g8pgt 871:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
21:39:50 Pod redis-operator-54fb85ff56-g8pgt 871:	Created container manager
21:39:51 Pod redis-operator-54fb85ff56-g8pgt 871:	Started container manager
21:39:48 ReplicaSet redis-operator-54fb85ff56 866:	Created pod: redis-operator-54fb85ff56-g8pgt
21:39:18 Pod redis-operator-55c9f5f99d-x4bgk 772:	Successfully assigned redis-operator/redis-operator-55c9f5f99d-x4bgk to acto-cluster-5-worker3
21:39:20 Pod redis-operator-55c9f5f99d-x4bgk 776:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
21:39:20 Pod redis-operator-55c9f5f99d-x4bgk 776:	Created container manager
21:39:21 Pod redis-operator-55c9f5f99d-x4bgk 776:	Started container manager
21:39:58 Pod redis-operator-55c9f5f99d-x4bgk 776:	Stopping container manager
21:39:18 ReplicaSet redis-operator-55c9f5f99d 771:	Created pod: redis-operator-55c9f5f99d-x4bgk
21:39:58 ReplicaSet redis-operator-55c9f5f99d 989:	Deleted pod: redis-operator-55c9f5f99d-x4bgk
21:39:18 Deployment redis-operator 769:	Scaled up replica set redis-operator-55c9f5f99d to 1
21:39:48 Deployment redis-operator 865:	Scaled up replica set redis-operator-54fb85ff56 to 1
21:39:58 Deployment redis-operator 876:	Scaled down replica set redis-operator-55c9f5f99d to 0
21:39:57 Pod test-cluster-follower-0 919:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-5-worker3
21:39:58 Pod test-cluster-follower-0 979:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:39:58 Pod test-cluster-follower-0 979:	Created container test-cluster-follower
21:40:00 Pod test-cluster-follower-0 979:	Started container test-cluster-follower
21:40:00 Pod test-cluster-follower-0 979:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:40:00 Pod test-cluster-follower-0 979:	Created container redis-exporter
21:40:01 Pod test-cluster-follower-0 979:	Started container redis-exporter
21:44:16 Pod test-cluster-follower-0 979:	Stopping container test-cluster-follower
21:44:16 Pod test-cluster-follower-0 979:	Stopping container redis-exporter
21:44:48 Pod test-cluster-follower-0 2126:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-5-worker3
21:44:49 Pod test-cluster-follower-0 2128:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:44:49 Pod test-cluster-follower-0 2128:	Created container test-cluster-follower
21:44:50 Pod test-cluster-follower-0 2128:	Started container test-cluster-follower
21:44:50 Pod test-cluster-follower-0 2128:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:44:51 Pod test-cluster-follower-0 2128:	Created container redis-exporter
21:44:52 Pod test-cluster-follower-0 2128:	Started container redis-exporter
