06:28:32 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-2c946 719:	Successfully assigned acto-namespace/acto-test-operator-zookeeper-operator-658b9fbcfb-2c946 to acto-cluster-15-worker
06:28:32 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-2c946 721:	Container image "pravega/zookeeper-operator:0.2.13" already present on machine
06:28:32 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-2c946 721:	Created container acto-test-operator-zookeeper-operator
06:28:32 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-2c946 721:	Started container acto-test-operator-zookeeper-operator
06:28:32 ReplicaSet acto-test-operator-zookeeper-operator-658b9fbcfb 716:	Created pod: acto-test-operator-zookeeper-operator-658b9fbcfb-2c946
06:28:32 Deployment acto-test-operator-zookeeper-operator 715:	Scaled up replica set acto-test-operator-zookeeper-operator-658b9fbcfb to 1
06:29:05 PersistentVolumeClaim data-test-cluster-0 816:	waiting for first consumer to be created before binding
06:29:05 PersistentVolumeClaim data-test-cluster-0 828:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
06:29:05 PersistentVolumeClaim data-test-cluster-0 828:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-0"
06:29:09 PersistentVolumeClaim data-test-cluster-0 828:	Successfully provisioned volume pvc-8d1455c4-504a-4a1e-9fd0-26dd6dbbac31
06:29:20 PersistentVolumeClaim data-test-cluster-1 896:	waiting for first consumer to be created before binding
06:29:20 PersistentVolumeClaim data-test-cluster-1 903:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
06:29:20 PersistentVolumeClaim data-test-cluster-1 903:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-1"
06:29:25 PersistentVolumeClaim data-test-cluster-1 903:	Successfully provisioned volume pvc-de28c661-5c6c-4b80-bf31-07ed9b6d5ec1
06:30:08 PersistentVolumeClaim data-test-cluster-2 1033:	waiting for first consumer to be created before binding
06:30:08 PersistentVolumeClaim data-test-cluster-2 1040:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
06:30:08 PersistentVolumeClaim data-test-cluster-2 1040:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-2"
06:30:12 PersistentVolumeClaim data-test-cluster-2 1040:	Successfully provisioned volume pvc-377347e1-e14f-4120-882f-98138bd4c5fa
06:29:10 Pod test-cluster-0 820:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-15-worker3
06:29:10 Pod test-cluster-0 860:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:29:10 Pod test-cluster-0 860:	Created container zookeeper
06:29:10 Pod test-cluster-0 860:	Started container zookeeper
06:33:01 Pod test-cluster-0 860:	Stopping container zookeeper
06:33:34 Pod test-cluster-0 1524:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-15-worker3
06:33:34 Pod test-cluster-0 1525:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:33:34 Pod test-cluster-0 1525:	Created container zookeeper
06:33:35 Pod test-cluster-0 1525:	Started container zookeeper
06:36:02 Pod test-cluster-0 1525:	Stopping container zookeeper
06:36:34 Pod test-cluster-0 1955:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-15-worker3
06:36:35 Pod test-cluster-0 1956:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:36:35 Pod test-cluster-0 1956:	Created container zookeeper
06:36:35 Pod test-cluster-0 1956:	Started container zookeeper
06:40:24 Pod test-cluster-0 1956:	Stopping container zookeeper
06:40:57 Pod test-cluster-0 2509:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-15-worker3
06:40:57 Pod test-cluster-0 2510:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:40:57 Pod test-cluster-0 2510:	Created container zookeeper
06:40:57 Pod test-cluster-0 2510:	Started container zookeeper
06:43:49 Pod test-cluster-0 2510:	Stopping container zookeeper
06:44:21 Pod test-cluster-0 2980:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-15-worker3
06:44:22 Pod test-cluster-0 2981:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:44:22 Pod test-cluster-0 2981:	Created container zookeeper
06:44:22 Pod test-cluster-0 2981:	Started container zookeeper
06:47:09 Pod test-cluster-0 2981:	Stopping container zookeeper
06:47:41 Pod test-cluster-0 3437:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-15-worker3
06:47:42 Pod test-cluster-0 3439:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:47:42 Pod test-cluster-0 3439:	Created container zookeeper
06:47:42 Pod test-cluster-0 3439:	Started container zookeeper
06:29:26 Pod test-cluster-1 899:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-15-worker
06:29:26 Pod test-cluster-1 931:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:29:26 Pod test-cluster-1 931:	Created container zookeeper
06:29:27 Pod test-cluster-1 931:	Started container zookeeper
06:29:28 Pod test-cluster-1 931:	Back-off restarting failed container
06:32:09 Pod test-cluster-1 931:	Stopping container zookeeper
06:32:41 Pod test-cluster-1 1394:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-15-worker
06:32:42 Pod test-cluster-1 1395:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:32:42 Pod test-cluster-1 1395:	Created container zookeeper
06:32:42 Pod test-cluster-1 1395:	Started container zookeeper
06:35:20 Pod test-cluster-1 1395:	Stopping container zookeeper
06:35:52 Pod test-cluster-1 1841:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-15-worker
06:35:52 Pod test-cluster-1 1842:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:35:52 Pod test-cluster-1 1842:	Created container zookeeper
06:35:52 Pod test-cluster-1 1842:	Started container zookeeper
06:39:33 Pod test-cluster-1 1842:	Stopping container zookeeper
06:40:04 Pod test-cluster-1 2379:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-15-worker
06:40:05 Pod test-cluster-1 2380:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:40:05 Pod test-cluster-1 2380:	Created container zookeeper
06:40:05 Pod test-cluster-1 2380:	Started container zookeeper
06:42:57 Pod test-cluster-1 2380:	Stopping container zookeeper
06:43:29 Pod test-cluster-1 2847:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-15-worker
06:43:29 Pod test-cluster-1 2849:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:43:29 Pod test-cluster-1 2849:	Created container zookeeper
06:43:30 Pod test-cluster-1 2849:	Started container zookeeper
06:46:17 Pod test-cluster-1 2849:	Stopping container zookeeper
06:46:49 Pod test-cluster-1 3310:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-15-worker
06:46:50 Pod test-cluster-1 3311:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:46:50 Pod test-cluster-1 3311:	Created container zookeeper
06:46:50 Pod test-cluster-1 3311:	Started container zookeeper
06:30:13 Pod test-cluster-2 1036:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-15-worker2
06:30:14 Pod test-cluster-2 1063:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:30:14 Pod test-cluster-2 1063:	Created container zookeeper
06:30:14 Pod test-cluster-2 1063:	Started container zookeeper
06:31:17 Pod test-cluster-2 1063:	Stopping container zookeeper
06:31:49 Pod test-cluster-2 1262:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-15-worker2
06:31:50 Pod test-cluster-2 1263:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:31:50 Pod test-cluster-2 1263:	Created container zookeeper
06:31:50 Pod test-cluster-2 1263:	Started container zookeeper
06:34:38 Pod test-cluster-2 1263:	Stopping container zookeeper
06:35:10 Pod test-cluster-2 1731:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-15-worker2
06:35:10 Pod test-cluster-2 1732:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:35:10 Pod test-cluster-2 1732:	Created container zookeeper
06:35:10 Pod test-cluster-2 1732:	Started container zookeeper
06:38:41 Pod test-cluster-2 1732:	Stopping container zookeeper
06:39:13 Pod test-cluster-2 2258:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-15-worker2
06:39:14 Pod test-cluster-2 2259:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:39:14 Pod test-cluster-2 2259:	Created container zookeeper
06:39:15 Pod test-cluster-2 2259:	Started container zookeeper
06:42:05 Pod test-cluster-2 2259:	Stopping container zookeeper
06:42:37 Pod test-cluster-2 2718:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-15-worker2
06:42:38 Pod test-cluster-2 2720:	Container image "pravega/zookeeper:0.2.14" already present on machine
