07:20:47 Pod redisoperator-56c8dfdfb-mthl6 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mthl6 to acto-cluster-7-worker3
07:20:48 Pod redisoperator-56c8dfdfb-mthl6 785:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:20:48 Pod redisoperator-56c8dfdfb-mthl6 785:	Created container app
07:20:50 Pod redisoperator-56c8dfdfb-mthl6 785:	Started container app
07:20:47 ReplicaSet redisoperator-56c8dfdfb 780:	Created pod: redisoperator-56c8dfdfb-mthl6
07:20:17 Pod redisoperator-6445768794-bgbdr 713:	Successfully assigned acto-namespace/redisoperator-6445768794-bgbdr to acto-cluster-7-worker3
07:20:18 Pod redisoperator-6445768794-bgbdr 715:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:20:18 Pod redisoperator-6445768794-bgbdr 715:	Created container app
07:20:20 Pod redisoperator-6445768794-bgbdr 715:	Started container app
07:20:50 Pod redisoperator-6445768794-bgbdr 715:	Stopping container app
07:20:17 ReplicaSet redisoperator-6445768794 709:	Created pod: redisoperator-6445768794-bgbdr
07:20:50 ReplicaSet redisoperator-6445768794 887:	Deleted pod: redisoperator-6445768794-bgbdr
07:20:17 Deployment redisoperator 706:	Scaled up replica set redisoperator-6445768794 to 1
07:20:47 Deployment redisoperator 779:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:20:50 Deployment redisoperator 790:	Scaled down replica set redisoperator-6445768794 to 0
07:20:49 Pod rfr-test-cluster-0 814:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker2
07:20:50 Pod rfr-test-cluster-0 819:	Container image "redis:6.2.6-alpine" already present on machine
07:20:50 Pod rfr-test-cluster-0 819:	Created container redis
07:20:50 Pod rfr-test-cluster-0 819:	Started container redis
07:20:50 Pod rfr-test-cluster-0 819:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:20:50 Pod rfr-test-cluster-0 819:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 230.893311ms
07:20:50 Pod rfr-test-cluster-0 819:	Created container redis-exporter
07:20:53 Pod rfr-test-cluster-0 819:	Started container redis-exporter
07:21:29 Pod rfr-test-cluster-0 819:	Readiness probe failed: 
07:24:22 Pod rfr-test-cluster-0 819:	Stopping container redis
07:24:22 Pod rfr-test-cluster-0 819:	Stopping container redis-exporter
07:24:22 Pod rfr-test-cluster-0 1435:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker2
07:24:23 Pod rfr-test-cluster-0 1437:	Container image "redis:6.2.6-alpine" already present on machine
07:24:23 Pod rfr-test-cluster-0 1437:	Created container redis
07:24:23 Pod rfr-test-cluster-0 1437:	Started container redis
07:24:23 Pod rfr-test-cluster-0 1437:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:24:23 Pod rfr-test-cluster-0 1437:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.448087ms
07:24:23 Pod rfr-test-cluster-0 1437:	Created container redis-exporter
07:24:26 Pod rfr-test-cluster-0 1437:	Started container redis-exporter
07:25:02 Pod rfr-test-cluster-0 1437:	Readiness probe failed: 
07:27:47 Pod rfr-test-cluster-0 1437:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
07:27:47 Pod rfr-test-cluster-0 1437:	Stopping container redis
07:27:48 Pod rfr-test-cluster-0 1921:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker2
07:27:48 Pod rfr-test-cluster-0 1924:	Container image "redis:6.2.6-alpine" already present on machine
07:27:48 Pod rfr-test-cluster-0 1924:	Created container redis
07:27:49 Pod rfr-test-cluster-0 1924:	Started container redis
07:27:49 Pod rfr-test-cluster-0 1924:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:49 Pod rfr-test-cluster-0 1924:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 127.413024ms
07:27:49 Pod rfr-test-cluster-0 1924:	Created container redis-exporter
07:27:51 Pod rfr-test-cluster-0 1924:	Started container redis-exporter
07:29:49 Pod rfr-test-cluster-0 1924:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
07:29:49 Pod rfr-test-cluster-0 1924:	Stopping container redis
