06:01:50 Pod redisoperator-56c8dfdfb-wh7cz 803:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-wh7cz to acto-cluster-15-worker3
06:01:51 Pod redisoperator-56c8dfdfb-wh7cz 805:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:01:51 Pod redisoperator-56c8dfdfb-wh7cz 805:	Created container app
06:01:52 Pod redisoperator-56c8dfdfb-wh7cz 805:	Started container app
06:01:50 ReplicaSet redisoperator-56c8dfdfb 800:	Created pod: redisoperator-56c8dfdfb-wh7cz
06:01:20 Pod redisoperator-6445768794-8wd7h 731:	Successfully assigned acto-namespace/redisoperator-6445768794-8wd7h to acto-cluster-15-worker3
06:01:21 Pod redisoperator-6445768794-8wd7h 736:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:01:21 Pod redisoperator-6445768794-8wd7h 736:	Created container app
06:01:23 Pod redisoperator-6445768794-8wd7h 736:	Started container app
06:01:53 Pod redisoperator-6445768794-8wd7h 736:	Stopping container app
06:01:20 ReplicaSet redisoperator-6445768794 723:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:01:20 ReplicaSet redisoperator-6445768794 729:	Created pod: redisoperator-6445768794-8wd7h
06:01:53 ReplicaSet redisoperator-6445768794 904:	Deleted pod: redisoperator-6445768794-8wd7h
06:01:20 Deployment redisoperator 721:	Scaled up replica set redisoperator-6445768794 to 1
06:01:50 Deployment redisoperator 799:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:01:53 Deployment redisoperator 810:	Scaled down replica set redisoperator-6445768794 to 0
06:01:52 Pod rfr-test-cluster-0 835:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker2
06:01:53 Pod rfr-test-cluster-0 838:	Container image "redis:6.2.6-alpine" already present on machine
06:01:53 Pod rfr-test-cluster-0 838:	Created container redis
06:01:53 Pod rfr-test-cluster-0 838:	Started container redis
06:01:53 Pod rfr-test-cluster-0 838:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:01:53 Pod rfr-test-cluster-0 838:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 237.055998ms
06:01:53 Pod rfr-test-cluster-0 838:	Created container redis-exporter
06:01:56 Pod rfr-test-cluster-0 838:	Started container redis-exporter
06:02:32 Pod rfr-test-cluster-0 838:	Readiness probe failed: 
06:06:54 Pod rfr-test-cluster-0 838:	Stopping container redis
06:06:54 Pod rfr-test-cluster-0 838:	Stopping container redis-exporter
06:15:58 Pod rfr-test-cluster-0 2458:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker3
06:15:58 Pod rfr-test-cluster-0 2460:	Container image "redis:6.2.6-alpine" already present on machine
06:15:58 Pod rfr-test-cluster-0 2460:	Created container redis
06:15:59 Pod rfr-test-cluster-0 2460:	Started container redis
06:15:59 Pod rfr-test-cluster-0 2460:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:15:59 Pod rfr-test-cluster-0 2460:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 154.144314ms
06:15:59 Pod rfr-test-cluster-0 2460:	Created container redis-exporter
06:16:02 Pod rfr-test-cluster-0 2460:	Started container redis-exporter
06:16:38 Pod rfr-test-cluster-0 2460:	Readiness probe failed: 
06:01:52 Pod rfr-test-cluster-1 840:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
06:01:53 Pod rfr-test-cluster-1 845:	Container image "redis:6.2.6-alpine" already present on machine
06:01:53 Pod rfr-test-cluster-1 845:	Created container redis
06:01:53 Pod rfr-test-cluster-1 845:	Started container redis
06:01:53 Pod rfr-test-cluster-1 845:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:01:53 Pod rfr-test-cluster-1 845:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 246.824511ms
06:01:53 Pod rfr-test-cluster-1 845:	Created container redis-exporter
06:01:56 Pod rfr-test-cluster-1 845:	Started container redis-exporter
06:02:32 Pod rfr-test-cluster-1 845:	Readiness probe failed: 
06:05:56 Pod rfr-test-cluster-1 845:	Stopping container redis
06:05:56 Pod rfr-test-cluster-1 845:	Stopping container redis-exporter
06:15:58 Pod rfr-test-cluster-1 2459:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
06:15:58 Pod rfr-test-cluster-1 2464:	Container image "redis:6.2.6-alpine" already present on machine
06:15:58 Pod rfr-test-cluster-1 2464:	Created container redis
06:15:59 Pod rfr-test-cluster-1 2464:	Started container redis
06:15:59 Pod rfr-test-cluster-1 2464:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:15:59 Pod rfr-test-cluster-1 2464:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 123.474353ms
06:15:59 Pod rfr-test-cluster-1 2464:	Created container redis-exporter
06:16:02 Pod rfr-test-cluster-1 2464:	Started container redis-exporter
06:16:38 Pod rfr-test-cluster-1 2464:	Readiness probe failed: 
06:01:52 Pod rfr-test-cluster-2 844:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker3
06:01:53 Pod rfr-test-cluster-2 847:	Container image "redis:6.2.6-alpine" already present on machine
06:01:53 Pod rfr-test-cluster-2 847:	Created container redis
06:01:53 Pod rfr-test-cluster-2 847:	Started container redis
06:01:53 Pod rfr-test-cluster-2 847:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:01:53 Pod rfr-test-cluster-2 847:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 282.714248ms
06:01:53 Pod rfr-test-cluster-2 847:	Created container redis-exporter
06:01:56 Pod rfr-test-cluster-2 847:	Started container redis-exporter
06:02:32 Pod rfr-test-cluster-2 847:	Readiness probe failed: 
06:06:24 Pod rfr-test-cluster-2 847:	Stopping container redis
06:06:24 Pod rfr-test-cluster-2 847:	Stopping container redis-exporter
06:15:58 Pod rfr-test-cluster-2 2466:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
06:15:58 Pod rfr-test-cluster-2 2469:	Container image "redis:6.2.6-alpine" already present on machine
06:15:58 Pod rfr-test-cluster-2 2469:	Created container redis
06:15:59 Pod rfr-test-cluster-2 2469:	Started container redis
06:15:59 Pod rfr-test-cluster-2 2469:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:15:59 Pod rfr-test-cluster-2 2469:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 131.883045ms
