07:51:39 Pod redisoperator-56c8dfdfb-2kg9n 800:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2kg9n to acto-cluster-8-worker
07:51:40 Pod redisoperator-56c8dfdfb-2kg9n 802:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:51:40 Pod redisoperator-56c8dfdfb-2kg9n 802:	Created container app
07:51:41 Pod redisoperator-56c8dfdfb-2kg9n 802:	Started container app
07:51:39 ReplicaSet redisoperator-56c8dfdfb 797:	Created pod: redisoperator-56c8dfdfb-2kg9n
07:51:08 Pod redisoperator-6445768794-968hg 728:	Successfully assigned acto-namespace/redisoperator-6445768794-968hg to acto-cluster-8-worker3
07:51:10 Pod redisoperator-6445768794-968hg 731:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:51:10 Pod redisoperator-6445768794-968hg 731:	Created container app
07:51:11 Pod redisoperator-6445768794-968hg None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-968hg
07:51:11 Pod redisoperator-6445768794-968hg 731:	Started container app
07:51:42 Pod redisoperator-6445768794-968hg 731:	Stopping container app
07:51:08 ReplicaSet redisoperator-6445768794 719:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:51:08 ReplicaSet redisoperator-6445768794 726:	Created pod: redisoperator-6445768794-968hg
07:51:42 ReplicaSet redisoperator-6445768794 905:	Deleted pod: redisoperator-6445768794-968hg
07:51:08 Deployment redisoperator 718:	Scaled up replica set redisoperator-6445768794 to 1
07:51:39 Deployment redisoperator 796:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:51:42 Deployment redisoperator 808:	Scaled down replica set redisoperator-6445768794 to 0
07:51:41 Pod rfr-test-cluster-0 833:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker3
07:51:42 Pod rfr-test-cluster-0 836:	Container image "redis:6.2.6-alpine" already present on machine
07:51:42 Pod rfr-test-cluster-0 836:	Created container redis
07:51:42 Pod rfr-test-cluster-0 836:	Started container redis
07:51:42 Pod rfr-test-cluster-0 836:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:51:42 Pod rfr-test-cluster-0 836:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 267.92826ms
07:51:42 Pod rfr-test-cluster-0 836:	Created container redis-exporter
07:51:46 Pod rfr-test-cluster-0 836:	Started container redis-exporter
07:52:21 Pod rfr-test-cluster-0 836:	Readiness probe failed: 
07:55:43 Pod rfr-test-cluster-0 836:	Stopping container redis
07:55:43 Pod rfr-test-cluster-0 836:	Stopping container redis-exporter
08:04:46 Pod rfr-test-cluster-0 2352:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker3
08:04:46 Pod rfr-test-cluster-0 2354:	Container image "redis:6.2.6-alpine" already present on machine
08:04:46 Pod rfr-test-cluster-0 2354:	Created container redis
08:04:47 Pod rfr-test-cluster-0 2354:	Started container redis
