03:18:23 Pod redis-operator-54fb85ff56-mkjpl 833:	Successfully assigned redis-operator/redis-operator-54fb85ff56-mkjpl to acto-cluster-3-worker2
03:18:24 Pod redis-operator-54fb85ff56-mkjpl 836:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
03:18:24 Pod redis-operator-54fb85ff56-mkjpl 836:	Created container manager
03:18:26 Pod redis-operator-54fb85ff56-mkjpl 836:	Started container manager
03:18:23 ReplicaSet redis-operator-54fb85ff56 830:	Created pod: redis-operator-54fb85ff56-mkjpl
03:17:53 Pod redis-operator-55c9f5f99d-hg688 738:	Successfully assigned redis-operator/redis-operator-55c9f5f99d-hg688 to acto-cluster-3-worker2
03:17:54 Pod redis-operator-55c9f5f99d-hg688 740:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
03:17:54 Pod redis-operator-55c9f5f99d-hg688 740:	Created container manager
03:17:55 Pod redis-operator-55c9f5f99d-hg688 740:	Started container manager
03:18:33 Pod redis-operator-55c9f5f99d-hg688 740:	Stopping container manager
03:17:53 ReplicaSet redis-operator-55c9f5f99d 735:	Created pod: redis-operator-55c9f5f99d-hg688
03:18:33 ReplicaSet redis-operator-55c9f5f99d 959:	Deleted pod: redis-operator-55c9f5f99d-hg688
03:17:53 Deployment redis-operator 734:	Scaled up replica set redis-operator-55c9f5f99d to 1
03:18:23 Deployment redis-operator 829:	Scaled up replica set redis-operator-54fb85ff56 to 1
03:18:33 Deployment redis-operator 840:	Scaled down replica set redis-operator-55c9f5f99d to 0
03:18:31 Pod test-cluster-follower-0 882:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-3-worker3
03:18:32 Pod test-cluster-follower-0 947:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:18:32 Pod test-cluster-follower-0 947:	Created container test-cluster-follower
03:18:33 Pod test-cluster-follower-0 947:	Started container test-cluster-follower
03:18:33 Pod test-cluster-follower-0 947:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:18:34 Pod test-cluster-follower-0 947:	Created container redis-exporter
03:18:35 Pod test-cluster-follower-0 947:	Started container redis-exporter
03:22:49 Pod test-cluster-follower-0 947:	Stopping container test-cluster-follower
03:22:49 Pod test-cluster-follower-0 947:	Stopping container redis-exporter
03:23:20 Pod test-cluster-follower-0 2068:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-3-worker3
03:23:21 Pod test-cluster-follower-0 2069:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:23:21 Pod test-cluster-follower-0 2069:	Created container test-cluster-follower
03:23:22 Pod test-cluster-follower-0 2069:	Started container test-cluster-follower
03:23:22 Pod test-cluster-follower-0 2069:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:23:22 Pod test-cluster-follower-0 2069:	Created container redis-exporter
03:23:23 Pod test-cluster-follower-0 2069:	Started container redis-exporter
03:26:30 Pod test-cluster-follower-0 2069:	Stopping container test-cluster-follower
03:26:30 Pod test-cluster-follower-0 2069:	Stopping container redis-exporter
03:27:01 Pod test-cluster-follower-0 2877:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-3-worker3
03:27:03 Pod test-cluster-follower-0 2878:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:27:03 Pod test-cluster-follower-0 2878:	Created container test-cluster-follower
03:27:04 Pod test-cluster-follower-0 2878:	Started container test-cluster-follower
03:27:04 Pod test-cluster-follower-0 2878:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:27:04 Pod test-cluster-follower-0 2878:	Created container redis-exporter
03:27:05 Pod test-cluster-follower-0 2878:	Started container redis-exporter
03:30:11 Pod test-cluster-follower-0 2878:	Stopping container test-cluster-follower
03:30:11 Pod test-cluster-follower-0 2878:	Stopping container redis-exporter
03:30:42 Pod test-cluster-follower-0 3677:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-3-worker3
03:30:43 Pod test-cluster-follower-0 3678:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:30:43 Pod test-cluster-follower-0 3678:	Created container test-cluster-follower
03:30:44 Pod test-cluster-follower-0 3678:	Started container test-cluster-follower
03:30:44 Pod test-cluster-follower-0 3678:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:30:44 Pod test-cluster-follower-0 3678:	Created container redis-exporter
03:30:45 Pod test-cluster-follower-0 3678:	Started container redis-exporter
03:19:07 Pod test-cluster-follower-1 1074:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-3-worker2
03:19:08 Pod test-cluster-follower-1 1119:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:19:08 Pod test-cluster-follower-1 1119:	Created container test-cluster-follower
03:19:09 Pod test-cluster-follower-1 1119:	Started container test-cluster-follower
03:19:09 Pod test-cluster-follower-1 1119:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:19:09 Pod test-cluster-follower-1 1119:	Created container redis-exporter
03:19:10 Pod test-cluster-follower-1 1119:	Started container redis-exporter
03:21:48 Pod test-cluster-follower-1 1119:	Stopping container test-cluster-follower
03:21:48 Pod test-cluster-follower-1 1119:	Stopping container redis-exporter
03:22:19 Pod test-cluster-follower-1 1847:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-3-worker2
03:22:21 Pod test-cluster-follower-1 1848:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:22:21 Pod test-cluster-follower-1 1848:	Created container test-cluster-follower
03:22:22 Pod test-cluster-follower-1 1848:	Started container test-cluster-follower
03:22:22 Pod test-cluster-follower-1 1848:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:22:22 Pod test-cluster-follower-1 1848:	Created container redis-exporter
03:22:24 Pod test-cluster-follower-1 1848:	Started container redis-exporter
03:25:29 Pod test-cluster-follower-1 1848:	Stopping container test-cluster-follower
03:25:29 Pod test-cluster-follower-1 1848:	Stopping container redis-exporter
03:25:59 Pod test-cluster-follower-1 2643:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-3-worker2
03:26:01 Pod test-cluster-follower-1 2644:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:26:01 Pod test-cluster-follower-1 2644:	Created container test-cluster-follower
03:26:02 Pod test-cluster-follower-1 2644:	Started container test-cluster-follower
03:26:02 Pod test-cluster-follower-1 2644:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:26:02 Pod test-cluster-follower-1 2644:	Created container redis-exporter
03:26:03 Pod test-cluster-follower-1 2644:	Started container redis-exporter
03:29:10 Pod test-cluster-follower-1 2644:	Stopping container test-cluster-follower
03:29:10 Pod test-cluster-follower-1 2644:	Stopping container redis-exporter
03:29:40 Pod test-cluster-follower-1 3449:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-3-worker2
03:29:41 Pod test-cluster-follower-1 3450:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:29:41 Pod test-cluster-follower-1 3450:	Created container test-cluster-follower
03:29:43 Pod test-cluster-follower-1 3450:	Started container test-cluster-follower
03:29:43 Pod test-cluster-follower-1 3450:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:29:43 Pod test-cluster-follower-1 3450:	Created container redis-exporter
03:29:44 Pod test-cluster-follower-1 3450:	Started container redis-exporter
03:19:42 Pod test-cluster-follower-2 1246:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-3-worker
03:19:43 Pod test-cluster-follower-2 1295:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:19:43 Pod test-cluster-follower-2 1295:	Created container test-cluster-follower
03:19:44 Pod test-cluster-follower-2 1295:	Started container test-cluster-follower
03:19:44 Pod test-cluster-follower-2 1295:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:19:44 Pod test-cluster-follower-2 1295:	Created container redis-exporter
03:19:46 Pod test-cluster-follower-2 1295:	Started container redis-exporter
03:20:48 Pod test-cluster-follower-2 1295:	Stopping container test-cluster-follower
03:20:48 Pod test-cluster-follower-2 1295:	Stopping container redis-exporter
03:21:18 Pod test-cluster-follower-2 1609:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-3-worker
03:21:20 Pod test-cluster-follower-2 1612:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:21:20 Pod test-cluster-follower-2 1612:	Created container test-cluster-follower
03:21:22 Pod test-cluster-follower-2 1612:	Started container test-cluster-follower
03:21:22 Pod test-cluster-follower-2 1612:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:21:22 Pod test-cluster-follower-2 1612:	Created container redis-exporter
03:21:23 Pod test-cluster-follower-2 1612:	Started container redis-exporter
03:24:27 Pod test-cluster-follower-2 1612:	Stopping container test-cluster-follower
03:24:27 Pod test-cluster-follower-2 1612:	Stopping container redis-exporter
03:24:59 Pod test-cluster-follower-2 2415:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-3-worker
03:25:00 Pod test-cluster-follower-2 2416:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:25:00 Pod test-cluster-follower-2 2416:	Created container test-cluster-follower
03:25:02 Pod test-cluster-follower-2 2416:	Started container test-cluster-follower
03:25:02 Pod test-cluster-follower-2 2416:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:25:02 Pod test-cluster-follower-2 2416:	Created container redis-exporter
03:25:03 Pod test-cluster-follower-2 2416:	Started container redis-exporter
03:28:08 Pod test-cluster-follower-2 2416:	Stopping container test-cluster-follower
03:28:08 Pod test-cluster-follower-2 2416:	Stopping container redis-exporter
03:28:39 Pod test-cluster-follower-2 3217:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-3-worker
03:28:41 Pod test-cluster-follower-2 3218:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:28:41 Pod test-cluster-follower-2 3218:	Created container test-cluster-follower
03:28:42 Pod test-cluster-follower-2 3218:	Started container test-cluster-follower
03:28:42 Pod test-cluster-follower-2 3218:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
