06:21:21 Pod redisoperator-56c8dfdfb-pw74n 803:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-pw74n to acto-cluster-15-worker2
06:21:23 Pod redisoperator-56c8dfdfb-pw74n 806:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:21:23 Pod redisoperator-56c8dfdfb-pw74n 806:	Created container app
06:21:24 Pod redisoperator-56c8dfdfb-pw74n 806:	Started container app
06:21:21 ReplicaSet redisoperator-56c8dfdfb 800:	Created pod: redisoperator-56c8dfdfb-pw74n
06:20:51 Pod redisoperator-6445768794-qxhg2 732:	Successfully assigned acto-namespace/redisoperator-6445768794-qxhg2 to acto-cluster-15-worker3
06:20:53 Pod redisoperator-6445768794-qxhg2 735:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:20:53 Pod redisoperator-6445768794-qxhg2 735:	Created container app
06:20:55 Pod redisoperator-6445768794-qxhg2 735:	Started container app
06:21:25 Pod redisoperator-6445768794-qxhg2 735:	Stopping container app
06:20:51 ReplicaSet redisoperator-6445768794 720:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:20:51 ReplicaSet redisoperator-6445768794 726:	Created pod: redisoperator-6445768794-qxhg2
06:21:25 ReplicaSet redisoperator-6445768794 828:	Deleted pod: redisoperator-6445768794-qxhg2
06:20:51 Deployment redisoperator 719:	Scaled up replica set redisoperator-6445768794 to 1
06:21:21 Deployment redisoperator 799:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:21:25 Deployment redisoperator 810:	Scaled down replica set redisoperator-6445768794 to 0
06:21:25 Pod rfr-test-cluster-0 848:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker3
06:21:26 Pod rfr-test-cluster-0 851:	Container image "redis:6.2.6-alpine" already present on machine
06:21:26 Pod rfr-test-cluster-0 851:	Created container redis
06:21:26 Pod rfr-test-cluster-0 851:	Started container redis
06:21:26 Pod rfr-test-cluster-0 851:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:21:26 Pod rfr-test-cluster-0 851:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 228.249551ms
06:21:26 Pod rfr-test-cluster-0 851:	Created container redis-exporter
06:21:29 Pod rfr-test-cluster-0 851:	Started container redis-exporter
06:22:05 Pod rfr-test-cluster-0 851:	Readiness probe failed: 
06:25:26 Pod rfr-test-cluster-0 851:	Stopping container redis
06:25:26 Pod rfr-test-cluster-0 851:	Stopping container redis-exporter
06:34:29 Pod rfr-test-cluster-0 2355:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker2
06:34:30 Pod rfr-test-cluster-0 2356:	Container image "redis:6.2.6-alpine" already present on machine
06:34:30 Pod rfr-test-cluster-0 2356:	Created container redis
06:34:30 Pod rfr-test-cluster-0 2356:	Started container redis
06:34:30 Pod rfr-test-cluster-0 2356:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:34:30 Pod rfr-test-cluster-0 2356:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 184.81133ms
06:34:30 Pod rfr-test-cluster-0 2356:	Created container redis-exporter
