07:05:58 Pod redisoperator-56c8dfdfb-fmknf 805:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-fmknf to acto-cluster-6-worker
07:05:59 Pod redisoperator-56c8dfdfb-fmknf 807:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:05:59 Pod redisoperator-56c8dfdfb-fmknf 807:	Created container app
07:06:01 Pod redisoperator-56c8dfdfb-fmknf 807:	Started container app
07:05:58 ReplicaSet redisoperator-56c8dfdfb 802:	Created pod: redisoperator-56c8dfdfb-fmknf
07:05:28 Pod redisoperator-6445768794-bvc65 734:	Successfully assigned acto-namespace/redisoperator-6445768794-bvc65 to acto-cluster-6-worker
07:05:29 Pod redisoperator-6445768794-bvc65 738:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:05:29 Pod redisoperator-6445768794-bvc65 738:	Created container app
07:05:29 Pod redisoperator-6445768794-bvc65 None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-bvc65
07:05:31 Pod redisoperator-6445768794-bvc65 738:	Started container app
07:06:02 Pod redisoperator-6445768794-bvc65 738:	Stopping container app
07:05:28 ReplicaSet redisoperator-6445768794 726:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:05:28 ReplicaSet redisoperator-6445768794 732:	Created pod: redisoperator-6445768794-bvc65
07:06:02 ReplicaSet redisoperator-6445768794 917:	Deleted pod: redisoperator-6445768794-bvc65
07:05:28 Deployment redisoperator 724:	Scaled up replica set redisoperator-6445768794 to 1
07:05:58 Deployment redisoperator 801:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:06:02 Deployment redisoperator 812:	Scaled down replica set redisoperator-6445768794 to 0
07:06:00 Pod rfr-test-cluster-0 836:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker3
07:06:01 Pod rfr-test-cluster-0 839:	Container image "redis:6.2.6-alpine" already present on machine
07:06:01 Pod rfr-test-cluster-0 839:	Created container redis
07:06:01 Pod rfr-test-cluster-0 839:	Started container redis
07:06:01 Pod rfr-test-cluster-0 839:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:06:01 Pod rfr-test-cluster-0 839:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 291.337302ms
07:06:01 Pod rfr-test-cluster-0 839:	Created container redis-exporter
07:06:06 Pod rfr-test-cluster-0 839:	Started container redis-exporter
07:06:40 Pod rfr-test-cluster-0 839:	Readiness probe failed: 
07:09:33 Pod rfr-test-cluster-0 839:	Stopping container redis
07:09:33 Pod rfr-test-cluster-0 839:	Stopping container redis-exporter
07:19:05 Pod rfr-test-cluster-0 2357:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker
07:19:07 Pod rfr-test-cluster-0 2358:	Container image "redis:6.2.6-alpine" already present on machine
07:19:07 Pod rfr-test-cluster-0 2358:	Created container redis
07:19:08 Pod rfr-test-cluster-0 2358:	Started container redis
07:19:08 Pod rfr-test-cluster-0 2358:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:19:08 Pod rfr-test-cluster-0 2358:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 191.528013ms
07:19:08 Pod rfr-test-cluster-0 2358:	Created container redis-exporter
07:19:12 Pod rfr-test-cluster-0 2358:	Started container redis-exporter
07:19:45 Pod rfr-test-cluster-0 2358:	Readiness probe failed: 
07:06:00 Pod rfr-test-cluster-1 841:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker2
07:06:01 Pod rfr-test-cluster-1 845:	Container image "redis:6.2.6-alpine" already present on machine
07:06:01 Pod rfr-test-cluster-1 845:	Created container redis
07:06:01 Pod rfr-test-cluster-1 845:	Started container redis
07:06:01 Pod rfr-test-cluster-1 845:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:06:01 Pod rfr-test-cluster-1 845:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 291.671737ms
07:06:02 Pod rfr-test-cluster-1 845:	Created container redis-exporter
07:06:06 Pod rfr-test-cluster-1 845:	Started container redis-exporter
07:06:40 Pod rfr-test-cluster-1 845:	Readiness probe failed: 
07:09:03 Pod rfr-test-cluster-1 845:	Stopping container redis
07:09:03 Pod rfr-test-cluster-1 845:	Stopping container redis-exporter
07:19:05 Pod rfr-test-cluster-1 2361:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker3
07:19:07 Pod rfr-test-cluster-1 2363:	Container image "redis:6.2.6-alpine" already present on machine
07:19:07 Pod rfr-test-cluster-1 2363:	Created container redis
07:19:08 Pod rfr-test-cluster-1 2363:	Started container redis
07:19:08 Pod rfr-test-cluster-1 2363:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:19:08 Pod rfr-test-cluster-1 2363:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 274.501498ms
07:19:08 Pod rfr-test-cluster-1 2363:	Created container redis-exporter
07:19:12 Pod rfr-test-cluster-1 2363:	Started container redis-exporter
07:19:45 Pod rfr-test-cluster-1 2363:	Readiness probe failed: 
07:06:00 Pod rfr-test-cluster-2 844:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker
07:06:01 Pod rfr-test-cluster-2 849:	Container image "redis:6.2.6-alpine" already present on machine
07:06:01 Pod rfr-test-cluster-2 849:	Created container redis
07:06:01 Pod rfr-test-cluster-2 849:	Started container redis
07:06:01 Pod rfr-test-cluster-2 849:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:06:01 Pod rfr-test-cluster-2 849:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 240.891331ms
07:06:01 Pod rfr-test-cluster-2 849:	Created container redis-exporter
07:06:06 Pod rfr-test-cluster-2 849:	Started container redis-exporter
07:06:40 Pod rfr-test-cluster-2 849:	Readiness probe failed: 
07:09:04 Pod rfr-test-cluster-2 849:	Stopping container redis
07:09:04 Pod rfr-test-cluster-2 849:	Stopping container redis-exporter
07:19:05 Pod rfr-test-cluster-2 2365:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker2
07:19:07 Pod rfr-test-cluster-2 2368:	Container image "redis:6.2.6-alpine" already present on machine
07:19:07 Pod rfr-test-cluster-2 2368:	Created container redis
07:19:08 Pod rfr-test-cluster-2 2368:	Started container redis
07:19:08 Pod rfr-test-cluster-2 2368:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:19:08 Pod rfr-test-cluster-2 2368:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 189.382376ms
07:19:08 Pod rfr-test-cluster-2 2368:	Created container redis-exporter
07:19:12 Pod rfr-test-cluster-2 2368:	Started container redis-exporter
07:19:45 Pod rfr-test-cluster-2 2368:	Readiness probe failed: 
07:06:00 PodDisruptionBudget rfr-test-cluster 830:	No matching pods found
07:06:00 StatefulSet rfr-test-cluster 834:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:06:00 StatefulSet rfr-test-cluster 834:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:06:00 StatefulSet rfr-test-cluster 834:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
