07:26:59 Pod redisoperator-56c8dfdfb-dqgf9 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-dqgf9 to acto-cluster-3-worker3
07:27:00 Pod redisoperator-56c8dfdfb-dqgf9 797:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:27:01 Pod redisoperator-56c8dfdfb-dqgf9 797:	Created container app
07:27:02 Pod redisoperator-56c8dfdfb-dqgf9 797:	Started container app
07:26:59 ReplicaSet redisoperator-56c8dfdfb 791:	Created pod: redisoperator-56c8dfdfb-dqgf9
07:26:29 Pod redisoperator-6445768794-g4fhb 725:	Successfully assigned acto-namespace/redisoperator-6445768794-g4fhb to acto-cluster-3-worker3
07:26:30 Pod redisoperator-6445768794-g4fhb 727:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:26:30 Pod redisoperator-6445768794-g4fhb 727:	Created container app
07:26:31 Pod redisoperator-6445768794-g4fhb 727:	Started container app
07:27:03 Pod redisoperator-6445768794-g4fhb 727:	Stopping container app
07:26:29 ReplicaSet redisoperator-6445768794 717:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:26:29 ReplicaSet redisoperator-6445768794 723:	Created pod: redisoperator-6445768794-g4fhb
07:27:03 ReplicaSet redisoperator-6445768794 884:	Deleted pod: redisoperator-6445768794-g4fhb
07:26:29 Deployment redisoperator 715:	Scaled up replica set redisoperator-6445768794 to 1
07:26:59 Deployment redisoperator 790:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:27:03 Deployment redisoperator 801:	Scaled down replica set redisoperator-6445768794 to 0
07:27:02 Pod rfr-test-cluster-0 827:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-3-worker3
07:27:03 Pod rfr-test-cluster-0 832:	Container image "redis:6.2.6-alpine" already present on machine
07:27:03 Pod rfr-test-cluster-0 832:	Created container redis
07:27:03 Pod rfr-test-cluster-0 832:	Started container redis
07:27:03 Pod rfr-test-cluster-0 832:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:03 Pod rfr-test-cluster-0 832:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 249.020017ms
07:27:03 Pod rfr-test-cluster-0 832:	Created container redis-exporter
07:27:06 Pod rfr-test-cluster-0 832:	Started container redis-exporter
07:27:42 Pod rfr-test-cluster-0 832:	Readiness probe failed: 
07:31:04 Pod rfr-test-cluster-0 832:	Stopping container redis
07:31:04 Pod rfr-test-cluster-0 832:	Stopping container redis-exporter
07:40:07 Pod rfr-test-cluster-0 2343:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-3-worker3
07:40:07 Pod rfr-test-cluster-0 2346:	Container image "redis:6.2.6-alpine" already present on machine
07:40:07 Pod rfr-test-cluster-0 2346:	Created container redis
07:40:08 Pod rfr-test-cluster-0 2346:	Started container redis
07:40:08 Pod rfr-test-cluster-0 2346:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:40:08 Pod rfr-test-cluster-0 2346:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 109.844596ms
07:40:08 Pod rfr-test-cluster-0 2346:	Created container redis-exporter
07:40:11 Pod rfr-test-cluster-0 2346:	Started container redis-exporter
07:40:47 Pod rfr-test-cluster-0 2346:	Readiness probe failed: 
