09:32:42 Pod redisoperator-56c8dfdfb-j8xsm 781:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-j8xsm to acto-cluster-13-worker2
09:32:44 Pod redisoperator-56c8dfdfb-j8xsm 783:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:32:44 Pod redisoperator-56c8dfdfb-j8xsm 783:	Created container app
09:32:45 Pod redisoperator-56c8dfdfb-j8xsm 783:	Started container app
09:32:42 ReplicaSet redisoperator-56c8dfdfb 778:	Created pod: redisoperator-56c8dfdfb-j8xsm
09:32:12 Pod redisoperator-6445768794-hbr6s 709:	Successfully assigned acto-namespace/redisoperator-6445768794-hbr6s to acto-cluster-13-worker3
09:32:13 Pod redisoperator-6445768794-hbr6s None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-hbr6s
09:32:14 Pod redisoperator-6445768794-hbr6s 712:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:32:14 Pod redisoperator-6445768794-hbr6s 712:	Created container app
09:32:15 Pod redisoperator-6445768794-hbr6s 712:	Started container app
09:32:46 Pod redisoperator-6445768794-hbr6s 712:	Stopping container app
09:32:12 ReplicaSet redisoperator-6445768794 700:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
09:32:12 ReplicaSet redisoperator-6445768794 708:	Created pod: redisoperator-6445768794-hbr6s
09:32:46 ReplicaSet redisoperator-6445768794 886:	Deleted pod: redisoperator-6445768794-hbr6s
09:32:12 Deployment redisoperator 699:	Scaled up replica set redisoperator-6445768794 to 1
09:32:42 Deployment redisoperator 777:	Scaled up replica set redisoperator-56c8dfdfb to 1
09:32:46 Deployment redisoperator 788:	Scaled down replica set redisoperator-6445768794 to 0
09:32:45 Pod rfr-test-cluster-0 816:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker
09:32:46 Pod rfr-test-cluster-0 819:	Container image "redis:6.2.6-alpine" already present on machine
09:32:46 Pod rfr-test-cluster-0 819:	Created container redis
09:32:46 Pod rfr-test-cluster-0 819:	Started container redis
09:32:46 Pod rfr-test-cluster-0 819:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:32:46 Pod rfr-test-cluster-0 819:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 245.782867ms
09:32:46 Pod rfr-test-cluster-0 819:	Created container redis-exporter
09:32:49 Pod rfr-test-cluster-0 819:	Started container redis-exporter
09:33:25 Pod rfr-test-cluster-0 819:	Readiness probe failed: 
09:40:46 Pod rfr-test-cluster-0 819:	Stopping container redis
09:40:46 Pod rfr-test-cluster-0 819:	Stopping container redis-exporter
09:49:55 Pod rfr-test-cluster-0 2728:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker3
09:49:56 Pod rfr-test-cluster-0 2730:	Container image "redis:6.2.6-alpine" already present on machine
09:49:56 Pod rfr-test-cluster-0 2730:	Created container redis
09:49:56 Pod rfr-test-cluster-0 2730:	Started container redis
09:49:56 Pod rfr-test-cluster-0 2730:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:49:56 Pod rfr-test-cluster-0 2730:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 163.087127ms
09:49:56 Pod rfr-test-cluster-0 2730:	Created container redis-exporter
09:49:59 Pod rfr-test-cluster-0 2730:	Started container redis-exporter
09:50:35 Pod rfr-test-cluster-0 2730:	Readiness probe failed: 
09:32:45 Pod rfr-test-cluster-1 821:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker3
09:32:46 Pod rfr-test-cluster-1 826:	Container image "redis:6.2.6-alpine" already present on machine
09:32:46 Pod rfr-test-cluster-1 826:	Created container redis
09:32:46 Pod rfr-test-cluster-1 826:	Started container redis
09:32:46 Pod rfr-test-cluster-1 826:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:32:46 Pod rfr-test-cluster-1 826:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 254.895528ms
09:32:46 Pod rfr-test-cluster-1 826:	Created container redis-exporter
09:32:49 Pod rfr-test-cluster-1 826:	Started container redis-exporter
09:33:25 Pod rfr-test-cluster-1 826:	Readiness probe failed: 
09:39:53 Pod rfr-test-cluster-1 826:	Stopping container redis
09:39:53 Pod rfr-test-cluster-1 826:	Stopping container redis-exporter
