08:42:26 Pod redisoperator-56c8dfdfb-2glv5 804:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2glv5 to acto-cluster-0-worker3
08:42:27 Pod redisoperator-56c8dfdfb-2glv5 806:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:42:27 Pod redisoperator-56c8dfdfb-2glv5 806:	Created container app
08:42:29 Pod redisoperator-56c8dfdfb-2glv5 806:	Started container app
08:42:26 ReplicaSet redisoperator-56c8dfdfb 801:	Created pod: redisoperator-56c8dfdfb-2glv5
08:41:55 Pod redisoperator-6445768794-ssk5f 734:	Successfully assigned acto-namespace/redisoperator-6445768794-ssk5f to acto-cluster-0-worker3
08:41:57 Pod redisoperator-6445768794-ssk5f 738:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:41:57 Pod redisoperator-6445768794-ssk5f 738:	Created container app
08:41:58 Pod redisoperator-6445768794-ssk5f None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-ssk5f
08:41:58 Pod redisoperator-6445768794-ssk5f 738:	Started container app
08:42:29 Pod redisoperator-6445768794-ssk5f 738:	Stopping container app
08:41:55 ReplicaSet redisoperator-6445768794 725:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:41:55 ReplicaSet redisoperator-6445768794 731:	Created pod: redisoperator-6445768794-ssk5f
08:42:29 ReplicaSet redisoperator-6445768794 892:	Deleted pod: redisoperator-6445768794-ssk5f
08:41:55 Deployment redisoperator 724:	Scaled up replica set redisoperator-6445768794 to 1
08:42:26 Deployment redisoperator 800:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:42:29 Deployment redisoperator 812:	Scaled down replica set redisoperator-6445768794 to 0
08:42:28 Pod rfr-test-cluster-0 838:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker2
08:42:31 Pod rfr-test-cluster-0 843:	Container image "redis:6.2.6-alpine" already present on machine
08:42:31 Pod rfr-test-cluster-0 843:	Created container redis
08:42:31 Pod rfr-test-cluster-0 843:	Started container redis
08:42:31 Pod rfr-test-cluster-0 843:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:42:32 Pod rfr-test-cluster-0 843:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 249.241064ms
08:42:32 Pod rfr-test-cluster-0 843:	Created container redis-exporter
08:42:35 Pod rfr-test-cluster-0 843:	Started container redis-exporter
08:43:09 Pod rfr-test-cluster-0 843:	Readiness probe failed: 
08:46:30 Pod rfr-test-cluster-0 843:	Stopping container redis
08:46:30 Pod rfr-test-cluster-0 843:	Stopping container redis-exporter
08:55:32 Pod rfr-test-cluster-0 2363:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker3
08:55:33 Pod rfr-test-cluster-0 2364:	Container image "redis:6.2.6-alpine" already present on machine
08:55:33 Pod rfr-test-cluster-0 2364:	Created container redis
08:55:33 Pod rfr-test-cluster-0 2364:	Started container redis
08:55:33 Pod rfr-test-cluster-0 2364:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:55:33 Pod rfr-test-cluster-0 2364:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 218.862121ms
08:55:33 Pod rfr-test-cluster-0 2364:	Created container redis-exporter
08:55:36 Pod rfr-test-cluster-0 2364:	Started container redis-exporter
08:56:13 Pod rfr-test-cluster-0 2364:	Readiness probe failed: 
08:42:28 Pod rfr-test-cluster-1 840:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker
08:42:30 Pod rfr-test-cluster-1 846:	Container image "redis:6.2.6-alpine" already present on machine
08:42:30 Pod rfr-test-cluster-1 846:	Created container redis
08:42:31 Pod rfr-test-cluster-1 846:	Started container redis
08:42:31 Pod rfr-test-cluster-1 846:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:42:32 Pod rfr-test-cluster-1 846:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 318.638991ms
08:42:32 Pod rfr-test-cluster-1 846:	Created container redis-exporter
08:42:35 Pod rfr-test-cluster-1 846:	Started container redis-exporter
08:43:09 Pod rfr-test-cluster-1 846:	Readiness probe failed: 
08:45:32 Pod rfr-test-cluster-1 846:	Stopping container redis
08:45:32 Pod rfr-test-cluster-1 846:	Stopping container redis-exporter
08:55:32 Pod rfr-test-cluster-1 2365:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker
08:55:33 Pod rfr-test-cluster-1 2369:	Container image "redis:6.2.6-alpine" already present on machine
08:55:33 Pod rfr-test-cluster-1 2369:	Created container redis
08:55:33 Pod rfr-test-cluster-1 2369:	Started container redis
08:55:33 Pod rfr-test-cluster-1 2369:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:55:33 Pod rfr-test-cluster-1 2369:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 165.358803ms
08:55:33 Pod rfr-test-cluster-1 2369:	Created container redis-exporter
08:55:36 Pod rfr-test-cluster-1 2369:	Started container redis-exporter
08:56:13 Pod rfr-test-cluster-1 2369:	Readiness probe failed: 
08:42:28 Pod rfr-test-cluster-2 848:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker3
08:42:31 Pod rfr-test-cluster-2 851:	Container image "redis:6.2.6-alpine" already present on machine
08:42:31 Pod rfr-test-cluster-2 851:	Created container redis
08:42:31 Pod rfr-test-cluster-2 851:	Started container redis
08:42:31 Pod rfr-test-cluster-2 851:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:42:32 Pod rfr-test-cluster-2 851:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 278.34354ms
